Dates,Settle
2020-02-05,11.8992
2020-02-06,12.1057
2020-02-07,12.1419
2020-02-10,12.0876
2020-02-11,12.2361
2020-02-12,11.5223
2020-02-13,11.1564
2020-02-14,11.0042
2020-02-17,10.9933
2020-02-18,10.9643
2020-02-19,10.9498
2020-02-20,10.8701
2020-02-21,10.7506
2020-02-24,10.3194
2020-02-25,10.1455
2020-02-26,10.16
2020-02-27,9.6454
2020-02-28,9.015
2020-03-02,8.986
2020-03-03,8.6961
2020-03-04,8.7939
2020-03-05,8.4425
2020-03-06,8.1164
2020-03-09,6.9047
2020-03-10,6.8801
2020-03-11,6.8902
2020-03-12,5.4264
2020-03-13,5.4728
2020-03-16,5.18
2020-03-17,5.5583
2020-03-18,5.193
2020-03-19,5.2017
2020-03-20,5.3858
2020-03-23,5.5162
2020-03-24,6.3467
2020-03-25,6.4206
2020-03-26,6.1844
2020-03-27,5.9061
2020-03-30,5.3191
2020-03-31,5.4235
2020-04-01,5.0148
2020-04-02,5.3539
2020-04-03,5.1858
2020-04-06,5.5351
2020-04-07,5.7046
2020-04-08,5.6278
2020-04-09,5.7612
2020-04-14,5.4539
2020-04-15,5.0032
2020-04-16,5.0408
2020-04-17,5.1423
2020-04-20,4.964
2020-04-21,4.6597
2020-04-22,4.7031
2020-04-23,4.7684
2020-04-24,4.5727
2020-04-27,4.7104
2020-04-28,5.0365
2020-04-29,5.4061
2020-04-30,5.0727
2020-05-04,4.7379
2020-05-05,4.8452
2020-05-06,4.7118
2020-05-07,4.8626
2020-05-08,4.9408
2020-05-11,4.8162
2020-05-12,4.835
2020-05-13,4.3944
2020-05-14,4.3828
2020-05-15,4.2336
2020-05-18,4.5466
2020-05-19,4.6089
2020-05-20,4.7437
2020-05-21,4.5495
2020-05-22,4.7249
2020-05-25,4.6814
2020-05-26,5.1394
2020-05-27,5.3843
2020-05-28,5.3887
2020-05-29,5.2249
2020-06-01,5.5771
2020-06-02,5.709
2020-06-03,5.9394
2020-06-04,6.0177
2020-06-05,6.525
2020-06-08,6.5699
2020-06-09,6.2076
2020-06-10,6.0264
2020-06-11,5.4959
2020-06-12,5.5394
2020-06-15,5.5278
2020-06-16,5.9264
2020-06-17,5.8307
2020-06-18,5.7336
2020-06-19,5.6032
2020-06-22,5.5554
2020-06-23,5.8728
2020-06-24,5.451
2020-06-25,5.6162
2020-06-26,5.3756
2020-06-29,5.6119
2020-06-30,5.5554
2020-07-01,5.5452
2020-07-02,5.8018
2020-07-03,5.7684
2020-07-06,6.0844
2020-07-07,5.9684
2020-07-08,5.8003
2020-07-09,5.651
2020-07-10,5.8568
2020-07-13,5.9061
2020-07-14,5.9496
2020-07-15,6.0496
2020-07-16,6.125
2020-07-17,6.0844
2020-07-20,5.9568
2020-07-21,5.9583
2020-07-22,5.7539
2020-07-23,5.6597
2020-07-24,5.5757
2020-07-27,5.4612
2020-07-28,5.409
2020-07-29,5.3003
2020-07-30,5.1104
2020-07-31,5.0901
2020-08-03,5.1945
2020-08-04,5.2669
2020-08-05,5.2843
2020-08-06,5.3583
2020-08-07,5.3481
2020-08-10,5.622
2020-08-11,5.8626
2020-08-12,6.3366
2020-08-13,6.1786
2020-08-14,5.9641
2020-08-17,5.8047
2020-08-18,5.7699
2020-08-19,5.8786
2020-08-20,5.6641
2020-08-21,5.6467
2020-08-24,5.8757
2020-08-25,5.9786
2020-08-26,5.9452
2020-08-27,5.9134
2020-08-28,6.0568
2020-08-31,5.7858
2020-09-01,5.8061
2020-09-02,5.7307
2020-09-03,5.7829
2020-09-04,5.9742
2020-09-07,5.9496
2020-09-08,5.7974
2020-09-09,5.8815
2020-09-10,5.938
2020-09-11,5.7873
2020-09-14,6.0148
2020-09-15,5.8452
2020-09-16,5.8336
2020-09-17,5.6496
2020-09-18,5.4191
2020-09-21,5.0524
2020-09-22,5.0148
2020-09-23,4.9205
2020-09-24,4.9539
2020-09-25,4.9003
2020-09-28,5.2278
2020-09-29,5.0582
2020-09-30,5.1829
2020-10-01,5.1191
