Dates,Settle
2020-02-05,13.045
2020-02-06,13.315
2020-02-07,13.44
2020-02-10,13.395
2020-02-11,13.49
2020-02-12,13.54
2020-02-13,13.65
2020-02-14,13.49
2020-02-17,13.635
2020-02-18,13.35
2020-02-19,13.335
2020-02-20,13.155
2020-02-21,13.14
2020-02-24,12.7
2020-02-25,12.24
2020-02-26,12.1
2020-02-27,11.355
2020-02-28,10.81
2020-03-02,10.47
2020-03-03,10.225
2020-03-04,10.125
2020-03-05,9.66
2020-03-06,9.298
2020-03-09,7.73
2020-03-10,7.708
2020-03-11,7.896
2020-03-12,6.594
2020-03-13,6.862
2020-03-16,6.078
2020-03-17,6.522
2020-03-18,6.242
2020-03-19,6.22
2020-03-20,6.828
2020-03-23,6.548
2020-03-24,7.052
2020-03-25,7.438
2020-03-26,7.456
2020-03-27,7.006
2020-03-30,6.698
2020-03-31,6.69
2020-04-01,6.344
2020-04-02,6.256
2020-04-03,6.018
2020-04-06,6.244
2020-04-07,6.7
2020-04-08,6.716
2020-04-09,6.974
2020-04-14,6.786
2020-04-15,6.234
2020-04-16,6.196
2020-04-17,6.53
2020-04-20,6.516
2020-04-21,6.256
2020-04-22,6.476
2020-04-23,6.758
2020-04-24,6.542
2020-04-27,6.838
2020-04-28,7.258
2020-04-29,7.746
2020-04-30,7.282
2020-05-04,6.902
2020-05-05,7.166
2020-05-06,7.0
2020-05-07,7.178
2020-05-08,7.26
2020-05-11,7.024
2020-05-12,6.966
2020-05-13,6.788
2020-05-14,6.696
2020-05-15,6.808
2020-05-18,7.224
2020-05-19,7.024
2020-05-20,7.066
2020-05-21,6.852
2020-05-22,6.892
2020-05-25,7.03
2020-05-26,7.592
2020-05-27,7.994
2020-05-28,7.996
2020-05-29,7.824
2020-06-01,8.016
2020-06-02,8.2
2020-06-03,8.484
2020-06-04,8.554
2020-06-05,9.096
2020-06-08,9.28
2020-06-09,8.692
2020-06-10,8.578
2020-06-11,8.056
2020-06-12,8.126
2020-06-15,8.06
2020-06-16,8.336
2020-06-17,8.296
2020-06-18,8.236
2020-06-19,8.066
2020-06-22,8.082
2020-06-23,8.4
2020-06-24,8.036
2020-06-25,8.278
2020-06-26,8.084
2020-06-29,8.386
2020-06-30,8.428
2020-07-01,8.378
2020-07-02,8.752
2020-07-03,8.718
2020-07-06,8.962
2020-07-07,8.886
2020-07-08,8.76
2020-07-09,8.556
2020-07-10,8.852
2020-07-13,8.946
2020-07-14,9.01
2020-07-15,9.13
2020-07-16,9.216
2020-07-17,9.114
2020-07-20,9.13
2020-07-21,9.212
2020-07-22,9.0
2020-07-23,8.986
2020-07-24,8.908
2020-07-27,8.724
2020-07-28,8.746
2020-07-29,8.65
2020-07-30,8.244
2020-07-31,8.126
2020-08-03,8.372
2020-08-04,8.536
2020-08-05,8.534
2020-08-06,8.442
2020-08-07,8.454
2020-08-10,8.612
2020-08-11,9.03
2020-08-12,9.088
2020-08-13,8.906
2020-08-14,8.788
2020-08-17,8.692
2020-08-18,8.568
2020-08-19,8.698
2020-08-20,8.462
2020-08-21,8.332
2020-08-24,8.574
2020-08-25,8.596
2020-08-26,8.666
2020-08-27,8.616
2020-08-28,8.896
2020-08-31,8.588
2020-09-01,8.514
2020-09-02,8.436
2020-09-03,8.438
2020-09-04,8.67
2020-09-07,8.744
2020-09-08,8.516
2020-09-09,8.658
2020-09-10,8.686
2020-09-11,8.524
2020-09-14,8.642
2020-09-15,8.538
2020-09-16,8.448
2020-09-17,8.36
2020-09-18,8.096
2020-09-21,7.662
2020-09-22,7.618
2020-09-23,7.56
2020-09-24,7.422
2020-09-25,7.164
2020-09-28,7.578
2020-09-29,7.402
2020-09-30,7.472
2020-10-01,7.338
2020-10-02,7.252
2020-10-05,7.384
2020-10-06,7.77
2020-10-07,7.666
2020-10-08,7.778
2020-10-09,7.67
2020-10-12,7.71
2020-10-13,7.418
2020-10-14,7.49
2020-10-15,7.248
2020-10-16,7.344
2020-10-19,7.386
2020-10-20,7.436
2020-10-21,7.324
2020-10-22,7.378
2020-10-23,7.516
2020-10-26,7.354
2020-10-27,7.026
2020-10-28,6.72
2020-10-29,6.66
2020-10-30,6.782
2020-11-02,6.982
2020-11-03,7.286
2020-11-04,7.376
2020-11-05,7.546
2020-11-06,7.434
2020-11-09,8.45
2020-11-10,8.848
2020-11-11,8.756
2020-11-12,8.544
2020-11-13,8.63
2020-11-16,8.794
2020-11-17,8.822
2020-11-18,8.924
2020-11-19,8.872
2020-11-20,8.948
2020-11-23,9.312
2020-11-24,9.822
2020-11-25,9.874
2020-11-26,9.828
2020-11-27,9.864
2020-11-30,9.674
2020-12-01,10.205
2020-12-02,10.375
2020-12-03,10.625
2020-12-04,11.05
2020-12-07,10.73
2020-12-08,10.445
2020-12-09,10.46
2020-12-10,10.365
2020-12-11,10.3
2020-12-14,10.485
2020-12-15,10.675
2020-12-16,10.48
2020-12-17,10.49
2020-12-18,10.3
2020-12-21,9.952
2020-12-22,10.15
2020-12-23,10.46
2020-12-24,10.52
2020-12-28,10.45
2020-12-29,10.455
2020-12-30,10.365
2020-12-31,10.32
2021-01-04,10.22
2021-01-05,10.255
2021-01-06,10.67
2021-01-07,10.75
2021-01-08,10.67
2021-01-11,10.525
2021-01-12,10.66
2021-01-13,10.605
2021-01-14,10.42
2021-01-15,10.175
2021-01-18,10.28
2021-01-19,10.05
2021-01-20,10.205
2021-01-21,10.06
2021-01-22,9.922
2021-01-25,9.5
2021-01-26,9.674
2021-01-27,9.428
2021-01-28,9.57
2021-01-29,9.38
2021-02-01,9.516
2021-02-02,9.796
2021-02-03,9.872
2021-02-04,9.954
2021-02-05,10.135
2021-02-08,10.22
2021-02-09,10.135
2021-02-10,10.22
2021-02-11,10.725
2021-02-12,10.875
2021-02-15,11.095
2021-02-16,11.155
2021-02-17,11.185
2021-02-18,11.035
2021-02-19,11.325
2021-02-22,11.455
2021-02-23,11.36
2021-02-24,11.66
2021-02-25,11.8
2021-02-26,11.615
2021-03-01,11.78
2021-03-02,11.975
2021-03-03,12.27
2021-03-04,12.11
2021-03-05,12.215
2021-03-08,12.565
2021-03-09,12.375
2021-03-10,12.435
2021-03-11,12.195
2021-03-12,12.32
2021-03-15,12.16
2021-03-16,12.115
2021-03-17,12.17
2021-03-18,12.435
2021-03-19,12.115
2021-03-22,12.045
2021-03-23,11.92
2021-03-24,12.065
2021-03-25,12.045
2021-03-26,12.235
2021-03-29,12.15
2021-03-30,12.48
2021-03-31,12.345
2021-04-01,12.438
2021-04-06,12.442
2021-04-07,12.5
2021-04-08,12.526
2021-04-09,12.532
2021-04-12,12.528
2021-04-13,12.518
2021-04-14,12.598
2021-04-15,12.448
2021-04-16,12.462
2021-04-19,12.598
2021-04-20,12.224
2021-04-21,12.118
2021-04-22,12.142
2021-04-23,12.17
2021-04-26,12.42
2021-04-27,12.588
2021-04-28,12.752
2021-04-29,12.842
2021-04-30,12.872
2021-05-03,12.898
2021-05-04,12.75
2021-05-05,12.998
2021-05-06,13.088
2021-05-07,12.87
2021-05-10,13.376
2021-05-11,13.206
2021-05-12,13.408
2021-05-13,13.226
2021-05-14,13.326
2021-05-17,13.342
2021-05-18,12.444
2021-05-19,12.118
2021-05-20,12.194
2021-05-21,12.28
2021-05-24,12.232
2021-05-25,12.114
2021-05-26,11.976
2021-05-27,12.118
2021-05-28,12.302
2021-05-31,12.202
2021-06-01,12.454
2021-06-02,12.38
2021-06-03,12.328
2021-06-04,12.368
2021-06-07,12.49
2021-06-08,12.26
2021-06-09,12.102
2021-06-10,12.392
2021-06-11,12.424
2021-06-14,12.458
2021-06-15,12.458
2021-06-16,12.254
2021-06-17,12.3
2021-06-18,11.798
2021-06-21,11.832
2021-06-22,11.872
2021-06-23,11.744
2021-06-24,11.882
2021-06-25,11.95
2021-06-28,11.782
2021-06-29,11.962
2021-06-30,11.814
2021-07-01,11.988
2021-07-02,11.852
2021-07-05,12.05
2021-07-06,11.712
2021-07-07,11.696
2021-07-08,11.508
2021-07-09,11.794
2021-07-12,11.768
2021-07-13,11.584
2021-07-14,11.654
2021-07-15,11.562
2021-07-16,11.45
2021-07-19,11.096
2021-07-20,11.262
2021-07-21,11.624
2021-07-22,11.546
2021-07-23,11.672
2021-07-26,11.874
2021-07-27,11.744
2021-07-28,11.718
2021-07-29,11.88
2021-07-30,11.76
2021-08-02,11.724
2021-08-03,11.788
2021-08-04,11.97
2021-08-05,11.934
