Dates,Settle
2020-02-05,2.508
2020-02-06,2.52
2020-02-07,2.5
2020-02-10,2.364
2020-02-11,2.344
2020-02-12,2.376
2020-02-13,2.35
2020-02-14,2.398
2020-02-17,2.39
2020-02-18,2.3
2020-02-19,2.25
2020-02-20,2.27
2020-02-21,2.342
2020-02-24,2.32
2020-02-25,2.222
2020-02-26,2.22
2020-02-27,2.066
2020-02-28,2.098
2020-03-02,2.004
2020-03-03,1.959
2020-03-04,1.963
2020-03-05,1.9
2020-03-06,1.812
2020-03-09,1.556
2020-03-10,1.586
2020-03-11,1.597
2020-03-12,1.457
2020-03-13,1.446
2020-03-16,1.274
2020-03-17,1.232
2020-03-18,1.01
2020-03-19,0.768
2020-03-20,0.7955
2020-03-23,0.8
2020-03-24,0.997
2020-03-25,1.112
2020-03-26,1.207
2020-03-27,1.117
2020-03-30,1.011
2020-03-31,1.022
2020-04-01,0.9465
2020-04-02,0.9125
2020-04-03,0.894
2020-04-06,0.9345
2020-04-07,1.055
2020-04-08,1.06
2020-04-09,1.089
2020-04-14,1.02
2020-04-15,0.9185
2020-04-16,0.932
2020-04-17,0.925
2020-04-20,0.922
2020-04-21,0.905
2020-04-22,0.96
2020-04-23,1.039
2020-04-24,0.9875
2020-04-27,0.975
2020-04-28,1.1
2020-04-29,1.325
2020-04-30,1.25
2020-05-04,1.172
2020-05-05,1.131
2020-05-06,1.012
2020-05-07,0.993
2020-05-08,1.085
2020-05-11,0.924
2020-05-12,0.866
2020-05-13,0.917
2020-05-14,0.974
2020-05-15,0.9275
2020-05-18,0.977
2020-05-19,1.01
2020-05-20,1.013
2020-05-21,0.946
2020-05-22,0.9735
2020-05-25,0.9585
2020-05-26,1.052
2020-05-27,1.13
2020-05-28,1.048
2020-05-29,0.999
2020-06-01,1.021
2020-06-02,1.043
2020-06-03,1.15
2020-06-04,1.146
2020-06-05,1.265
2020-06-08,1.253
2020-06-09,1.141
2020-06-10,1.133
2020-06-11,1.023
2020-06-12,1.066
2020-06-15,1.092
2020-06-16,1.184
2020-06-17,1.15
2020-06-18,1.129
2020-06-19,1.134
2020-06-22,1.062
