Dates,Settle
2020-02-05,98.85
2020-02-06,98.8
2020-02-07,98.5
2020-02-10,99.6
2020-02-11,101
2020-02-12,103.4
2020-02-13,106
2020-02-14,104
2020-02-17,104.4
2020-02-18,104.2
2020-02-19,104.6
2020-02-20,109
2020-02-21,106.2
2020-02-24,99.8
2020-02-25,99.1
2020-02-26,101
2020-02-27,97.8
2020-02-28,95.1
2020-03-02,96.2
2020-03-03,98.2
2020-03-04,97.9
2020-03-05,97.6
2020-03-06,97.6
2020-03-09,92.1
2020-03-10,91.4
2020-03-11,91.4
2020-03-12,79
2020-03-13,78.6
2020-03-16,72.3
2020-03-17,74.1
2020-03-18,71.1
2020-03-19,73.1
2020-03-20,75.1
2020-03-23,71.7
2020-03-24,75
2020-03-25,77.6
2020-03-26,78.2
2020-03-27,80
2020-03-30,80.9
2020-03-31,82.8
2020-04-01,83.35
2020-04-02,81.85
2020-04-03,93
2020-04-06,93.85
2020-04-07,94.45
2020-04-08,96.9
2020-04-09,98.25
2020-04-14,97.75
2020-04-15,95.5
2020-04-16,95.7
2020-04-17,102
2020-04-20,105
2020-04-21,106.3
2020-04-22,106.8
2020-04-23,114.4
2020-04-24,112.7
2020-04-27,113.3
2020-04-28,115.6
2020-04-29,118.8
2020-04-30,118.6
2020-05-04,115.2
2020-05-05,120.1
2020-05-06,118.7
2020-05-07,124.5
2020-05-08,127
2020-05-11,130
2020-05-12,132.9
2020-05-13,132.5
2020-05-14,131.7
2020-05-15,131
2020-05-18,134.3
2020-05-19,135.5
2020-05-20,134.6
2020-05-21,134.6
2020-05-22,133.8
2020-05-25,135.9
2020-05-26,138.8
2020-05-27,140.9
2020-05-28,135.2
2020-05-29,138.2
2020-06-01,143.5
2020-06-02,145.2
2020-06-03,146
2020-06-04,143.4
2020-06-05,144.4
2020-06-08,136.9
2020-06-09,137.3
2020-06-10,135.1
2020-06-11,131.4
2020-06-12,130.4
2020-06-15,132.1
2020-06-16,134.2
2020-06-17,133.8
2020-06-18,133.2
2020-06-19,133.2
2020-06-22,131.2
2020-06-23,132.6
2020-06-24,129.1
2020-06-25,133.5
2020-06-26,133.5
2020-06-29,131.7
2020-06-30,132.3
2020-07-01,133.4
2020-07-02,138.1
2020-07-03,141.6
2020-07-06,148.7
2020-07-07,154
2020-07-08,155.8
2020-07-09,150.1
2020-07-10,150.6
2020-07-13,155.1
2020-07-14,174.5
2020-07-15,176.1
2020-07-16,178.9
2020-07-17,178.8
2020-07-20,181.7
2020-07-21,174.8
2020-07-22,177.2
2020-07-23,176.5
2020-07-24,173.2
2020-07-27,174.9
2020-07-28,173.6
2020-07-29,171.8
2020-07-30,170.1
2020-07-31,170
2020-08-03,173.9
2020-08-04,170
2020-08-05,169.3
2020-08-06,168.9
2020-08-07,167.5
2020-08-10,165.3
2020-08-11,163.5
2020-08-12,162
2020-08-13,161.3
2020-08-14,159.8
2020-08-17,160.6
2020-08-18,161.5
2020-08-19,160.9
2020-08-20,159.6
2020-08-21,160
2020-08-24,162.6
2020-08-25,158.8
2020-08-26,161.9
2020-08-27,161.5
2020-08-28,165.7
2020-08-31,170.8
2020-09-01,165.9
2020-09-02,170.2
2020-09-03,161.4
2020-09-04,157.2
2020-09-07,163.3
2020-09-08,164.5
2020-09-09,167.1
2020-09-10,165.4
2020-09-11,169.3
2020-09-14,167
2020-09-15,167.7
2020-09-16,168
2020-09-17,166.8
2020-09-18,167.2
2020-09-21,159.9
2020-09-22,165.9
2020-09-23,164.9
2020-09-24,162.6
2020-09-25,169.7
2020-09-28,176.9
2020-09-29,175.5
2020-09-30,175.8
2020-10-01,176.7
2020-10-02,183.4
2020-10-05,189.3
2020-10-06,187.8
2020-10-07,188.4
2020-10-08,191
2020-10-09,188.7
2020-10-12,191.8
2020-10-13,192.9
2020-10-14,194
2020-10-15,195
2020-10-16,197.1
2020-10-19,189
2020-10-20,186.1
2020-10-21,181.6
2020-10-22,179
2020-10-23,173.5
2020-10-26,165.4
2020-10-27,166.5
2020-10-28,165.7
2020-10-29,165
2020-10-30,169
2020-11-02,166.1
2020-11-03,169
2020-11-04,174.6
2020-11-05,181.1
2020-11-06,182.4
2020-11-09,174.2
2020-11-10,170.9
2020-11-11,174
2020-11-12,172.2
2020-11-13,174.3
2020-11-16,178
2020-11-17,178.3
2020-11-18,180.8
2020-11-19,182.7
2020-11-20,185.7
2020-11-23,185.5
2020-11-24,184.7
2020-11-25,188.4
2020-11-26,186.5
2020-11-27,185.1
2020-11-30,188.6
2020-12-01,193.2
2020-12-02,200.6
2020-12-03,193.9
2020-12-04,195
2020-12-07,191.6
2020-12-08,197.2
2020-12-09,199.9
2020-12-10,195.6
2020-12-11,196
2020-12-14,201
2020-12-15,203.4
2020-12-16,209
2020-12-17,211
2020-12-18,216.8
2020-12-21,216.8
2020-12-22,221
2020-12-23,225.6
2020-12-24,225.6
2020-12-28,231
2020-12-29,235.8
2020-12-30,233
2020-12-31,233
2021-01-04,236
2021-01-05,235.8
2021-01-06,235.8
2021-01-07,242.4
2021-01-08,254.6
2021-01-11,245.6
2021-01-12,248.8
2021-01-13,250.4
2021-01-14,253.2
2021-01-15,250
2021-01-18,249.8
2021-01-19,257
2021-01-20,256
2021-01-21,237.4
2021-01-22,242.8
2021-01-25,235
2021-01-26,228
2021-01-27,225.2
2021-01-28,229.6
2021-01-29,228
2021-02-01,241.6
2021-02-02,249
2021-02-03,265
2021-02-04,266.4
2021-02-05,267.6
2021-02-08,279
2021-02-09,265.8
2021-02-10,262
2021-02-11,260.4
2021-02-12,259.2
2021-02-15,259.4
2021-02-16,258.4
2021-02-17,262
2021-02-18,259
2021-02-19,268.8
2021-02-22,270.8
2021-02-23,255.2
2021-02-24,257.4
2021-02-25,267.4
2021-02-26,264.6
2021-03-01,270.6
2021-03-02,277.6
2021-03-03,287
2021-03-04,278
2021-03-05,275
2021-03-08,272.8
2021-03-09,281
2021-03-10,278
2021-03-11,281.6
2021-03-12,272.8
2021-03-15,271
2021-03-16,274.2
2021-03-17,267.2
2021-03-18,267
2021-03-19,262.8
2021-03-22,273.2
2021-03-23,277.6
2021-03-24,278.6
2021-03-25,277
2021-03-26,271
2021-03-29,267.8
2021-03-30,272.2
2021-03-31,271.4
2021-04-01,278.5
2021-04-06,298.5
2021-04-07,300.5
2021-04-08,303
2021-04-09,312.5
2021-04-12,313.8
2021-04-13,325.4
2021-04-14,311.2
2021-04-15,314.7
2021-04-16,320.1
2021-04-19,314.7
2021-04-20,309
2021-04-21,305.7
2021-04-22,302.1
2021-04-23,304.7
2021-04-26,308
2021-04-27,310
2021-04-28,308.1
2021-04-29,305.8
2021-04-30,304.6
2021-05-03,307.6
2021-05-04,295.1
2021-05-05,302
2021-05-06,296.3
2021-05-07,297.1
2021-05-10,294.1
2021-05-11,283.1
2021-05-12,280.6
2021-05-13,280.6
2021-05-14,275.5
2021-05-17,269.9
2021-05-18,273.4
2021-05-19,264.1
2021-05-20,269.2
2021-05-21,268.8
2021-05-24,272
2021-05-25,276.8
2021-05-26,273.6
2021-05-27,275.3
2021-05-28,277.7
2021-05-31,281.9
2021-06-01,280
2021-06-02,272.3
2021-06-03,265.1
2021-06-04,264.4
2021-06-07,260.8
2021-06-08,260.5
2021-06-09,257.7
2021-06-10,255.9
2021-06-11,262.9
2021-06-14,262.9
2021-06-15,263.5
2021-06-16,267.7
2021-06-17,259.9
2021-06-18,262.3
2021-06-21,260.9
2021-06-22,264.2
2021-06-23,258.2
2021-06-24,262.3
2021-06-25,262.3
2021-06-28,264.1
2021-06-29,270.4
2021-06-30,266.9
2021-07-01,271
2021-07-02,273.8
2021-07-05,270
2021-07-06,275.8
2021-07-07,278
2021-07-08,270.4
2021-07-09,276.5
2021-07-12,281.5
2021-07-13,280.7
2021-07-14,255.1
2021-07-15,260.2
2021-07-16,257.5
2021-07-19,252.1
2021-07-20,247.7
2021-07-21,255.5
2021-07-22,265.3
2021-07-23,267.2
2021-07-26,267.4
2021-07-27,267.8
2021-07-28,269.2
2021-07-29,274.4
2021-07-30,278.8
2021-08-02,285
2021-08-03,298.2
2021-08-04,300.7
2021-08-05,306.6
2021-08-06,309.4
2021-08-09,313
2021-08-10,315.1
2021-08-11,320
2021-08-12,321.2
2021-08-13,322.3
2021-08-16,310.1
2021-08-17,303.2
2021-08-18,310.6
2021-08-19,305.2
2021-08-20,309.2
2021-08-23,308
2021-08-24,304.4
2021-08-25,313.5
2021-08-26,317.1
2021-08-27,324.6
2021-08-30,333.2
2021-08-31,331.6
2021-09-01,336.1
2021-09-02,343.8
2021-09-03,340.8
2021-09-06,351.2
2021-09-07,348.6
2021-09-08,342.6
2021-09-09,346.8
2021-09-10,344.2
2021-09-13,346.4
2021-09-14,344.8
2021-09-15,342.5
2021-09-16,346.8
2021-09-17,341.3
2021-09-20,331.4
2021-09-21,328.2
2021-09-22,330.8
2021-09-23,332.3
2021-09-24,328
2021-09-27,318.2
2021-09-28,309.3
2021-09-29,307.7
2021-09-30,309.6
2021-10-01,304.5
2021-10-04,301.1
2021-10-05,310
2021-10-06,307.3
2021-10-07,312.7
2021-10-08,304.9
2021-10-11,297.7
2021-10-12,303.4
2021-10-13,311.8
2021-10-14,320.5
2021-10-15,331
2021-10-18,325.6
2021-10-19,334
2021-10-20,330
2021-10-21,334.8
2021-10-22,336.9
2021-10-25,343.2
2021-10-26,346.4
2021-10-27,342.6
2021-10-28,345.7
2021-10-29,340.9
2021-11-01,343
2021-11-02,355.6
2021-11-03,356.4
2021-11-04,354
2021-11-05,349.2
2021-11-08,347.5
2021-11-09,345.1
2021-11-10,342.3
2021-11-11,349.4
2021-11-12,360
2021-11-15,368.9
2021-11-16,370
2021-11-17,367.3
2021-11-18,363.4
2021-11-19,366.3
2021-11-22,367.5
2021-11-23,347
2021-11-24,347.4
2021-11-25,350.5
2021-11-26,341.6
2021-11-29,345.9
2021-11-30,344
2021-12-01,346.3
2021-12-02,349.2
2021-12-03,338.8
2021-12-06,321.7
2021-12-07,334.6
2021-12-08,328
2021-12-09,329.1
2021-12-10,322.8
2021-12-13,317
2021-12-14,311.8
2021-12-15,311.4
2021-12-16,314.1
2021-12-17,310.9
2021-12-20,309.4
2021-12-21,314.7
2021-12-22,327.8
2021-12-23,331.8
2021-12-24,331.8
2021-12-27,332
2021-12-28,330.8
2021-12-29,332.9
2021-12-30,332.2
2021-12-31,332.2
2022-01-03,334.3
2022-01-04,318.8
2022-01-05,318.3
2022-01-06,318.3
2022-01-07,306.5
2022-01-10,296.3
2022-01-11,304.2
2022-01-12,312.1
2022-01-13,313.7
2022-01-14,300.5
2022-01-17,298.6
2022-01-18,286
2022-01-19,293.3
2022-01-20,301
2022-01-21,292
2022-01-24,282.6
2022-01-25,274
2022-01-26,284
2022-01-27,283.9
2022-01-28,281.2
2022-01-31,292.2
2022-02-01,303.6
2022-02-02,298.4
