Dates,Settle
2020-02-05,1.9605
2020-02-06,2.044
2020-02-07,2.095
2020-02-10,2.08
2020-02-11,2.094
2020-02-12,2.171
2020-02-13,2.208
2020-02-14,2.182
2020-02-17,2.3
2020-02-18,2.41
2020-02-19,2.456
2020-02-20,2.45
2020-02-21,2.38
2020-02-24,2.222
2020-02-25,2.132
2020-02-26,2.156
2020-02-27,2.065
2020-02-28,1.9825
2020-03-02,1.858
2020-03-03,1.705
2020-03-04,1.631
2020-03-05,1.562
2020-03-06,1.51
2020-03-09,1.2935
2020-03-10,1.2295
2020-03-11,1.3235
2020-03-12,1.1025
2020-03-13,1.2685
2020-03-16,1.168
2020-03-17,1.2485
2020-03-18,1.249
2020-03-19,1.265
2020-03-20,1.253
2020-03-23,1.2425
2020-03-24,1.323
2020-03-25,1.3035
2020-03-26,1.322
2020-03-27,1.2575
2020-03-30,1.2125
2020-03-31,1.2
2020-04-01,1.176
2020-04-02,1.208
2020-04-03,1.1865
2020-04-06,1.2155
2020-04-07,1.2155
2020-04-08,1.185
2020-04-09,1.218
2020-04-14,1.171
2020-04-15,1.1025
2020-04-16,1.11
2020-04-17,1.1115
2020-04-20,1.112
2020-04-21,1.0755
2020-04-22,1.0735
2020-04-23,1.102
2020-04-24,1.062
2020-04-27,1.097
2020-04-28,1.1275
2020-04-29,1.156
2020-04-30,1.1135
2020-05-04,1.0945
2020-05-05,1.116
2020-05-06,1.108
2020-05-07,1.0925
2020-05-08,1.1475
2020-05-11,1.1595
2020-05-12,1.1535
2020-05-13,1.1275
2020-05-14,1.1215
2020-05-15,1.1155
2020-05-18,1.1695
2020-05-19,1.084
2020-05-20,1.0795
2020-05-21,1.043
2020-05-22,1.051
2020-05-25,1.0615
2020-05-26,1.1125
2020-05-27,1.1215
2020-05-28,1.164
2020-05-29,1.1505
2020-06-01,1.2255
2020-06-02,1.2455
2020-06-03,1.275
2020-06-04,1.3305
2020-06-05,1.4205
2020-06-08,1.44
2020-06-09,1.398
2020-06-10,1.3805
2020-06-11,1.2725
2020-06-12,1.278
2020-06-15,1.2875
2020-06-16,1.382
2020-06-17,1.377
2020-06-18,1.352
2020-06-19,1.337
2020-06-22,1.34
2020-06-23,1.378
2020-06-24,1.305
2020-06-25,1.3345
2020-06-26,1.2845
2020-06-29,1.3615
2020-06-30,1.328
2020-07-01,1.298
2020-07-02,1.363
2020-07-03,1.3475
2020-07-06,1.404
2020-07-07,1.3895
2020-07-08,1.3585
2020-07-09,1.3085
2020-07-10,1.3335
2020-07-13,1.354
2020-07-14,1.367
2020-07-15,1.39
2020-07-16,1.4005
2020-07-17,1.398
2020-07-20,1.475
2020-07-21,1.4815
2020-07-22,1.475
2020-07-23,1.428
2020-07-24,1.426
2020-07-27,1.372
2020-07-28,1.381
2020-07-29,1.348
2020-07-30,1.276
2020-07-31,1.271
2020-08-03,1.248
2020-08-04,1.304
2020-08-05,1.3245
2020-08-06,1.296
2020-08-07,1.272
2020-08-10,1.307
2020-08-11,1.3975
2020-08-12,1.3865
2020-08-13,1.436
2020-08-14,1.424
2020-08-17,1.3895
2020-08-18,1.4015
2020-08-19,1.441
2020-08-20,1.409
2020-08-21,1.41
2020-08-24,1.438
2020-08-25,1.438
2020-08-26,1.423
2020-08-27,1.4275
2020-08-28,1.4345
2020-08-31,1.412
2020-09-01,1.4075
2020-09-02,1.3855
2020-09-03,1.368
2020-09-04,1.42
2020-09-07,1.42
2020-09-08,1.397
2020-09-09,1.408
2020-09-10,1.51
2020-09-11,1.481
2020-09-14,1.4585
2020-09-15,1.455
2020-09-16,1.445
2020-09-17,1.4215
2020-09-18,1.3905
2020-09-21,1.309
2020-09-22,1.3175
2020-09-23,1.268
2020-09-24,1.3415
2020-09-25,1.373
2020-09-28,1.389
2020-09-29,1.3905
2020-09-30,1.445
2020-10-01,1.505
2020-10-02,1.5865
2020-10-05,1.57
2020-10-06,1.658
2020-10-07,1.661
2020-10-08,1.692
2020-10-09,1.67
2020-10-12,1.655
2020-10-13,1.604
2020-10-14,1.611
2020-10-15,1.6105
2020-10-16,1.6565
2020-10-19,1.6215
2020-10-20,1.6715
2020-10-21,1.6355
2020-10-22,1.646
2020-10-23,1.679
2020-10-26,1.65
2020-10-27,1.6165
2020-10-28,1.5495
2020-10-29,1.513
2020-10-30,1.551
2020-11-02,1.612
2020-11-03,1.642
2020-11-04,1.645
2020-11-05,1.649
2020-11-06,1.6485
2020-11-09,1.7675
2020-11-10,1.8
2020-11-11,1.7665
2020-11-12,1.7865
2020-11-13,1.7935
2020-11-16,1.8205
2020-11-17,1.8675
2020-11-18,1.8945
2020-11-19,1.8705
2020-11-20,1.939
2020-11-23,1.867
2020-11-24,1.8895
2020-11-25,1.883
2020-11-26,1.8525
2020-11-27,1.856
2020-11-30,1.8505
2020-12-01,1.876
2020-12-02,1.83
2020-12-03,1.8665
2020-12-04,1.849
2020-12-07,1.8345
2020-12-08,1.828
2020-12-09,1.851
2020-12-10,1.8125
2020-12-11,1.775
2020-12-14,1.791
2020-12-15,1.817
2020-12-16,1.801
2020-12-17,1.8085
2020-12-18,1.783
2020-12-21,1.73
2020-12-22,1.786
2020-12-23,1.805
2020-12-24,1.805
2020-12-28,1.8065
2020-12-29,1.81
2020-12-30,1.808
2020-12-31,1.808
2021-01-04,1.797
2021-01-05,1.7965
2021-01-06,1.8985
2021-01-07,1.9555
2021-01-08,1.94
2021-01-11,1.9205
2021-01-12,1.9265
2021-01-13,1.9055
2021-01-14,1.894
2021-01-15,1.878
2021-01-18,1.882
2021-01-19,1.8715
2021-01-20,1.896
2021-01-21,1.8815
2021-01-22,1.8285
2021-01-25,1.781
2021-01-26,1.809
2021-01-27,1.785
2021-01-28,1.8435
2021-01-29,1.8125
2021-02-01,1.8195
2021-02-02,1.8555
2021-02-03,1.925
2021-02-04,2.009
2021-02-05,2.03
2021-02-08,2.155
2021-02-09,2.174
2021-02-10,2.173
2021-02-11,2.182
2021-02-12,2.185
2021-02-15,2.188
2021-02-16,2.16
2021-02-17,2.139
2021-02-18,2.126
2021-02-19,2.164
2021-02-22,2.143
2021-02-23,2.144
2021-02-24,2.16
2021-02-25,2.165
2021-02-26,2.124
2021-03-01,2.153
2021-03-02,2.17
2021-03-03,2.211
2021-03-04,2.19
2021-03-05,2.204
2021-03-08,2.293
2021-03-09,2.323
2021-03-10,2.314
2021-03-11,2.276
2021-03-12,2.271
2021-03-15,2.273
2021-03-16,2.358
2021-03-17,2.448
2021-03-18,2.47
2021-03-19,2.426
2021-03-22,2.429
2021-03-23,2.429
2021-03-24,2.461
2021-03-25,2.442
2021-03-26,2.434
2021-03-29,2.443
2021-03-30,2.497
2021-03-31,2.435
2021-04-01,2.442
2021-04-06,2.434
2021-04-07,2.413
2021-04-08,2.361
2021-04-09,2.335
2021-04-12,2.355
2021-04-13,2.36
2021-04-14,2.334
2021-04-15,2.325
2021-04-16,2.378
2021-04-19,2.387
2021-04-20,2.253
2021-04-21,2.226
2021-04-22,2.245
2021-04-23,2.259
2021-04-26,2.305
2021-04-27,2.329
2021-04-28,2.393
2021-04-29,2.384
2021-04-30,2.37
2021-05-03,2.414
2021-05-04,2.382
2021-05-05,2.429
2021-05-06,2.462
2021-05-07,2.461
2021-05-10,2.529
2021-05-11,2.554
2021-05-12,2.583
2021-05-13,2.595
2021-05-14,2.674
2021-05-17,2.727
2021-05-18,2.746
2021-05-19,2.761
2021-05-20,2.701
2021-05-21,2.735
2021-05-24,2.78
2021-05-25,2.817
2021-05-26,2.83
2021-05-27,2.903
2021-05-28,2.906
2021-05-31,2.928
2021-06-01,2.958
2021-06-02,2.971
2021-06-03,2.998
2021-06-04,2.995
2021-06-07,3.04
2021-06-08,3.023
2021-06-09,3.034
2021-06-10,3.028
2021-06-11,3.029
2021-06-14,3.007
2021-06-15,2.962
2021-06-16,2.908
2021-06-17,2.896
2021-06-18,2.858
2021-06-21,2.899
2021-06-22,2.85
2021-06-23,2.842
2021-06-24,2.81
2021-06-25,2.84
2021-06-28,2.76
2021-06-29,2.737
2021-06-30,2.713
2021-07-01,2.76
2021-07-02,2.717
2021-07-05,2.761
2021-07-06,2.674
2021-07-07,2.646
2021-07-08,2.551
2021-07-09,2.699
2021-07-12,2.695
2021-07-13,2.669
2021-07-14,2.628
2021-07-15,2.627
2021-07-16,2.57
2021-07-19,2.488
2021-07-20,2.542
2021-07-21,2.61
2021-07-22,2.586
2021-07-23,2.627
2021-07-26,2.648
2021-07-27,2.613
2021-07-28,2.628
2021-07-29,2.632
2021-07-30,2.534
2021-08-02,2.524
2021-08-03,2.488
2021-08-04,2.545
2021-08-05,2.551
2021-08-06,2.738
2021-08-09,2.747
2021-08-10,2.724
2021-08-11,2.828
2021-08-12,2.793
2021-08-13,2.789
2021-08-16,2.744
2021-08-17,2.691
2021-08-18,2.717
2021-08-19,2.646
2021-08-20,2.657
2021-08-23,2.703
2021-08-24,2.695
2021-08-25,2.789
2021-08-26,2.753
2021-08-27,2.799
2021-08-30,2.783
2021-08-31,2.808
2021-09-01,2.829
2021-09-02,2.827
2021-09-03,2.772
2021-09-06,2.802
2021-09-07,2.755
2021-09-08,2.714
2021-09-09,2.737
2021-09-10,2.697
2021-09-13,2.74
2021-09-14,2.703
2021-09-15,2.676
2021-09-16,2.71
2021-09-17,2.685
2021-09-20,2.548
2021-09-21,2.562
2021-09-22,2.628
2021-09-23,2.695
2021-09-24,2.673
2021-09-27,2.75
2021-09-28,2.677
2021-09-29,2.705
2021-09-30,2.717
2021-10-01,2.706
2021-10-04,2.67
2021-10-05,2.82
2021-10-06,2.823
2021-10-07,2.814
2021-10-08,2.826
2021-10-11,2.761
2021-10-12,2.761
2021-10-13,2.7
2021-10-14,2.817
2021-10-15,2.844
2021-10-18,2.906
2021-10-19,2.923
2021-10-20,2.956
2021-10-21,2.912
2021-10-22,2.955
2021-10-25,2.965
2021-10-26,2.989
2021-10-27,2.936
2021-10-28,2.897
2021-10-29,2.686
2021-11-01,2.694
2021-11-02,2.743
2021-11-03,2.797
2021-11-04,2.761
2021-11-05,2.9
2021-11-08,2.836
2021-11-09,2.78
2021-11-10,2.78
2021-11-11,2.797
2021-11-12,2.788
2021-11-15,2.797
2021-11-16,2.764
2021-11-17,2.75
2021-11-18,2.716
2021-11-19,2.646
2021-11-22,2.645
2021-11-23,2.621
2021-11-24,2.621
2021-11-25,2.58
2021-11-26,2.43
2021-11-29,2.471
2021-11-30,2.466
2021-12-01,2.517
2021-12-02,2.554
2021-12-03,2.547
2021-12-06,2.624
2021-12-07,2.68
2021-12-08,2.63
2021-12-09,2.626
2021-12-10,2.586
2021-12-13,2.599
2021-12-14,2.636
2021-12-15,2.631
2021-12-16,2.581
2021-12-17,2.572
2021-12-20,2.502
2021-12-21,2.584
2021-12-22,2.587
2021-12-23,2.571
2021-12-24,2.571
2021-12-27,2.582
2021-12-28,2.625
2021-12-29,2.624
2021-12-30,2.64
2021-12-31,2.64
2022-01-03,2.716
2022-01-04,2.754
2022-01-05,2.785
2022-01-06,2.76
2022-01-07,2.826
2022-01-10,2.819
2022-01-11,2.871
2022-01-12,2.865
2022-01-13,2.873
2022-01-14,2.862
2022-01-17,2.857
2022-01-18,2.813
2022-01-19,2.79
2022-01-20,2.801
2022-01-21,2.777
2022-01-24,2.644
2022-01-25,2.616
2022-01-26,2.688
2022-01-27,2.731
2022-01-28,2.661
2022-01-31,2.743
2022-02-01,2.812
2022-02-02,2.879
2022-02-03,2.929
2022-02-04,2.89
2022-02-07,2.918
2022-02-08,2.994
2022-02-09,3.236
2022-02-10,3.234
2022-02-11,3.551
2022-02-14,3.528
2022-02-15,3.63
2022-02-16,3.562
2022-02-17,3.518
2022-02-18,3.584
2022-02-21,3.512
2022-02-22,3.494
2022-02-23,3.359
2022-02-24,3.084
2022-02-25,3.151
2022-02-28,3.081
2022-03-01,2.874
2022-03-02,2.871
2022-03-03,2.66
2022-03-04,2.429
2022-03-07,2.317
2022-03-08,2.435
2022-03-09,2.646
2022-03-10,2.498
2022-03-11,2.555
2022-03-14,2.628
2022-03-15,2.647
2022-03-16,2.878
2022-03-17,2.737
2022-03-18,#N/A N/A: Error occurred during request processing.
2022-03-21,2.726
2022-03-22,2.768
2022-03-23,2.722
2022-03-24,2.703
2022-03-25,2.719
2022-03-28,2.726
2022-03-29,2.87
2022-03-30,2.777
2022-03-31,2.69
2022-04-01,2.713
2022-04-04,2.771
2022-04-05,2.765
2022-04-06,2.711
2022-04-07,2.735
2022-04-08,3.015
2022-04-11,2.956
2022-04-12,2.957
2022-04-13,3.056
2022-04-14,3.06
2022-04-19,2.912
2022-04-20,3.042
2022-04-21,3.071
2022-04-22,3.07
2022-04-25,3.09
2022-04-26,3.031
2022-04-27,3.069
2022-04-28,3.042
2022-04-29,3.027
2022-05-02,2.971
2022-05-03,3.049
2022-05-04,2.935
2022-05-05,2.916
2022-05-06,2.886
2022-05-09,2.79
2022-05-10,2.818
2022-05-11,2.916
2022-05-12,2.938
2022-05-13,2.915
2022-05-16,2.892
2022-05-17,2.98
2022-05-18,2.956
2022-05-19,3.02
2022-05-20,2.98
2022-05-23,3.108
2022-05-24,3.144
2022-05-25,3.205
2022-05-26,3.228
2022-05-27,3.202
2022-05-30,3.24
2022-05-31,3.246
2022-06-01,3.216
2022-06-02,3.23
2022-06-03,3.15
2022-06-06,3.202
2022-06-07,3.173
2022-06-08,3.15
2022-06-09,3.103
2022-06-10,2.729
2022-06-13,2.595
2022-06-14,2.626
2022-06-15,2.716
2022-06-16,2.645
2022-06-17,2.713
2022-06-20,2.83
2022-06-21,2.889
2022-06-22,2.871
2022-06-23,2.787
2022-06-24,2.873
2022-06-27,2.797
2022-06-28,2.796
2022-06-29,2.802
2022-06-30,2.716
2022-07-01,2.652
