Dates,Settle
2020-02-05,172.96
2020-02-06,176.72
2020-02-07,177.16
2020-02-10,176.9
2020-02-11,179.02
2020-02-12,179.34
2020-02-13,176.32
2020-02-14,175.92
2020-02-17,177.7
2020-02-18,175.08
2020-02-19,176.74
2020-02-20,181.32
2020-02-21,179.62
2020-02-24,170.02
2020-02-25,165.86
2020-02-26,165.94
2020-02-27,154.44
2020-02-28,148.74
2020-03-02,143.3
2020-03-03,139.56
2020-03-04,138.54
2020-03-05,134.68
2020-03-06,130.94
2020-03-09,118.1
2020-03-10,116.84
2020-03-11,117.94
2020-03-12,97.52
2020-03-13,102.38
2020-03-16,89.06
2020-03-17,87.76
2020-03-18,83.2
2020-03-19,83.74
2020-03-20,89.02
2020-03-23,84.7
2020-03-24,96.02
2020-03-25,105.78
2020-03-26,107.98
2020-03-27,97.37
2020-03-30,94
2020-03-31,94.11
2020-04-01,82.86
2020-04-02,81.62
2020-04-03,80.24
2020-04-06,86.56
2020-04-07,94.79
2020-04-08,92.65
2020-04-09,97.58
2020-04-14,93.55
2020-04-15,87
2020-04-16,87.08
2020-04-17,90.71
2020-04-20,91.01
2020-04-21,86.51
2020-04-22,87.7
2020-04-23,90.6
2020-04-24,88.61
2020-04-27,91.06
2020-04-28,97.76
2020-04-29,110.18
2020-04-30,105.9
2020-05-04,99.68
2020-05-05,103.4
2020-05-06,100.86
2020-05-07,105.42
2020-05-08,105.42
2020-05-11,102.6
2020-05-12,102
2020-05-13,98.01
2020-05-14,97.14
2020-05-15,97.45
2020-05-18,105.2
2020-05-19,104.72
2020-05-20,106.72
2020-05-21,103.92
2020-05-22,103.14
2020-05-25,103.14
2020-05-26,110.78
2020-05-27,119.84
2020-05-28,122.62
2020-05-29,115.24
2020-06-01,120.78
2020-06-02,119.5
2020-06-03,125.32
2020-06-04,123.52
2020-06-05,131.4
2020-06-08,131.8
2020-06-09,125.28
2020-06-10,124
2020-06-11,115
2020-06-12,117.06
2020-06-15,116.1
2020-06-16,122.68
2020-06-17,119.38
2020-06-18,118.64
2020-06-19,116.56
2020-06-22,115.3
2020-06-23,116.9
2020-06-24,111.86
2020-06-25,112.62
2020-06-26,110.98
2020-06-29,114.5
2020-06-30,114.42
2020-07-01,113.54
2020-07-02,117.9
2020-07-03,115.72
2020-07-06,117.3
2020-07-07,114.96
2020-07-08,114.4
2020-07-09,111.96
2020-07-10,117.76
2020-07-13,119.56
2020-07-14,119.36
2020-07-15,120.3
2020-07-16,118.58
2020-07-17,116.4
2020-07-20,116.22
2020-07-21,116.64
2020-07-22,117.42
2020-07-23,116.46
2020-07-24,113.6
2020-07-27,111
2020-07-28,111.86
2020-07-29,105.02
2020-07-30,100.78
2020-07-31,100.56
2020-08-03,103.82
2020-08-04,105.3
2020-08-05,107.34
2020-08-06,105.84
2020-08-07,104.6
2020-08-10,106.64
2020-08-11,111.76
2020-08-12,111.5
2020-08-13,108.08
2020-08-14,109.2
2020-08-17,107.94
2020-08-18,108.12
2020-08-19,110.2
2020-08-20,107.58
2020-08-21,108
2020-08-24,110.4
2020-08-25,109.14
2020-08-26,110.4
2020-08-27,110.54
2020-08-28,111.96
2020-08-31,111.96
2020-09-01,105.9
2020-09-02,103.5
2020-09-03,105.56
2020-09-04,106.88
2020-09-07,106.94
2020-09-08,104.28
2020-09-09,104.88
2020-09-10,105.04
2020-09-11,102.62
2020-09-14,103.62
2020-09-15,102.64
2020-09-16,102.96
2020-09-17,100.54
2020-09-18,97.42
2020-09-21,92.16
2020-09-22,91.97
2020-09-23,92.9
2020-09-24,92.87
2020-09-25,91.55
2020-09-28,98
2020-09-29,97.25
2020-09-30,97.61
2020-10-01,98
2020-10-02,97.71
2020-10-05,99.45
2020-10-06,104.18
2020-10-07,104.5
2020-10-08,107.1
2020-10-09,107.28
2020-10-12,105.84
2020-10-13,102.1
2020-10-14,101.54
2020-10-15,100.12
2020-10-16,101.8
2020-10-19,103.36
2020-10-20,104.32
2020-10-21,102.72
2020-10-22,104.28
2020-10-23,111.54
2020-10-26,110.52
2020-10-27,106.6
2020-10-28,103.8
2020-10-29,104.66
2020-10-30,106.56
2020-11-02,107.04
2020-11-03,113.36
2020-11-04,110.38
2020-11-05,110.16
2020-11-06,110.94
2020-11-09,128.54
2020-11-10,134.4
2020-11-11,135.52
2020-11-12,132.36
2020-11-13,134.16
2020-11-16,138.78
2020-11-17,138.4
2020-11-18,141.6
2020-11-19,138.94
2020-11-20,137.76
2020-11-23,140.2
2020-11-24,150.2
2020-11-25,143.4
2020-11-26,141.1
2020-11-27,139.5
2020-11-30,134.56
2020-12-01,143.24
2020-12-02,146.94
2020-12-03,148.56
2020-12-04,148.62
2020-12-07,146.26
2020-12-08,146.36
2020-12-09,145.9
2020-12-10,141.76
2020-12-11,136.06
2020-12-14,142.36
2020-12-15,144.7
2020-12-16,144.2
2020-12-17,145.54
2020-12-18,145
2020-12-21,141.26
2020-12-22,145.98
2020-12-23,151.82
2020-12-24,154.6
2020-12-28,154.6
2020-12-29,149.28
2020-12-30,148.88
2020-12-31,146.68
2021-01-04,143.52
2021-01-05,143.2
2021-01-06,155.04
2021-01-07,156.12
2021-01-08,152.92
2021-01-11,151.2
2021-01-12,154.24
2021-01-13,152.36
2021-01-14,152.86
2021-01-15,148.8
2021-01-18,151.32
2021-01-19,146.86
2021-01-20,146.32
2021-01-21,144.8
2021-01-22,143.06
2021-01-25,137.12
2021-01-26,139.44
2021-01-27,134.32
2021-01-28,136.58
2021-01-29,133.54
2021-02-01,134.84
2021-02-02,140.18
2021-02-03,141.8
2021-02-04,145.78
2021-02-05,147.22
2021-02-08,147.48
2021-02-09,147.7
2021-02-10,147.68
2021-02-11,145.96
2021-02-12,145.9
2021-02-15,153.96
2021-02-16,155.56
2021-02-17,154.36
2021-02-18,147.5
2021-02-19,153.64
2021-02-22,154.26
2021-02-23,159.18
2021-02-24,164.58
2021-02-25,162.54
2021-02-26,159.6
2021-03-01,161.34
2021-03-02,162.22
2021-03-03,170.34
2021-03-04,166.66
2021-03-05,171.58
2021-03-08,177.92
2021-03-09,175.78
2021-03-10,174
2021-03-11,174.26
2021-03-12,180.6
2021-03-15,180.28
2021-03-16,183.02
2021-03-17,181.32
2021-03-18,183.8
2021-03-19,182.6
2021-03-22,180.96
2021-03-23,181.08
2021-03-24,184.22
2021-03-25,182.04
2021-03-26,182.96
2021-03-29,180.38
2021-03-30,189.14
2021-03-31,185.92
2021-04-01,184
2021-04-06,185.58
2021-04-07,187.36
2021-04-08,187.98
2021-04-09,185.7
2021-04-12,188.08
2021-04-13,186.82
2021-04-14,187.58
2021-04-15,184.64
2021-04-16,189.18
2021-04-19,187.68
2021-04-20,181.8
2021-04-21,180.74
2021-04-22,182.32
2021-04-23,181.98
2021-04-26,186.08
2021-04-27,186.5
2021-04-28,188.96
2021-04-29,188.72
2021-04-30,175.5
2021-05-03,175.5
2021-05-04,170.9
2021-05-05,176.76
2021-05-06,177.1
2021-05-07,181.54
2021-05-10,185.46
2021-05-11,180
2021-05-12,181.46
2021-05-13,178.2
2021-05-14,180.7
2021-05-17,179.22
2021-05-18,180.26
2021-05-19,178.08
2021-05-20,178.88
2021-05-21,179.02
2021-05-24,179.68
2021-05-25,179.64
2021-05-26,179.26
2021-05-27,183.7
2021-05-28,183.1
2021-05-31,183.1
2021-06-01,185.58
2021-06-02,186.44
2021-06-03,186.34
2021-06-04,183.96
2021-06-07,186.98
2021-06-08,185.16
2021-06-09,180.5
2021-06-10,179.06
2021-06-11,180.4
2021-06-14,179.4
2021-06-15,179.22
2021-06-16,177.12
2021-06-17,178.82
2021-06-18,171.86
2021-06-21,172.94
2021-06-22,172.54
2021-06-23,172.8
2021-06-24,174.4
2021-06-25,174.84
2021-06-28,171.52
2021-06-29,173.2
2021-06-30,171.12
2021-07-01,175.3
2021-07-02,172.36
2021-07-05,177.7
2021-07-06,171.52
2021-07-07,172.5
2021-07-08,167.64
2021-07-09,173.36
2021-07-12,172.72
2021-07-13,170
2021-07-14,170.7
2021-07-15,169.12
2021-07-16,165.42
2021-07-19,159.32
2021-07-20,161.66
2021-07-21,167.2
2021-07-22,165.32
2021-07-23,167.12
2021-07-26,169.44
2021-07-27,169.38
2021-07-28,172.76
2021-07-29,176.22
2021-07-30,174.5
2021-08-02,175.9
