Dates,Settle
2020-02-05,4.927
2020-02-06,5.1
2020-02-07,5.227
2020-02-10,5.242
2020-02-11,5.233
2020-02-12,5.329
2020-02-13,5.298
2020-02-14,5.243
2020-02-17,5.228
2020-02-18,5.168
2020-02-19,5.174
2020-02-20,5.104
2020-02-21,5.11
2020-02-24,4.912
2020-02-25,4.754
2020-02-26,4.7415
2020-02-27,4.547
2020-02-28,4.3345
2020-03-02,4.286
2020-03-03,4.249
2020-03-04,4.3265
2020-03-05,4.1235
2020-03-06,4.032
2020-03-09,3.4995
2020-03-10,3.4515
2020-03-11,3.542
2020-03-12,3.008
2020-03-13,3.0445
2020-03-16,2.6375
2020-03-17,2.82
2020-03-18,2.7085
2020-03-19,2.8035
2020-03-20,2.886
2020-03-23,2.7845
2020-03-24,3.091
2020-03-25,3.2635
2020-03-26,3.2795
2020-03-27,3.1045
2020-03-30,2.92
2020-03-31,2.9155
2020-04-01,2.727
2020-04-02,2.674
2020-04-03,2.748
2020-04-06,2.971
2020-04-07,2.927
2020-04-08,2.959
2020-04-09,3.004
2020-04-14,2.935
2020-04-15,2.731
2020-04-16,2.624
2020-04-17,2.664
2020-04-20,2.658
2020-04-21,2.479
2020-04-22,2.585
2020-04-23,2.704
2020-04-24,2.593
2020-04-27,2.686
2020-04-28,2.927
2020-04-29,3.162
2020-04-30,2.987
2020-05-04,2.8
2020-05-05,2.8
2020-05-06,2.719
2020-05-07,2.693
2020-05-08,2.727
2020-05-11,2.647
2020-05-12,2.662
2020-05-13,2.541
2020-05-14,2.609
2020-05-15,2.578
2020-05-18,2.722
2020-05-19,2.599
2020-05-20,2.583
2020-05-21,2.566
2020-05-22,2.589
2020-05-25,2.65
2020-05-26,2.825
2020-05-27,2.921
2020-05-28,2.931
2020-05-29,2.793
2020-06-01,2.861
2020-06-02,3.005
2020-06-03,3.16
2020-06-04,3.212
2020-06-05,3.527
2020-06-08,3.55
2020-06-09,3.408
2020-06-10,3.313
2020-06-11,3.095
2020-06-12,3.129
2020-06-15,3.055
2020-06-16,3.153
2020-06-17,3.159
2020-06-18,3.101
2020-06-19,3.106
2020-06-22,3.063
2020-06-23,3.185
2020-06-24,3.032
2020-06-25,3.071
2020-06-26,2.998
2020-06-29,3.082
2020-06-30,3.064
2020-07-01,3.008
2020-07-02,3.227
2020-07-03,3.147
2020-07-06,3.307
2020-07-07,3.226
2020-07-08,3.119
2020-07-09,3.075
2020-07-10,3.146
2020-07-13,3.205
2020-07-14,3.169
2020-07-15,3.25
2020-07-16,3.262
2020-07-17,3.216
2020-07-20,3.194
2020-07-21,3.183
2020-07-22,3.183
2020-07-23,3.142
2020-07-24,3.117
2020-07-27,3.018
2020-07-28,3.047
2020-07-29,2.935
2020-07-30,2.698
2020-07-31,2.637
2020-08-03,2.724
2020-08-04,2.775
2020-08-05,2.666
2020-08-06,2.604
2020-08-07,2.525
2020-08-10,2.578
2020-08-11,2.695
2020-08-12,2.633
2020-08-13,2.56
2020-08-14,2.527
2020-08-17,2.515
2020-08-18,2.478
2020-08-19,2.553
2020-08-20,2.464
2020-08-21,2.426
2020-08-24,2.484
2020-08-25,2.505
2020-08-26,2.541
2020-08-27,2.534
2020-08-28,2.6
2020-08-31,2.453
2020-09-01,2.463
2020-09-02,2.383
2020-09-03,2.43
2020-09-04,2.557
2020-09-07,2.525
2020-09-08,2.489
2020-09-09,2.517
2020-09-10,2.514
2020-09-11,2.435
2020-09-14,2.49
2020-09-15,2.413
2020-09-16,2.429
2020-09-17,2.418
2020-09-18,2.311
2020-09-21,2.164
2020-09-22,2.16
2020-09-23,2.169
2020-09-24,2.284
2020-09-25,2.292
2020-09-28,2.384
2020-09-29,2.331
2020-09-30,2.372
2020-10-01,2.377
2020-10-02,2.378
2020-10-05,2.404
2020-10-06,2.477
2020-10-07,2.413
2020-10-08,2.435
2020-10-09,2.39
2020-10-12,2.352
2020-10-13,2.258
2020-10-14,2.268
2020-10-15,2.257
2020-10-16,2.334
2020-10-19,2.356
2020-10-20,2.428
2020-10-21,2.394
2020-10-22,2.427
2020-10-23,2.495
2020-10-26,2.436
2020-10-27,2.406
2020-10-28,2.366
2020-10-29,2.339
2020-10-30,2.462
2020-11-02,2.499
2020-11-03,2.631
2020-11-04,2.456
2020-11-05,2.56
2020-11-06,2.486
2020-11-09,2.9
2020-11-10,3.091
2020-11-11,3.143
2020-11-12,3.09
2020-11-13,3.174
2020-11-16,3.658
2020-11-17,3.497
2020-11-18,3.511
2020-11-19,3.572
2020-11-20,3.599
2020-11-23,3.63
2020-11-24,3.776
2020-11-25,3.785
2020-11-26,3.77
2020-11-27,3.958
2020-11-30,3.93
2020-12-01,4.005
2020-12-02,4.08
2020-12-03,4.078
2020-12-04,4.304
2020-12-07,4.2
2020-12-08,4.155
2020-12-09,4.155
2020-12-10,4.054
2020-12-11,3.971
2020-12-14,4.028
2020-12-15,4.099
2020-12-16,4.056
2020-12-17,4.059
2020-12-18,4.054
2020-12-21,3.881
2020-12-22,3.966
2020-12-23,4.081
2020-12-24,4.1
2020-12-28,4.078
2020-12-29,4.068
2020-12-30,4.074
2020-12-31,4.035
2021-01-04,4.078
2021-01-05,4.074
2021-01-06,4.309
2021-01-07,4.352
2021-01-08,4.276
2021-01-11,4.251
2021-01-12,4.256
2021-01-13,4.196
2021-01-14,4.174
2021-01-15,4.088
2021-01-18,4.14
2021-01-19,4.022
2021-01-20,4.051
2021-01-21,4.035
2021-01-22,4.002
2021-01-25,3.887
2021-01-26,3.944
2021-01-27,3.835
2021-01-28,3.941
2021-01-29,3.767
2021-02-01,3.758
2021-02-02,3.984
