Dates,Settle
2020-02-05,0.1988
2020-02-06,0.1949
2020-02-07,0.1948
2020-02-10,0.188
2020-02-11,0.1915
2020-02-12,0.19
2020-02-13,0.1935
2020-02-14,0.1901
2020-02-17,0.192
2020-02-18,0.1915
2020-02-19,0.1918
2020-02-20,0.1907
2020-02-21,0.1899
2020-02-24,0.1801
2020-02-25,0.1733
2020-02-26,0.1763
2020-02-27,0.1723
2020-02-28,0.1625
2020-03-02,0.1596
2020-03-03,0.1593
2020-03-04,0.1572
2020-03-05,0.1492
2020-03-06,0.1416
2020-03-09,0.1201
2020-03-10,0.125
2020-03-11,0.1246
2020-03-12,0.1131
2020-03-13,0.1123
2020-03-16,0.1015
2020-03-17,0.105
2020-03-18,0.1008
2020-03-19,0.1004
2020-03-20,0.103
2020-03-23,0.1006
2020-03-24,0.1076
2020-03-25,0.109
2020-03-26,0.1099
2020-03-27,0.1055
2020-03-30,0.1052
2020-03-31,0.1025
2020-04-01,0.1
2020-04-02,0.094
2020-04-03,0.0891
2020-04-06,0.0914
2020-04-07,0.0967
2020-04-08,0.0985
2020-04-09,0.103
2020-04-14,0.1063
2020-04-15,0.0988
2020-04-16,0.0959
2020-04-17,0.0985
2020-04-20,0.0975
2020-04-21,0.092
2020-04-22,0.0939
2020-04-23,0.0964
2020-04-24,0.0945
2020-04-27,0.0938
2020-04-28,0.0959
2020-04-29,0.101
2020-04-30,0.102
2020-05-04,0.0975
2020-05-05,0.0978
2020-05-06,0.0955
2020-05-07,0.0954
2020-05-08,0.0952
2020-05-11,0.0929
2020-05-12,0.0925
2020-05-13,0.0888
2020-05-14,0.0854
2020-05-15,0.0871
2020-05-18,0.0934
2020-05-19,0.0917
2020-05-20,0.0935
2020-05-21,0.092
2020-05-22,0.0907
2020-05-25,0.0913
2020-05-26,0.0968
2020-05-27,0.0998
2020-05-28,0.1011
2020-05-29,0.0985
2020-06-01,0.1002
2020-06-02,0.1106
2020-06-03,0.116
2020-06-04,0.1145
2020-06-05,0.1169
2020-06-08,0.1201
2020-06-09,0.1189
2020-06-10,0.1195
2020-06-11,0.1125
2020-06-12,0.1125
2020-06-15,0.112
2020-06-16,0.1164
2020-06-17,0.117
2020-06-18,0.1145
2020-06-19,0.1145
2020-06-22,0.1119
2020-06-23,0.1149
2020-06-24,0.1105
2020-06-25,0.11
2020-06-26,0.1075
2020-06-29,0.108
2020-06-30,0.107
2020-07-01,0.1062
2020-07-02,0.1084
2020-07-03,0.108
2020-07-06,0.11
2020-07-07,0.109
2020-07-08,0.1077
2020-07-09,0.1062
2020-07-10,0.1051
2020-07-13,0.1084
2020-07-14,0.1074
2020-07-15,0.1085
2020-07-16,0.1094
2020-07-17,0.11
2020-07-20,0.1099
2020-07-21,0.1091
2020-07-22,0.1072
2020-07-23,0.1057
2020-07-24,0.1039
2020-07-27,0.1009
2020-07-28,0.1016
2020-07-29,0.1001
2020-07-30,0.0979
2020-07-31,0.0982
2020-08-03,0.0997
2020-08-04,0.1016
2020-08-05,0.103
2020-08-06,0.1016
2020-08-07,0.1013
2020-08-10,0.1034
2020-08-11,0.1062
2020-08-12,0.1071
2020-08-13,0.1066
2020-08-14,0.1058
2020-08-17,0.1053
2020-08-18,0.1042
2020-08-19,0.1052
2020-08-20,0.1031
2020-08-21,0.1021
2020-08-24,0.1031
2020-08-25,0.103
2020-08-26,0.1021
2020-08-27,0.1007
2020-08-28,0.1009
2020-08-31,0.0987
2020-09-01,0.097
2020-09-02,0.0947
2020-09-03,0.0933
2020-09-04,0.0945
2020-09-07,0.0945
2020-09-08,0.0941
2020-09-09,0.0946
2020-09-10,0.0943
2020-09-11,0.092
2020-09-14,0.0922
2020-09-15,0.0913
2020-09-16,0.0911
2020-09-17,0.0925
2020-09-18,0.0907
2020-09-21,0.087
2020-09-22,0.0853
2020-09-23,0.0839
2020-09-24,0.0827
2020-09-25,0.0792
2020-09-28,0.0825
2020-09-29,0.0796
2020-09-30,0.0803
2020-10-01,0.0798
2020-10-02,0.0779
2020-10-05,0.0789
2020-10-06,0.0809
2020-10-07,0.0808
2020-10-08,0.0834
2020-10-09,0.082
2020-10-12,0.0804
2020-10-13,0.0794
2020-10-14,0.0788
2020-10-15,0.0766
2020-10-16,0.0777
2020-10-19,0.0778
2020-10-20,0.077
2020-10-21,0.0773
2020-10-22,0.0764
2020-10-23,0.0774
2020-10-26,0.0752
2020-10-27,0.0728
2020-10-28,0.0703
2020-10-29,0.0697
2020-10-30,0.0754
2020-11-02,0.0768
2020-11-03,0.0775
2020-11-04,0.0771
2020-11-05,0.0775
2020-11-06,0.0761
2020-11-09,0.0905
2020-11-10,0.0944
2020-11-11,0.0952
2020-11-12,0.0945
2020-11-13,0.0997
2020-11-16,0.1057
2020-11-17,0.1033
2020-11-18,0.1135
2020-11-19,0.1101
2020-11-20,0.1108
2020-11-23,0.1127
2020-11-24,0.1195
2020-11-25,0.1224
2020-11-26,0.1188
2020-11-27,0.1172
2020-11-30,0.1185
2020-12-01,0.119
2020-12-02,0.1202
2020-12-03,0.1197
2020-12-04,0.123
2020-12-07,0.1237
2020-12-08,0.1265
2020-12-09,0.1287
2020-12-10,0.1266
2020-12-11,0.123
2020-12-14,0.1238
2020-12-15,0.127
2020-12-16,0.125
2020-12-17,0.1264
2020-12-18,0.1231
2020-12-21,0.1166
2020-12-22,0.119
2020-12-23,0.1221
2020-12-24,0.124
2020-12-28,0.124
2020-12-29,0.1229
2020-12-30,0.1251
2020-12-31,0.1232
2021-01-04,0.1253
2021-01-05,0.1307
2021-01-06,0.1427
2021-01-07,0.1457
2021-01-08,0.1417
2021-01-11,0.133
2021-01-12,0.1375
2021-01-13,0.1336
2021-01-14,0.1341
2021-01-15,0.13
2021-01-18,0.1294
2021-01-19,0.1282
2021-01-20,0.1274
2021-01-21,0.1234
2021-01-22,0.1199
2021-01-25,0.1162
2021-01-26,0.1153
2021-01-27,0.1131
2021-01-28,0.1178
2021-01-29,0.1142
2021-02-01,0.1145
2021-02-02,0.117
2021-02-03,0.1161
2021-02-04,0.1197
2021-02-05,0.1228
2021-02-08,0.1242
2021-02-09,0.127
2021-02-10,0.1226
2021-02-11,0.1213
2021-02-12,0.1191
2021-02-15,0.1235
2021-02-16,0.1241
2021-02-17,0.125
2021-02-18,0.1201
2021-02-19,0.1246
2021-02-22,0.1227
2021-02-23,0.1191
