Dates,Settle
2020-02-05,81.7
2020-02-06,81.8
2020-02-07,83.1
2020-02-10,82.9
2020-02-11,83.3
2020-02-12,83.1
2020-02-13,83.1
2020-02-14,83.4
2020-02-17,84.2
2020-02-18,84.0
2020-02-19,84.1
2020-02-20,83.5
2020-02-21,83.4
2020-02-24,82.6
2020-02-25,82.8
2020-02-26,83.4
2020-02-27,81.6
2020-02-28,77.6
2020-03-02,82.1
2020-03-03,81.6
2020-03-04,82.1
2020-03-05,81.0
2020-03-06,79.6
2020-03-09,75.3
2020-03-10,76.1
2020-03-11,76.7
2020-03-12,73.1
2020-03-13,74.4
2020-03-16,71.5
2020-03-17,72.5
2020-03-18,69.2
2020-03-19,69.2
2020-03-20,71.6
2020-03-23,69.7
2020-03-24,73.5
2020-03-25,74.6
2020-03-26,80.1
2020-03-27,77.3
2020-03-30,79.2
2020-03-31,79.4
2020-04-01,78.9
2020-04-02,79.4
2020-04-03,78.9
2020-04-06,80.1
2020-04-07,80.2
2020-04-08,81.4
2020-04-09,81.6
2020-04-14,82.9
2020-04-15,81.8
2020-04-16,82.6
2020-04-17,84.1
2020-04-20,86.0
2020-04-21,85.1
2020-04-22,85.2
2020-04-23,85.7
2020-04-24,85.3
2020-04-27,86.9
2020-04-28,87.5
2020-04-29,87.2
2020-04-30,85.3
2020-05-04,84.0
2020-05-05,82.2
2020-05-06,82.0
2020-05-07,83.8
2020-05-08,85.9
2020-05-11,85.7
2020-05-12,86.3
2020-05-13,85.9
2020-05-14,83.0
2020-05-15,83.9
2020-05-18,84.6
2020-05-19,85.7
2020-05-20,86.6
2020-05-21,86.6
2020-05-22,86.6
2020-05-25,89.1
2020-05-26,90.8
2020-05-27,89.6
2020-05-28,89.4
2020-05-29,93.4
2020-06-01,93.4
2020-06-02,96.0
2020-06-03,93.8
2020-06-04,92.5
2020-06-05,94.3
2020-06-08,94.0
2020-06-09,92.4
2020-06-10,90.9
2020-06-11,88.1
2020-06-12,88.1
2020-06-15,88.5
2020-06-16,91.2
2020-06-17,92.0
2020-06-18,92.8
2020-06-19,92.5
2020-06-22,93.0
2020-06-23,91.8
2020-06-24,91.5
2020-06-25,90.4
2020-06-26,89.8
2020-06-29,91.1
2020-06-30,92.1
2020-07-01,91.1
2020-07-02,92.8
2020-07-03,91.5
2020-07-06,92.2
2020-07-07,90.5
2020-07-08,91.0
2020-07-09,90.8
2020-07-10,91.1
2020-07-13,91.8
2020-07-14,93.4
2020-07-15,93.6
2020-07-16,95.0
2020-07-17,94.9
2020-07-20,95.6
2020-07-21,96.3
2020-07-22,96.9
2020-07-23,97.6
2020-07-24,97.0
2020-07-27,97.5
2020-07-28,98.1
2020-07-29,97.8
2020-07-30,96.0
2020-07-31,95.7
2020-08-03,97.5
2020-08-04,96.7
2020-08-05,97.1
2020-08-06,97.9
2020-08-07,97.8
2020-08-10,97.2
2020-08-11,98.1
2020-08-12,99.2
2020-08-13,98.9
2020-08-14,99.0
2020-08-17,98.9
2020-08-18,99.0
2020-08-19,100.6
2020-08-20,96.7
2020-08-21,95.5
2020-08-24,96.4
2020-08-25,95.8
2020-08-26,96.4
2020-08-27,95.8
2020-08-28,93.9
2020-08-31,96.5
2020-09-01,96.3
2020-09-02,98.0
2020-09-03,97.2
2020-09-04,95.8
2020-09-07,96.1
2020-09-08,94.6
2020-09-09,96.1
2020-09-10,95.7
2020-09-11,95.1
2020-09-14,94.8
2020-09-15,94.7
2020-09-16,95.6
2020-09-17,97.5
2020-09-18,98.6
2020-09-21,96.8
2020-09-22,96.4
2020-09-23,95.8
2020-09-24,95.4
2020-09-25,94.4
2020-09-28,94.8
2020-09-29,93.4
2020-09-30,93.6
2020-10-01,93.2
2020-10-02,93.2
2020-10-05,93.6
2020-10-06,93.7
2020-10-07,91.0
2020-10-08,91.5
2020-10-09,91.5
2020-10-12,92.6
2020-10-13,92.1
2020-10-14,91.7
2020-10-15,90.4
2020-10-16,90.6
2020-10-19,90.4
2020-10-20,90.4
2020-10-21,88.1
2020-10-22,88.1
2020-10-23,88.5
2020-10-26,88.6
2020-10-27,88.6
2020-10-28,87.1
2020-10-29,88.3
2020-10-30,88.8
2020-11-02,90.0
2020-11-03,92.1
2020-11-04,93.0
2020-11-05,93.6
2020-11-06,93.5
2020-11-09,95.7
2020-11-10,96.4
2020-11-11,96.4
2020-11-12,95.6
2020-11-13,97.3
2020-11-16,97.9
2020-11-17,97.5
2020-11-18,98.4
2020-11-19,97.1
2020-11-20,97.5
2020-11-23,97.5
2020-11-24,97.3
2020-11-25,97.3
2020-11-26,96.1
2020-11-27,95.9
2020-11-30,93.6
2020-12-01,94.8
2020-12-02,95.2
2020-12-03,93.4
2020-12-04,93.0
2020-12-07,93.0
2020-12-08,93.6
2020-12-09,95.0
2020-12-10,94.9
2020-12-11,95.4
2020-12-14,94.8
2020-12-15,94.5
2020-12-16,94.7
2020-12-17,95.0
2020-12-18,95.5
2020-12-21,93.8
2020-12-22,94.0
2020-12-23,95.5
2020-12-24,95.5
2020-12-28,96.4
2020-12-29,96.6
2020-12-30,96.3
2020-12-31,96.3
2021-01-04,97.1
2021-01-05,95.8
2021-01-06,97.5
2021-01-07,97.3
2021-01-08,97.0
2021-01-11,95.8
2021-01-12,96.6
2021-01-13,95.7
2021-01-14,96.0
2021-01-15,94.4
2021-01-18,94.3
2021-01-19,92.4
2021-01-20,93.3
2021-01-21,94.4
2021-01-22,94.8
2021-01-25,93.4
2021-01-26,95.0
2021-01-27,94.3
2021-01-28,95.7
2021-01-29,94.5
2021-02-01,96.5
2021-02-02,96.6
2021-02-03,97.2
2021-02-04,98.6
2021-02-05,98.6
2021-02-08,98.1
2021-02-09,98.2
2021-02-10,98.5
2021-02-11,98.9
2021-02-12,99.4
2021-02-15,101.0
2021-02-16,101.4
2021-02-17,99.1
2021-02-18,99.3
2021-02-19,98.5
2021-02-22,98.4
2021-02-23,97.6
2021-02-24,97.1
2021-02-25,97.5
2021-02-26,95.4
2021-03-01,95.2
2021-03-02,95.2
2021-03-03,95.0
2021-03-04,95.0
2021-03-05,93.8
2021-03-08,95.5
2021-03-09,94.3
2021-03-10,93.8
2021-03-11,94.9
2021-03-12,94.8
2021-03-15,94.9
2021-03-16,95.9
2021-03-17,96.0
2021-03-18,96.9
2021-03-19,96.1
2021-03-22,96.8
2021-03-23,96.3
2021-03-24,96.0
2021-03-25,95.3
2021-03-26,94.7
2021-03-29,93.7
2021-03-30,93.7
2021-03-31,92.2
2021-04-01,93.1
2021-04-06,93.0
2021-04-07,94.0
2021-04-08,94.5
2021-04-09,94.9
2021-04-12,95.0
2021-04-13,94.8
2021-04-14,94.6
2021-04-15,95.0
2021-04-16,95.1
2021-04-19,95.6
2021-04-20,95.7
2021-04-21,94.7
2021-04-22,93.6
2021-04-23,94.3
2021-04-26,94.2
2021-04-27,94.1
2021-04-28,94.1
2021-04-29,94.4
2021-04-30,93.1
2021-05-03,89.6
2021-05-04,88.8
2021-05-05,89.6
2021-05-06,89.5
2021-05-07,88.9
2021-05-10,88.2
2021-05-11,87.2
2021-05-12,86.9
2021-05-13,86.9
2021-05-14,87.5
2021-05-17,87.2
2021-05-18,85.8
2021-05-19,85.5
2021-05-20,86.8
2021-05-21,84.7
2021-05-24,84.7
2021-05-25,84.5
2021-05-26,83.9
2021-05-27,83.8
2021-05-28,84.9
2021-05-31,83.5
2021-06-01,84.6
2021-06-02,85.0
2021-06-03,83.7
2021-06-04,84.5
2021-06-07,83.5
2021-06-08,82.9
2021-06-09,82.2
2021-06-10,82.3
2021-06-11,82.8
2021-06-14,82.9
2021-06-15,82.8
2021-06-16,83.1
2021-06-17,82.3
2021-06-18,81.1
2021-06-21,82.7
2021-06-22,82.8
2021-06-23,81.6
2021-06-24,81.2
2021-06-25,81.9
2021-06-28,81.0
2021-06-29,81.6
2021-06-30,83.1
2021-07-01,83.3
2021-07-02,83.4
2021-07-05,83.2
2021-07-06,81.9
2021-07-07,81.5
2021-07-08,80.4
2021-07-09,81.0
2021-07-12,81.5
2021-07-13,81.3
2021-07-14,81.0
2021-07-15,80.9
2021-07-16,80.9
2021-07-19,79.5
2021-07-20,80.7
2021-07-21,80.7
2021-07-22,80.9
2021-07-23,80.1
2021-07-26,80.1
2021-07-27,80.4
2021-07-28,79.6
2021-07-29,80.5
2021-07-30,80.9
2021-08-02,80.7
2021-08-03,81.3
2021-08-04,81.0
2021-08-05,82.0
2021-08-06,82.3
2021-08-09,82.1
2021-08-10,82.2
2021-08-11,83.0
2021-08-12,82.2
2021-08-13,83.2
2021-08-16,82.2
2021-08-17,81.1
2021-08-18,82.3
2021-08-19,81.8
2021-08-20,81.7
2021-08-23,80.3
2021-08-24,80.1
2021-08-25,79.7
2021-08-26,79.1
2021-08-27,78.0
2021-08-30,77.9
2021-08-31,77.7
2021-09-01,78.0
2021-09-02,78.1
2021-09-03,77.7
2021-09-06,77.2
2021-09-07,77.2
2021-09-08,76.0
2021-09-09,75.5
2021-09-10,75.3
2021-09-13,75.8
2021-09-14,72.5
2021-09-15,71.6
2021-09-16,72.1
2021-09-17,71.8
2021-09-20,70.5
2021-09-21,69.7
2021-09-22,70.9
2021-09-23,70.8
2021-09-24,71.8
2021-09-27,71.8
2021-09-28,72.2
2021-09-29,71.4
2021-09-30,71.1
2021-10-01,71.2
2021-10-04,71.3
2021-10-05,70.6
2021-10-06,70.4
2021-10-07,71.7
2021-10-08,71.0
2021-10-11,70.1
2021-10-12,70.1
2021-10-13,69.5
2021-10-14,68.9
2021-10-15,69.5
2021-10-18,70.4
2021-10-19,70.5
2021-10-20,70.5
2021-10-21,69.3
2021-10-22,70.0
2021-10-25,70.6
2021-10-26,70.2
2021-10-27,70.6
2021-10-28,73.9
2021-10-29,73.7
2021-11-01,75.8
2021-11-02,74.2
2021-11-03,74.6
2021-11-04,74.5
2021-11-05,74.2
2021-11-08,73.2
2021-11-09,71.4
2021-11-10,71.7
2021-11-11,71.0
2021-11-12,71.3
2021-11-15,71.6
2021-11-16,72.8
2021-11-17,73.1
2021-11-18,73.2
2021-11-19,73.3
2021-11-22,72.8
2021-11-23,73.2
2021-11-24,71.2
2021-11-25,72.0
2021-11-26,70.5
2021-11-29,70.8
2021-11-30,74.7
2021-12-01,74.8
2021-12-02,72.3
2021-12-03,72.2
2021-12-06,73.0
2021-12-07,72.4
2021-12-08,70.3
2021-12-09,71.3
2021-12-10,70.5
2021-12-13,69.0
2021-12-14,69.4
2021-12-15,67.4
2021-12-16,67.8
2021-12-17,68.5
2021-12-20,68.3
2021-12-21,69.5
2021-12-22,69.2
2021-12-23,69.5
2021-12-24,69.5
2021-12-27,70.2
2021-12-28,70.4
2021-12-29,70.5
2021-12-30,70.8
2021-12-31,70.8
2022-01-03,71.5
2022-01-04,72.3
2022-01-05,73.0
2022-01-06,73.0
2022-01-07,71.6
2022-01-10,72.4
2022-01-11,73.2
2022-01-12,73.6
2022-01-13,75.6
2022-01-14,75.0
2022-01-17,76.1
2022-01-18,74.6
2022-01-19,75.2
2022-01-20,76.3
2022-01-21,74.7
2022-01-24,72.6
2022-01-25,75.7
2022-01-26,76.4
2022-01-27,75.6
2022-01-28,75.2
2022-01-31,76.3
2022-02-01,76.9
2022-02-02,76.0
2022-02-03,75.4
2022-02-04,74.7
2022-02-07,75.2
2022-02-08,75.3
2022-02-09,75.8
2022-02-10,75.4
2022-02-11,76.6
2022-02-14,77.0
2022-02-15,76.3
2022-02-16,77.2
2022-02-17,79.1
2022-02-18,78.3
2022-02-21,76.8
2022-02-22,76.6
2022-02-23,77.7
2022-02-24,76.8
2022-02-25,77.0
2022-02-28,78.5
2022-03-01,75.4
2022-03-02,76.3
2022-03-03,75.3
2022-03-04,74.6
2022-03-07,72.6
2022-03-08,72.6
2022-03-09,73.7
2022-03-10,73.2
2022-03-11,74.0
2022-03-14,75.1
2022-03-15,73.4
2022-03-16,75.2
2022-03-17,75.5
2022-03-18,76.1
2022-03-21,76.0
2022-03-22,77.3
2022-03-23,77.1
2022-03-24,77.9
2022-03-25,78.6
2022-03-28,78.5
2022-03-29,79.3
2022-03-30,79.4
2022-03-31,80.2
2022-04-01,80.4
2022-04-04,81.2
2022-04-05,82.3
2022-04-06,82.05
