Dates,Settle
2020-02-05,39.14
2020-02-06,40.02
2020-02-07,40.68
2020-02-10,40.7
2020-02-11,41.24
2020-02-12,42.3
2020-02-13,43.02
2020-02-14,43.6
2020-02-17,44.16
2020-02-18,43.28
2020-02-19,43.92
2020-02-20,43.94
2020-02-21,44.22
2020-02-24,42.12
2020-02-25,41.28
2020-02-26,40.74
2020-02-27,39.92
2020-02-28,39.1
2020-03-02,39.56
2020-03-03,39.82
2020-03-04,38.38
2020-03-05,38.16
2020-03-06,36.74
2020-03-09,32.4
2020-03-10,31.96
2020-03-11,31.16
2020-03-12,25.56
2020-03-13,27.28
2020-03-16,24.36
2020-03-17,22.22
2020-03-18,20.34
2020-03-19,22.62
2020-03-20,25.64
2020-03-23,26.76
2020-03-24,29.74
2020-03-25,27.14
2020-03-26,27.5
2020-03-27,26
2020-03-30,24.66
2020-03-31,25.58
2020-04-01,23.6
2020-04-02,23.4
2020-04-03,22.66
2020-04-06,23.54
2020-04-07,26
2020-04-08,25.62
2020-04-09,27.34
2020-04-14,27.2
2020-04-15,24.32
2020-04-16,23.2
2020-04-17,23.58
2020-04-20,23.56
2020-04-21,22.78
2020-04-22,23.3
2020-04-23,24.96
2020-04-24,25
2020-04-27,27.72
2020-04-28,28.76
2020-04-29,30.22
2020-04-30,31.02
2020-05-04,29.92
2020-05-05,28.74
2020-05-06,28.3
2020-05-07,28.82
2020-05-08,28.2
2020-05-11,27.26
2020-05-12,26.48
2020-05-13,26
2020-05-14,26.16
2020-05-15,26.56
2020-05-18,28.14
2020-05-19,26.56
2020-05-20,27.76
2020-05-21,26.8
2020-05-22,27.54
2020-05-25,28.08
2020-05-26,29
2020-05-27,30.42
2020-05-28,30.46
2020-05-29,29.7
2020-06-01,29.7
2020-06-02,31.2
2020-06-03,32.06
2020-06-04,31.64
2020-06-05,33.04
2020-06-08,33
2020-06-09,31.88
2020-06-10,31.22
2020-06-11,29.26
2020-06-12,30.62
2020-06-15,29.7
2020-06-16,31.02
2020-06-17,30.16
2020-06-18,30.7
2020-06-19,31.42
2020-06-22,30.52
2020-06-23,31.94
2020-06-24,30.12
2020-06-25,30.7
2020-06-26,29.96
2020-06-29,30.26
2020-06-30,30.74
2020-07-01,31.08
2020-07-02,32.04
2020-07-03,31.84
2020-07-06,33.2
2020-07-07,31.9
2020-07-08,31.24
2020-07-09,30.56
2020-07-10,31.16
2020-07-13,31.68
2020-07-14,31.66
2020-07-15,32.4
2020-07-16,32.46
2020-07-17,32.94
2020-07-20,32.42
2020-07-21,32.86
2020-07-22,32.12
2020-07-23,32.08
2020-07-24,31.44
2020-07-27,31.5
2020-07-28,32.38
2020-07-29,31.36
2020-07-30,30.06
2020-07-31,30.96
2020-08-03,31.02
2020-08-04,31.26
2020-08-05,31.22
2020-08-06,30.64
2020-08-07,30.52
2020-08-10,31.38
2020-08-11,32.16
2020-08-12,31.28
2020-08-13,30.5
2020-08-14,31
2020-08-17,30.2
2020-08-18,30.02
2020-08-19,30.4
2020-08-20,30.28
2020-08-21,29.94
2020-08-24,31.12
2020-08-25,31.26
2020-08-26,31.38
2020-08-27,31.74
2020-08-28,32.72
2020-08-31,31.56
2020-09-01,31.6
2020-09-02,31.42
2020-09-03,31.7
2020-09-04,31.72
2020-09-07,31.48
2020-09-08,30.58
2020-09-09,31.64
2020-09-10,31.54
2020-09-11,31.04
2020-09-14,31.78
2020-09-15,31.5
2020-09-16,31.68
2020-09-17,32.1
2020-09-18,32.54
2020-09-21,30.34
2020-09-22,31
2020-09-23,30.5
2020-09-24,30.66
2020-09-25,29.5
2020-09-28,30.44
2020-09-29,30
2020-09-30,30.8
2020-10-01,30
2020-10-02,30.86
2020-10-05,31.7
2020-10-06,32.74
2020-10-07,32.34
2020-10-08,32.84
2020-10-09,33.3
2020-10-12,32.82
2020-10-13,32.32
2020-10-14,32.82
2020-10-15,31.8
2020-10-16,32.9
2020-10-19,33
2020-10-20,33.58
2020-10-21,33.9
2020-10-22,33.9
2020-10-23,34.24
2020-10-26,34.24
2020-10-27,32.1
2020-10-28,31.84
2020-10-29,30.92
2020-10-30,31.4
2020-11-02,31.02
2020-11-03,32.74
2020-11-04,32.18
2020-11-05,32.62
2020-11-06,32.1
2020-11-09,35.66
2020-11-10,37.4
2020-11-11,36.18
2020-11-12,35.56
2020-11-13,35.78
2020-11-16,37.4
2020-11-17,37.62
