Dates,Settle
2020-02-05,30.18
2020-02-06,30.44
2020-02-07,30.36
2020-02-10,31.1
2020-02-11,31.6
2020-02-12,32.1
2020-02-13,32.56
2020-02-14,32.52
2020-02-17,32.86
2020-02-18,32.84
2020-02-19,33
2020-02-20,32.4
2020-02-21,31.8
2020-02-24,29.62
2020-02-25,28.94
2020-02-26,29.56
2020-02-27,28.4
2020-02-28,27.86
2020-03-02,27.2
2020-03-03,27.28
2020-03-04,26.4
2020-03-05,25.36
2020-03-06,24.76
2020-03-09,22.6
2020-03-10,21.16
2020-03-11,21.04
2020-03-12,18.14
2020-03-13,19.57
2020-03-16,17.6
2020-03-17,17.3
2020-03-18,16.86
2020-03-19,17.36
2020-03-20,16.95
2020-03-23,17.17
2020-03-24,18.52
2020-03-25,18.67
2020-03-26,19.42
2020-03-27,18.75
2020-03-30,18.67
2020-03-31,19.12
2020-04-01,18.91
2020-04-02,19.07
2020-04-03,18.72
2020-04-06,19.67
2020-04-07,20.6
2020-04-08,22.36
2020-04-09,22.54
2020-04-14,22.98
2020-04-15,20.92
2020-04-16,21.18
2020-04-17,21.22
2020-04-20,21
2020-04-21,20.18
2020-04-22,20.48
2020-04-23,20.62
2020-04-24,20.62
2020-04-27,22.22
2020-04-28,22.5
2020-04-29,23.1
2020-04-30,22.66
2020-05-04,22.02
2020-05-05,22.3
2020-05-06,21.98
2020-05-07,22.36
2020-05-08,22.36
2020-05-11,22.52
2020-05-12,23.26
2020-05-13,22.78
2020-05-14,22.22
2020-05-15,22.66
2020-05-18,23.34
2020-05-19,22.8
2020-05-20,22.94
2020-05-21,22.96
2020-05-22,22.82
2020-05-25,23.16
2020-05-26,23.18
2020-05-27,23.56
2020-05-28,24.46
2020-05-29,24.36
2020-06-01,24.62
2020-06-02,25.24
2020-06-03,25.54
2020-06-04,25.68
2020-06-05,26.28
2020-06-08,26.44
2020-06-09,25.76
2020-06-10,26.04
2020-06-11,24.5
2020-06-12,25.36
2020-06-15,25.88
2020-06-16,26.5
2020-06-17,26.46
2020-06-18,26.56
2020-06-19,26.28
2020-06-22,26.52
2020-06-23,26.86
2020-06-24,25.74
2020-06-25,26.04
2020-06-26,25.8
2020-06-29,26.58
2020-06-30,26.66
2020-07-01,26.04
2020-07-02,26.72
2020-07-03,26.78
2020-07-06,27.4
2020-07-07,27.54
2020-07-08,26.5
2020-07-09,25.66
2020-07-10,25.98
2020-07-13,26.08
2020-07-14,25.86
2020-07-15,26.48
2020-07-16,26.44
2020-07-17,26.52
