Dates,Settle
2020-02-05,4.544
2020-02-06,4.314
2020-02-07,4.286
2020-02-10,3.93
2020-02-11,3.86
2020-02-12,4.176
2020-02-13,4.146
2020-02-14,4.122
2020-02-17,4.126
2020-02-18,3.998
2020-02-19,4
2020-02-20,3.978
2020-02-21,3.97
2020-02-24,3.764
2020-02-25,3.6
2020-02-26,3.586
2020-02-27,3.42
2020-02-28,3.356
2020-03-02,3.28
2020-03-03,3.196
2020-03-04,3.21
2020-03-05,3.15
2020-03-06,3.08
2020-03-09,2.596
2020-03-10,2.664
2020-03-11,2.738
2020-03-12,2.314
2020-03-13,2.318
2020-03-16,2.1
2020-03-17,2.044
2020-03-18,1.842
2020-03-19,1.738
2020-03-20,1.777
2020-03-23,1.65
2020-03-24,1.764
2020-03-25,1.96
2020-03-26,2.088
2020-03-27,1.951
2020-03-30,1.793
2020-03-31,1.724
2020-04-01,1.665
2020-04-02,1.686
2020-04-03,1.605
2020-04-06,1.671
2020-04-07,1.758
2020-04-08,1.723
2020-04-09,1.73
2020-04-14,1.608
2020-04-15,1.36
2020-04-16,1.353
2020-04-17,1.417
2020-04-20,1.368
2020-04-21,1.33
2020-04-22,1.366
2020-04-23,1.55
2020-04-24,1.52
2020-04-27,1.55
2020-04-28,1.787
2020-04-29,1.964
2020-04-30,1.843
2020-05-04,1.726
2020-05-05,1.694
2020-05-06,1.622
2020-05-07,1.637
2020-05-08,1.644
2020-05-11,1.399
2020-05-12,1.389
2020-05-13,1.335
2020-05-14,1.424
2020-05-15,1.445
2020-05-18,1.54
2020-05-19,1.558
2020-05-20,1.632
2020-05-21,1.482
2020-05-22,1.525
2020-05-25,1.477
2020-05-26,1.677
2020-05-27,1.797
2020-05-28,1.706
2020-05-29,1.617
2020-06-01,1.67
2020-06-02,1.64
2020-06-03,1.69
2020-06-04,1.74
2020-06-05,1.885
2020-06-08,2.024
2020-06-09,1.866
2020-06-10,1.748
2020-06-11,1.622
2020-06-12,1.647
2020-06-15,1.652
2020-06-16,1.84
2020-06-17,1.766
2020-06-18,1.8
2020-06-19,1.783
2020-06-22,1.718
2020-06-23,1.86
2020-06-24,1.748
2020-06-25,1.779
2020-06-26,1.7
2020-06-29,1.838
2020-06-30,1.825
2020-07-01,1.807
2020-07-02,1.83
2020-07-03,1.786
2020-07-06,1.905
2020-07-07,1.867
2020-07-08,1.802
2020-07-09,1.695
2020-07-10,1.76
2020-07-13,1.745
2020-07-14,1.76
2020-07-15,1.825
2020-07-16,1.808
2020-07-17,1.843
2020-07-20,1.829
2020-07-21,1.925
2020-07-22,1.83
2020-07-23,1.826
2020-07-24,1.793
2020-07-27,1.77
2020-07-28,1.845
2020-07-29,1.874
2020-07-30,1.784
2020-07-31,1.75
2020-08-03,1.831
2020-08-04,1.838
2020-08-05,1.981
2020-08-06,1.86
2020-08-07,1.86
2020-08-10,1.94
2020-08-11,2.08
2020-08-12,1.995
2020-08-13,1.96
2020-08-14,1.946
2020-08-17,1.886
2020-08-18,1.909
2020-08-19,1.938
2020-08-20,1.839
2020-08-21,1.823
2020-08-24,1.855
2020-08-25,1.915
2020-08-26,1.936
2020-08-27,1.924
2020-08-28,1.992
2020-08-31,1.886
2020-09-01,1.93
2020-09-02,1.87
2020-09-03,1.948
2020-09-04,2.032
2020-09-07,2.032
2020-09-08,1.905
2020-09-09,1.958
2020-09-10,1.908
2020-09-11,1.824
2020-09-14,1.811
2020-09-15,1.854
2020-09-16,1.844
2020-09-17,1.785
2020-09-18,1.735
2020-09-21,1.67
2020-09-22,1.633
2020-09-23,1.575
2020-09-24,1.56
2020-09-25,1.585
