Dates,Settle
2020-02-05,4.47759333
2020-02-06,4.505532336
2020-02-07,4.52170755
2020-02-10,4.520237076
2020-02-11,4.530530394
2020-02-12,4.604054094
2020-02-13,4.626111204
2020-02-14,4.605524568
2020-02-17,4.643756892
2020-02-18,4.555528452
2020-02-19,4.58787888
2020-02-20,4.509943758
2020-02-21,4.505532336
2020-02-24,4.371719202
2020-02-25,4.302606924
2020-02-26,4.261433652
2020-02-27,4.12467957
2020-02-28,3.92616558
2020-03-02,3.871758042
2020-03-03,3.862935198
2020-03-04,3.751179174
2020-03-05,3.693830688
2020-03-06,3.62471841
2020-03-09,3.247541829
2020-03-10,3.275480835
2020-03-11,3.399000651
2020-03-12,2.863748115
2020-03-13,2.836544346
2020-03-16,2.46304395
2020-03-17,2.434369707
2020-03-18,2.238061428
2020-03-19,2.516716251
2020-03-20,2.63214846
2020-03-23,2.511569592
2020-03-24,2.543184783
2020-03-25,2.543184783
2020-03-26,2.515981014
2020-03-27,2.368933614
2020-03-30,2.316731787
2020-03-31,2.458632528
2020-04-01,2.331436527
2020-04-02,2.282175648
2020-04-03,2.268206145
2020-04-06,2.3527584
2020-04-07,2.47039632
2020-04-08,2.4262821
2020-04-09,2.576270448
2020-04-14,2.643912252
2020-04-15,2.570388552
2020-04-16,2.55127239
2020-04-17,2.629207512
2020-04-20,2.510099118
2020-04-21,2.407165938
2020-04-22,2.495394378
2020-04-23,2.588769477
2020-04-24,2.512304829
2020-04-27,2.5733295
2020-04-28,2.7939006
2020-04-29,2.8674243
2020-04-30,2.767432068
2020-05-04,2.635089408
2020-05-05,2.58803424
2020-05-06,2.507893407
2020-05-07,2.532156228
2020-05-08,2.583622818
2020-05-11,2.561565708
2020-05-12,2.571859026
2020-05-13,2.498335326
2020-05-14,2.552007627
2020-05-15,2.523333384
2020-05-18,2.585828529
2020-05-19,2.541714309
2020-05-20,2.614502772
2020-05-21,2.553478101
2020-05-22,2.70567216
2020-05-25,2.703466449
2020-05-26,2.883599514
2020-05-27,2.966681295
2020-05-28,2.92624326
2020-05-29,2.801988207
2020-06-01,2.862277641
2020-06-02,2.943888948
2020-06-03,3.05123355
2020-06-04,3.09534777
2020-06-05,3.341652165
2020-06-08,3.540901392
2020-06-09,3.412234917
2020-06-10,3.27180465
2020-06-11,3.093142059
2020-06-12,3.115199169
2020-06-15,3.136521042
2020-06-16,3.223279008
2020-06-17,3.232101852
2020-06-18,3.218867586
2020-06-19,3.193869528
2020-06-22,3.12475725
2020-06-23,3.224014245
2020-06-24,3.079172556
2020-06-25,3.119610591
2020-06-26,3.06593829
2020-06-29,3.123286776
2020-06-30,3.121081065
2020-07-01,3.07329066
2020-07-02,3.124022013
2020-07-03,3.05858592
2020-07-06,3.245336118
2020-07-07,3.178429551
2020-07-08,3.086524926
2020-07-09,3.035058336
2020-07-10,3.142402938
2020-07-13,3.208574268
2020-07-14,3.167400996
2020-07-15,3.18357621
2020-07-16,3.155637204
2020-07-17,3.173282892
2020-07-20,3.179900025
2020-07-21,3.208574268
2020-07-22,3.2350428
2020-07-23,3.317389344
2020-07-24,3.404882547
2020-07-27,3.297537945
2020-07-28,3.321800766
2020-07-29,3.265922754
2020-07-30,3.187987632
2020-07-31,3.221808534
2020-08-03,3.304155078
2020-08-04,3.3085665
2020-08-05,3.298273182
2020-08-06,3.268128465
2020-08-07,3.292391286
2020-08-10,3.361503564
2020-08-11,3.487964328
2020-08-12,3.485758617
2020-08-13,3.44826153
2020-08-14,3.448996767
2020-08-17,3.357092142
2020-08-18,3.343857876
2020-08-19,3.400471125
2020-08-20,3.321800766
2020-08-21,3.273275124
2020-08-24,3.376943541
2020-08-25,3.369591171
2020-08-26,3.346063587
2020-08-27,3.324006477
2020-08-28,3.42620442
2020-08-31,3.313713159
2020-09-01,3.291656049
2020-09-02,3.140197227
2020-09-03,3.151961019
2020-09-04,3.319595055
2020-09-07,3.340181691
2020-09-08,3.245336118
2020-09-09,3.40414731
2020-09-10,3.399000651
2020-09-11,3.340916928
2020-09-14,3.33797598
2020-09-15,3.268863702
2020-09-16,3.287244627
2020-09-17,3.24974754
2020-09-18,3.131374383
2020-09-21,2.979915561
2020-09-22,2.979915561
2020-09-23,2.840955768
2020-09-24,2.888746173
2020-09-25,2.810811051
2020-09-28,2.858601456
2020-09-29,2.70567216
2020-09-30,2.703466449
2020-10-01,2.640236067
2020-10-02,2.638030356
2020-10-05,2.671851258
2020-10-06,2.783607282
2020-10-07,2.722582611
2020-10-08,2.807870103
2020-10-09,2.711554056
2020-10-12,2.670380784
2020-10-13,2.53656765
2020-10-14,2.549066679
2020-10-15,2.513775303
2020-10-16,2.528480043
2020-10-19,2.58068187
2020-10-20,2.53656765
2020-10-21,2.540979072
2020-10-22,2.438045892
2020-10-23,2.515981014
2020-10-26,2.559359997
2020-10-27,2.399078331
2020-10-28,2.321878446
2020-10-29,2.326289868
2020-10-30,2.365257429
2020-11-02,2.41157736
