Dates,Settle
2020-02-05,37.194045
2020-02-06,37.92334
2020-02-07,37.29823
2020-02-10,36.110521
2020-02-11,37.29823
2020-02-12,38.027525
2020-02-13,37.673296
2020-02-14,37.214882
2020-02-17,37.527437
2020-02-18,39.444441
2020-02-19,43.96607
2020-02-20,42.257436
2020-02-21,42.50748
2020-02-24,37.756644
2020-02-25,38.777657
2020-02-26,40.84052
2020-02-27,39.38193
2020-02-28,38.027525
2020-03-02,36.131358
2020-03-03,34.089332
2020-03-04,33.318363
2020-03-05,30.83876
2020-03-06,29.79691
2020-03-09,26.25462
2020-03-10,24.608497
2020-03-11,25.608673
2020-03-12,20.857837
2020-03-13,23.504136
2020-03-16,21.04537
2020-03-17,22.08722
2020-03-18,21.399599
2020-03-19,21.378762
2020-03-20,20.795326
2020-03-23,21.420436
2020-03-24,22.691493
2020-03-25,23.33744
2020-03-26,24.17092
2020-03-27,23.024885
2020-03-30,22.962374
2020-03-31,23.608321
2020-04-01,23.254092
2020-04-02,23.670832
2020-04-03,23.775017
2020-04-06,24.37929
2020-04-07,24.58766
2020-04-08,24.525149
2020-04-09,24.837704
2020-04-14,24.566823
2020-04-15,22.71233
2020-04-16,22.524797
2020-04-17,22.941537
2020-04-20,22.962374
2020-04-21,22.50396
2020-04-22,22.29559
2020-04-23,22.858189
2020-04-24,22.316427
2020-04-27,22.816515
2020-04-28,23.358277
2020-04-29,23.441625
2020-04-30,23.212418
2020-05-04,22.816515
2020-05-05,22.733167
2020-05-06,22.649819
2020-05-07,22.71233
2020-05-08,22.9207
2020-05-11,22.9207
2020-05-12,22.983211
2020-05-13,23.254092
2020-05-14,23.233255
2020-05-15,22.941537
2020-05-18,23.108233
2020-05-19,21.712154
2020-05-20,21.420436
2020-05-21,21.128718
2020-05-22,21.337088
2020-05-25,21.25374
2020-05-26,21.87885
2020-05-27,22.879026
2020-05-28,24.275105
2020-05-29,27.400655
2020-06-01,27.817395
2020-06-02,27.92158
2020-06-03,28.671712
2020-06-04,29.275985
2020-06-05,31.04713
2020-06-08,32.380698
2020-06-09,30.734575
2020-06-10,30.692901
2020-06-11,28.463342
2020-06-12,29.567703
2020-06-15,29.213474
2020-06-16,30.547042
2020-06-17,30.734575
2020-06-18,31.026293
2020-06-19,30.984619
2020-06-22,30.83876
2020-06-23,33.13083
2020-06-24,32.29735
2020-06-25,34.276865
2020-06-26,32.630742
2020-06-29,33.672592
2020-06-30,32.859949
2020-07-01,32.005632
2020-07-02,32.484883
2020-07-03,32.589068
2020-07-06,32.880786
2020-07-07,32.068143
2020-07-08,31.588892
2020-07-09,31.838936
2020-07-10,32.50572
2020-07-13,32.068143
2020-07-14,31.776425
2020-07-15,31.859773
2020-07-16,32.797438
2020-07-17,32.609905
2020-07-20,37.5066
2020-07-21,37.652459
2020-07-22,40.21541
2020-07-23,38.840168
2020-07-24,36.485587
2020-07-27,34.79779
2020-07-28,34.735279
2020-07-29,33.401711
2020-07-30,31.88061
2020-07-31,31.901447
2020-08-03,30.067791
2020-08-04,32.589068
2020-08-05,32.193165
2020-08-06,32.443209
2020-08-07,30.338672
2020-08-10,30.567879
2020-08-11,31.2555
2020-08-12,30.880434
2020-08-13,30.83876
2020-08-14,29.79691
2020-08-17,29.38017
2020-08-18,28.880082
2020-08-19,30.609553
2020-08-20,30.296998
2020-08-21,30.505368
2020-08-24,30.567879
2020-08-25,30.234487
2020-08-26,30.046954
2020-08-27,29.859421
2020-08-28,30.672064
2020-08-31,29.859421
2020-09-01,29.901095
2020-09-02,29.79691
2020-09-03,29.567703
2020-09-04,29.880258
2020-09-07,29.630214
2020-09-08,29.1718
2020-09-09,29.401007
2020-09-10,30.109465
2020-09-11,29.671888
2020-09-14,29.755236
2020-09-15,29.192637
2020-09-16,28.921756
2020-09-17,28.442505
2020-09-18,28.004928
2020-09-21,26.87973
2020-09-22,27.92158
2020-09-23,28.254972
2020-09-24,28.12995
2020-09-25,28.525853
2020-09-28,28.400831
2020-09-29,28.484179
2020-09-30,28.921756
2020-10-01,27.796558
2020-10-02,28.275809
2020-10-05,28.588364
2020-10-06,28.984267
2020-10-07,27.775721
2020-10-08,27.338144
2020-10-09,26.212946
2020-10-12,25.066911
2020-10-13,27.0881
2020-10-14,25.608673
2020-10-15,24.858541
2020-10-16,24.233431
2020-10-19,23.733343
2020-10-20,24.045898
2020-10-21,24.545986
2020-10-22,24.17092
2020-10-23,24.37929
2020-10-26,23.379114
2020-10-27,22.191405
2020-10-28,21.295414
2020-10-29,21.691317
2020-10-30,21.545458
2020-11-02,23.33744
2020-11-03,22.774841
2020-11-04,23.087396
2020-11-05,22.50396
2020-11-06,23.274929
2020-11-09,23.566647
2020-11-10,23.649995
2020-11-11,23.691669
2020-11-12,23.75418
2020-11-13,24.087572
2020-11-16,24.921052
2020-11-17,25.525325
2020-11-18,25.733695
2020-11-19,25.733695
2020-11-20,25.587836
2020-11-23,25.921228
2020-11-24,26.087924
2020-11-25,25.0044
2020-11-26,24.17092
2020-11-27,23.504136
2020-11-30,24.212594
2020-12-01,25.108585
2020-12-02,24.37929
2020-12-03,24.650171
2020-12-04,24.212594
2020-12-07,23.33744
2020-12-08,22.9207
2020-12-09,22.816515
2020-12-10,22.9207
2020-12-11,22.962374
2020-12-14,22.691493
2020-12-15,23.004048
2020-12-16,22.733167
2020-12-17,22.649819
2020-12-18,22.545634
2020-12-21,21.962198
2020-12-22,21.87885
2020-12-23,21.87885
2020-12-24,21.87885
2020-12-28,21.691317
2020-12-29,21.67048
2020-12-30,21.732991
2020-12-31,21.732991
2021-01-04,21.545458
2021-01-05,22.858189
2021-01-06,23.691669
2021-01-07,23.54581
2021-01-08,23.75418
2021-01-11,23.254092
2021-01-12,23.358277
2021-01-13,23.191581
2021-01-14,22.71233
2021-01-15,22.399775
2021-01-18,22.545634
2021-01-19,22.337264
2021-01-20,22.733167
2021-01-21,22.50396
2021-01-22,22.441449
2021-01-25,22.191405
2021-01-26,22.233079
2021-01-27,22.108057
2021-01-28,22.08722
2021-01-29,21.503784
2021-02-01,21.774665
2021-02-02,22.149731
2021-02-03,22.608145
2021-02-04,22.524797
2021-02-05,24.150083
2021-02-08,28.75506
2021-02-09,28.75506
2021-02-10,27.0881
2021-02-11,26.525501
2021-02-12,27.004752
2021-02-15,26.629686
2021-02-16,26.963078
2021-02-17,26.629686
2021-02-18,26.108761
2021-02-19,26.608849
2021-02-22,26.379642
2021-02-23,26.004576
2021-02-24,25.962902
2021-02-25,25.671184
2021-02-26,25.171096
2021-03-01,25.171096
2021-03-02,25.129422
2021-03-03,25.108585
2021-03-04,24.879378
2021-03-05,25.046074
2021-03-08,25.504488
2021-03-09,25.379466
2021-03-10,25.171096
2021-03-11,24.837704
2021-03-12,24.545986
2021-03-15,24.545986
2021-03-16,24.754356
2021-03-17,24.671008
2021-03-18,24.566823
2021-03-19,24.483475
2021-03-22,24.545986
2021-03-23,24.108409
2021-03-24,24.37929
2021-03-25,24.025061
2021-03-26,23.96255
2021-03-29,23.858365
2021-03-30,24.066735
2021-03-31,23.837528
2021-04-01,24.691845
2021-04-06,24.7231005
2021-04-07,24.358453
2021-04-08,23.9729685
2021-04-09,23.9104575
2021-04-12,24.108409
2021-04-13,24.316779
2021-04-14,25.0044
2021-04-15,24.79603
2021-04-16,24.441801
2021-04-19,24.5564045
2021-04-20,23.96255
2021-04-21,23.941713
2021-04-22,24.004224
2021-04-23,23.96255
2021-04-26,23.9938055
2021-04-27,23.983387
2021-04-28,23.9938055
2021-04-29,23.587484
2021-04-30,23.6812505
2021-05-03,23.7020875
2021-05-04,24.316779
2021-05-05,24.5980785
2021-05-06,24.295942
2021-05-07,24.921052
2021-05-10,24.858541
2021-05-11,24.504312
2021-05-12,24.8272855
2021-05-13,24.858541
2021-05-14,24.858541
2021-05-17,24.8064485
2021-05-18,26.4525715
2021-05-19,25.462814
2021-05-20,25.316955
2021-05-21,25.21277
2021-05-24,25.1606775
2021-05-25,25.191933
2021-05-26,24.8272855
2021-05-27,25.0148185
2021-05-28,25.8482985
2021-05-31,25.671184
2021-06-01,25.62951
2021-06-02,25.8274615
2021-06-03,25.8066245
2021-06-04,26.1400165
2021-06-07,26.3067125
2021-06-08,26.2858755
2021-06-09,26.004576
2021-06-10,25.83788
2021-06-11,25.921228
2021-06-14,25.5565805
2021-06-15,25.0356555
2021-06-16,25.0564925
2021-06-17,24.816867
2021-06-18,24.5772415
2021-06-21,24.5980785
2021-06-22,24.566823
2021-06-23,24.7022635
2021-06-24,24.58766
2021-06-25,24.37929
2021-06-28,24.2021755
2021-06-29,24.1813385
2021-06-30,24.045898
2021-07-01,23.9521315
2021-07-02,23.879202
2021-07-05,23.9104575
2021-07-06,23.6187395
2021-07-07,23.420788
2021-07-08,23.170744
2021-07-09,23.274929
2021-07-12,23.4728805
2021-07-13,23.254092
2021-07-14,23.066559
2021-07-15,23.212418
2021-07-16,22.6602375
2021-07-19,21.983035
2021-07-20,22.170568
2021-07-21,23.254092
2021-07-22,24.108409
2021-07-23,23.775017
2021-07-26,23.775017
2021-07-27,23.5562285
2021-07-28,23.7020875
2021-07-29,23.608321
2021-07-30,24.400127
2021-08-02,23.983387
2021-08-03,23.4103695
2021-08-04,23.649995
2021-08-05,24.79603
2021-08-06,24.8897965
2021-08-09,24.3897085
2021-08-10,24.58766
2021-08-11,24.629334
2021-08-12,24.2230125
2021-08-13,24.191757
2021-08-16,23.920876
2021-08-17,23.7645985
2021-08-18,24.0354795
2021-08-19,23.5770655
2021-08-20,23.33744
2021-08-23,23.399951
2021-08-24,23.233255
2021-08-25,23.5353915
2021-08-26,23.33744
2021-08-27,23.2853475
2021-08-30,23.3895325
2021-08-31,23.4520435
2021-09-01,23.54581
2021-09-02,23.3895325
2021-09-03,23.358277
2021-09-06,23.399951
2021-09-07,23.1603255
2021-09-08,23.066559
2021-09-09,23.316603
2021-09-10,23.2019995
2021-09-13,23.274929
2021-09-14,23.274929
2021-09-15,23.2436735
2021-09-16,23.0978145
2021-09-17,22.899863
2021-09-20,22.29559
2021-09-21,22.08722
2021-09-22,22.233079
2021-09-23,22.50396
2021-09-24,22.5977265
2021-09-27,22.9207
2021-09-28,22.524797
2021-09-29,22.6810745
2021-09-30,22.524797
2021-10-01,22.8060965
2021-10-04,22.670656
2021-10-05,23.2645105
2021-10-06,23.420788
2021-10-07,23.004048
2021-10-08,23.33744
2021-10-11,23.024885
2021-10-12,23.0769775
2021-10-13,22.899863
2021-10-14,22.9207
2021-10-15,22.71233
2021-10-18,22.483123
2021-10-19,22.2851715
2021-10-20,22.378938
2021-10-21,22.6602375
2021-10-22,22.337264
2021-10-25,21.8059205
2021-10-26,22.128894
2021-10-27,21.899687
2021-10-28,21.712154
2021-10-29,21.482947
2021-11-01,21.0974625
2021-11-02,21.3475065
2021-11-03,21.0766255
2021-11-04,21.295414
2021-11-05,21.274577
2021-11-08,21.25374
2021-11-09,21.0557885
2021-11-10,21.1808105
2021-11-11,21.003696
2021-11-12,20.920348
2021-11-15,20.878674
2021-11-16,20.7369824
2021-11-17,20.6619692
2021-11-18,20.2243922
2021-11-19,19.336736
2021-11-22,19.357573
2021-11-23,18.9324982
2021-11-24,18.7366304
2021-11-25,18.4865864
2021-11-26,17.690613
2021-11-29,17.29471
2021-11-30,16.815459
2021-12-01,19.628454
2021-12-02,19.0783572
2021-12-03,18.5074234
2021-12-06,18.690789
2021-12-07,18.7574674
2021-12-08,18.7533
2021-12-09,19.190877
2021-12-10,18.774137
