Dates,Settle
2020-02-05,49.61
2020-02-06,50.41
2020-02-07,51.83
2020-02-10,51.64
2020-02-11,52.73
2020-02-12,53.58
2020-02-13,53.57
2020-02-14,53.68
2020-02-17,54.18
2020-02-18,53.67
2020-02-19,53.75
2020-02-20,53.26
2020-02-21,53.22
2020-02-24,51.2
2020-02-25,48.7
2020-02-26,48.215
2020-02-27,45.385
2020-02-28,43.785
2020-03-02,43.455
2020-03-03,42.81
2020-03-04,42.25
2020-03-05,40.515
2020-03-06,38.515
2020-03-09,33.785
2020-03-10,34.63
2020-03-11,35.66
2020-03-12,31
2020-03-13,31.73
2020-03-16,27.44
2020-03-17,29.2
2020-03-18,26.4
2020-03-19,27.185
2020-03-20,27.44
2020-03-23,25.425
2020-03-24,27.78
2020-03-25,30
2020-03-26,30.98
2020-03-27,29.875
2020-03-30,28.25
2020-03-31,27.51
2020-04-01,25.87
2020-04-02,26.045
2020-04-03,24.735
2020-04-06,25.645
2020-04-07,26.75
2020-04-08,26.955
2020-04-09,28.405
2020-04-14,27.81
2020-04-15,25.82
2020-04-16,24.9
2020-04-17,25.47
2020-04-20,25.695
2020-04-21,24.67
2020-04-22,25.535
2020-04-23,27.13
2020-04-24,26.3
2020-04-27,27.79
2020-04-28,29.6
2020-04-29,30.7
2020-04-30,28.675
2020-05-04,27.11
2020-05-05,28.21
2020-05-06,28
2020-05-07,28.495
2020-05-08,28.815
2020-05-11,28.1
2020-05-12,27.82
2020-05-13,26.5
2020-05-14,26.23
2020-05-15,26.54
2020-05-18,28.615
2020-05-19,28.35
2020-05-20,28.82
2020-05-21,28.285
2020-05-22,28.375
2020-05-25,28.905
2020-05-26,31
2020-05-27,33.735
2020-05-28,33.695
2020-05-29,32.255
2020-06-01,33.485
2020-06-02,34.48
2020-06-03,36.15
2020-06-04,36.02
2020-06-05,39.115
2020-06-08,39.45
2020-06-09,38.16
2020-06-10,37.35
2020-06-11,34.75
2020-06-12,34.97
2020-06-15,34.295
2020-06-16,36.01
2020-06-17,35.955
2020-06-18,35.815
2020-06-19,35.3
2020-06-22,35.1
2020-06-23,36.31
2020-06-24,34.51
2020-06-25,35.175
2020-06-26,34.485
2020-06-29,35.35
2020-06-30,35.37
2020-07-01,34.72
2020-07-02,36.605
2020-07-03,36.28
2020-07-06,37.385
2020-07-07,37.24
2020-07-08,36.35
2020-07-09,35.51
2020-07-10,36.68
2020-07-13,37.735
2020-07-14,37.505
2020-07-15,38.53
2020-07-16,38.56
2020-07-17,37.975
2020-07-20,38.01
2020-07-21,38.54
2020-07-22,37.8
2020-07-23,37.565
2020-07-24,37.14
2020-07-27,36.315
2020-07-28,36.17
2020-07-29,35.8
2020-07-30,34.38
2020-07-31,34.115
2020-08-03,35.46
2020-08-04,36.185
2020-08-05,35.945
2020-08-06,35.835
2020-08-07,35.48
2020-08-10,35.815
2020-08-11,37.49
2020-08-12,37.825
2020-08-13,36.99
2020-08-14,36.66
2020-08-17,36.295
2020-08-18,35.89
2020-08-19,36.835
2020-08-20,35.955
2020-08-21,35.36
2020-08-24,36.285
2020-08-25,36.36
2020-08-26,36.9
2020-08-27,36.49
2020-08-28,37.805
2020-08-31,36.565
2020-09-01,36.085
2020-09-02,35.88
2020-09-03,36.15
2020-09-04,37.225
2020-09-07,37.4
2020-09-08,36.425
2020-09-09,36.79
2020-09-10,37.005
2020-09-11,36.11
2020-09-14,36.57
2020-09-15,35.835
2020-09-16,35.71
2020-09-17,35.425
2020-09-18,34.595
2020-09-21,32.39
2020-09-22,32.22
2020-09-23,31.455
2020-09-24,31.16
2020-09-25,30.25
2020-09-28,31.82
2020-09-29,30.995
2020-09-30,30.975
2020-10-01,30.655
2020-10-02,30.49
2020-10-05,31.455
2020-10-06,33.035
2020-10-07,33.105
2020-10-08,33.72
2020-10-09,33.42
2020-10-12,33.54
2020-10-13,32.175
2020-10-14,32.55
2020-10-15,31.665
2020-10-16,32.205
2020-10-19,32.555
2020-10-20,33.115
2020-10-21,32.635
2020-10-22,32.585
2020-10-23,33.5
2020-10-26,32.95
2020-10-27,31.375
2020-10-28,29.75
2020-10-29,29.305
2020-10-30,29.855
2020-11-02,31.125
2020-11-03,33.03
2020-11-04,33.12
2020-11-05,33.88
2020-11-06,33.23
2020-11-09,39.205
2020-11-10,42.2
2020-11-11,41.09
2020-11-12,39.545
2020-11-13,39.915
2020-11-16,40.6
2020-11-17,40.925
2020-11-18,41.13
2020-11-19,40.805
2020-11-20,40.95
2020-11-23,41.49
2020-11-24,43.735
2020-11-25,43.755
2020-11-26,43.365
2020-11-27,43.825
2020-11-30,42.965
2020-12-01,44.205
2020-12-02,44.95
2020-12-03,44.875
2020-12-04,45.74
2020-12-07,44.505
2020-12-08,44.285
2020-12-09,44.545
2020-12-10,43.46
2020-12-11,43.115
2020-12-14,44.15
2020-12-15,45.235
2020-12-16,44.175
2020-12-17,44.045
2020-12-18,43.565
2020-12-21,41.715
2020-12-22,42.485
2020-12-23,43.835
2020-12-24,43.795
2020-12-28,43.63
2020-12-29,43.645
2020-12-30,43.305
2020-12-31,43.105
2021-01-04,43.01
2021-01-05,42.92
2021-01-06,45.29
2021-01-07,46.31
2021-01-08,45.285
2021-01-11,44.98
2021-01-12,45.34
2021-01-13,45.025
2021-01-14,45.13
2021-01-15,44.435
2021-01-18,44.805
2021-01-19,44.11
2021-01-20,44.42
2021-01-21,44.34
2021-01-22,43.085
2021-01-25,41.23
2021-01-26,41.99
2021-01-27,40.525
2021-01-28,41.205
2021-01-29,39.78
2021-02-01,40.18
2021-02-02,41.605
2021-02-03,41.9
2021-02-04,42.485
2021-02-05,43.595
2021-02-08,44.12
2021-02-09,43.92
2021-02-10,45.135
2021-02-11,45.695
2021-02-12,46.48
2021-02-15,47.55
2021-02-16,47.61
2021-02-17,47.65
2021-02-18,47.075
2021-02-19,48.325
2021-02-22,49.3
2021-02-23,49.45
2021-02-24,50.17
2021-02-25,50.31
2021-02-26,49.275
2021-03-01,49.135
2021-03-02,50.45
2021-03-03,51.72
2021-03-04,51.65
2021-03-05,51.59
2021-03-08,53.25
2021-03-09,52.59
2021-03-10,52.76
2021-03-11,52.33
2021-03-12,53.08
2021-03-15,51.83
2021-03-16,51.19
2021-03-17,51.68
2021-03-18,52.89
2021-03-19,51.15
2021-03-22,50.71
2021-03-23,50.36
2021-03-24,51.12
2021-03-25,50.83
2021-03-26,51.67
2021-03-29,50.67
2021-03-30,52.62
2021-03-31,51.88
2021-04-01,52.15
2021-04-06,51.95
2021-04-07,52.29
2021-04-08,52
2021-04-09,51.46
2021-04-12,51.42
2021-04-13,51.64
2021-04-14,51.98
2021-04-15,51.76
2021-04-16,52.9
2021-04-19,53.33
2021-04-20,50.83
2021-04-21,50.36
2021-04-22,50.68
2021-04-23,50.51
2021-04-26,51.91
2021-04-27,51.86
2021-04-28,53.48
2021-04-29,53.83
2021-04-30,53.39
2021-05-03,53.46
2021-05-04,53.05
2021-05-05,54.9
2021-05-06,54.91
2021-05-07,54.78
2021-05-10,55.82
2021-05-11,55.8
2021-05-12,56.6
2021-05-13,56.06
2021-05-14,57.04
2021-05-17,56.98
2021-05-18,57.07
2021-05-19,55.94
2021-05-20,56.21
2021-05-21,56.24
2021-05-24,55.6
2021-05-25,55.4
2021-05-26,54.65
2021-05-27,56.39
2021-05-28,56.48
2021-05-31,55.85
2021-06-01,56.71
2021-06-02,57
2021-06-03,57.44
2021-06-04,57.11
2021-06-07,57.57
2021-06-08,56.68
2021-06-09,56.23
2021-06-10,56.09
2021-06-11,56.32
2021-06-14,56.45
2021-06-15,56.47
2021-06-16,55.74
2021-06-17,56.31
2021-06-18,53.74
2021-06-21,53.86
2021-06-22,53.98
2021-06-23,53.48
2021-06-24,54.1
2021-06-25,54.46
2021-06-28,53.2
2021-06-29,53.57
2021-06-30,52.87
2021-07-01,53.48
2021-07-02,52.47
2021-07-05,53.63
2021-07-06,51.92
2021-07-07,51.18
2021-07-08,49.715
2021-07-09,50.93
2021-07-12,51.04
2021-07-13,50.83
2021-07-14,51.14
2021-07-15,50.72
2021-07-16,49.88
2021-07-19,47.79
2021-07-20,48.695
2021-07-21,50.23
2021-07-22,49.98
2021-07-23,50.57
2021-07-26,51.71
2021-07-27,51.24
2021-07-28,51.16
2021-07-29,52.07
2021-07-30,51.45
2021-08-02,50.95
2021-08-03,51.4
2021-08-04,52.01
2021-08-05,52.41
2021-08-06,54
2021-08-09,54.21
2021-08-10,54.02
2021-08-11,54.77
2021-08-12,54.32
2021-08-13,54.38
2021-08-16,53.85
2021-08-17,52.86
2021-08-18,53.34
2021-08-19,51.91
2021-08-20,52.1
2021-08-23,52.71
2021-08-24,53.07
2021-08-25,54.15
2021-08-26,53.67
2021-08-27,53.46
2021-08-30,53
2021-08-31,53.73
2021-09-01,54.8
2021-09-02,54.8
2021-09-03,53.87
2021-09-06,54.12
2021-09-07,54.33
2021-09-08,53.5
2021-09-09,53.74
2021-09-10,52.82
2021-09-13,54.02
2021-09-14,53.39
2021-09-15,53.63
2021-09-16,54.16
