Dates,Settle
2020-02-05,2.93089906
2020-02-06,2.962712514
2020-02-07,2.934960352
2020-02-10,2.946467346
2020-02-11,2.960004986
2020-02-12,3.068982988
2020-02-13,3.08658192
2020-02-14,3.04258459
2020-02-17,3.143440008
2020-02-18,2.802968362
2020-02-19,2.793492014
2020-02-20,2.838843108
2020-02-21,2.756263504
2020-02-24,2.596519352
2020-02-25,2.59922688
2020-02-26,2.65676185
2020-02-27,2.557260196
2020-02-28,2.436098318
2020-03-02,2.30478321
2020-03-03,2.25063265
2020-03-04,2.192420798
2020-03-05,2.112548722
2020-03-06,2.06787451
2020-03-09,1.78696848
2020-03-10,1.700327584
2020-03-11,1.704388876
2020-03-12,1.401822622
2020-03-13,1.71589587
2020-03-16,1.584580762
2020-03-17,1.579165706
2020-03-18,1.537199022
2020-03-19,1.560889892
2020-03-20,1.74297115
2020-03-23,1.987325552
2020-03-24,2.036737938
2020-03-25,2.004924484
2020-03-26,1.965665328
2020-03-27,1.839088394
2020-03-30,1.838411512
2020-03-31,1.8952696
2020-04-01,1.840442158
2020-04-02,1.825550754
2020-04-03,1.816751288
2020-04-06,1.851949152
2020-04-07,1.84450345
2020-04-08,1.753801262
2020-04-09,1.770723312
2020-04-14,1.691528118
2020-04-15,1.56698183
2020-04-16,1.49929363
2020-04-17,1.514861916
2020-04-20,1.51621568
2020-04-21,1.450558126
2020-04-22,1.44852748
2020-04-23,1.497262984
2020-04-24,1.43498984
2020-04-27,1.47560276
2020-04-28,1.568335594
2020-04-29,1.593380228
2020-04-30,1.524338264
2020-05-04,1.491847928
2020-05-05,1.4891404
2020-05-06,1.471541468
2020-05-07,1.43498984
2020-05-08,1.447173716
2020-05-11,1.430928548
2020-05-12,1.4214522
2020-05-13,1.37407046
2020-05-14,1.363240348
2020-05-15,1.358502174
2020-05-18,1.384900572
2020-05-19,1.307736024
2020-05-20,1.285060477
2020-05-21,1.260692725
2020-05-22,1.261708048
2020-05-25,1.265092458
2020-05-26,1.397084448
2020-05-27,1.447850598
2020-05-28,1.50606245
2020-05-29,1.453265654
2020-06-01,1.4891404
2020-06-02,1.51621568
2020-06-03,1.564951184
2020-06-04,1.565628066
2020-06-05,1.717926516
2020-06-08,1.801183002
2020-06-09,1.775461486
2020-06-10,1.686113062
2020-06-11,1.578488824
2020-06-12,1.542614078
