Dates,Settle
2020-02-05,2.018
2020-02-06,2.07
2020-02-07,2.052
2020-02-10,2.04
2020-02-11,2.17
2020-02-12,2.33
2020-02-13,2.392
2020-02-14,2.362
2020-02-17,2.436
2020-02-18,2.688
2020-02-19,2.74
2020-02-20,2.58
2020-02-21,2.504
2020-02-24,2.356
2020-02-25,2.348
2020-02-26,2.406
2020-02-27,2.262
2020-02-28,2.158
2020-03-02,2.038
2020-03-03,1.96
2020-03-04,1.942
2020-03-05,1.821
2020-03-06,1.754
2020-03-09,1.643
2020-03-10,1.588
2020-03-11,1.568
2020-03-12,1.271
2020-03-13,1.318
2020-03-16,1.217
2020-03-17,1.252
2020-03-18,1.275
2020-03-19,1.349
2020-03-20,1.382
2020-03-23,1.312
2020-03-24,1.419
2020-03-25,1.429
2020-03-26,1.414
2020-03-27,1.35
2020-03-30,1.324
2020-03-31,1.379
2020-04-01,1.36
2020-04-02,1.465
2020-04-03,1.4
2020-04-06,1.476
2020-04-07,1.508
2020-04-08,1.592
2020-04-09,1.546
2020-04-14,1.544
2020-04-15,1.44
2020-04-16,1.4
2020-04-17,1.413
2020-04-20,1.449
2020-04-21,1.4
2020-04-22,1.408
2020-04-23,1.45
2020-04-24,1.428
2020-04-27,1.433
2020-04-28,1.423
2020-04-29,1.439
2020-04-30,1.447
2020-05-04,1.374
2020-05-05,1.421
2020-05-06,1.39
2020-05-07,1.371
2020-05-08,1.383
2020-05-11,1.4
2020-05-12,1.381
2020-05-13,1.34
2020-05-14,1.305
2020-05-15,1.285
2020-05-18,1.31
2020-05-19,1.249
2020-05-20,1.252
2020-05-21,1.227
2020-05-22,1.22
2020-05-25,1.21
2020-05-26,1.306
2020-05-27,1.321
2020-05-28,1.402
2020-05-29,1.453
2020-06-01,1.449
2020-06-02,1.46
2020-06-03,1.502
2020-06-04,1.565
2020-06-05,1.609
2020-06-08,1.641
2020-06-09,1.589
2020-06-10,1.575
2020-06-11,1.52
2020-06-12,1.52
2020-06-15,1.547
2020-06-16,1.588
2020-06-17,1.572
2020-06-18,1.63
2020-06-19,1.59
2020-06-22,1.539
2020-06-23,1.58
2020-06-24,1.55
2020-06-25,1.65
2020-06-26,1.661
2020-06-29,1.712
2020-06-30,1.681
2020-07-01,1.805
2020-07-02,1.842
2020-07-03,1.859
2020-07-06,1.869
2020-07-07,1.846
2020-07-08,1.853
2020-07-09,1.856
2020-07-10,1.858
2020-07-13,1.858
2020-07-14,1.875
2020-07-15,1.915
2020-07-16,1.977
2020-07-17,1.918
2020-07-20,1.97
2020-07-21,1.96
2020-07-22,1.955
2020-07-23,1.94
2020-07-24,1.9
2020-07-27,1.849
2020-07-28,1.823
2020-07-29,1.82
2020-07-30,1.778
2020-07-31,1.876
2020-08-03,1.813
2020-08-04,1.896
2020-08-05,1.914
2020-08-06,1.973
2020-08-07,1.953
2020-08-10,1.966
2020-08-11,2.012
2020-08-12,2.012
2020-08-13,2.066
2020-08-14,2.098
2020-08-17,2.04
2020-08-18,2.098
2020-08-19,2.126
2020-08-20,2.078
2020-08-21,2.06
2020-08-24,2.098
2020-08-25,2.066
2020-08-26,2.116
2020-08-27,2.086
2020-08-28,2.054
2020-08-31,2.014
2020-09-01,2.004
2020-09-02,1.869
2020-09-03,1.82
2020-09-04,1.826
2020-09-07,1.825
2020-09-08,1.78
2020-09-09,1.817
2020-09-10,1.847
2020-09-11,1.827
2020-09-14,1.842
2020-09-15,1.825
2020-09-16,1.838
2020-09-17,1.802
2020-09-18,1.844
2020-09-21,1.75
2020-09-22,1.746
2020-09-23,1.712
2020-09-24,1.779
2020-09-25,1.722
2020-09-28,1.79
2020-09-29,1.753
2020-09-30,1.789
2020-10-01,1.767
2020-10-02,1.867
2020-10-05,1.827
2020-10-06,1.851
2020-10-07,1.814
2020-10-08,1.9
2020-10-09,1.851
2020-10-12,1.83
2020-10-13,1.775
2020-10-14,1.794
2020-10-15,1.745
2020-10-16,1.78
2020-10-19,1.764
2020-10-20,1.825
2020-10-21,1.769
2020-10-22,1.687
2020-10-23,1.675
2020-10-26,1.622
2020-10-27,1.644
2020-10-28,1.48
2020-10-29,1.467
2020-10-30,1.507
2020-11-02,1.58
2020-11-03,1.625
2020-11-04,1.645
2020-11-05,1.64
2020-11-06,1.627
2020-11-09,1.75
2020-11-10,1.831
2020-11-11,1.91
2020-11-12,1.897
2020-11-13,1.898
2020-11-16,1.99
2020-11-17,2.016
2020-11-18,2.058
2020-11-19,2.018
2020-11-20,2.026
2020-11-23,2.134
2020-11-24,2.4
2020-11-25,2.36
2020-11-26,2.35
2020-11-27,2.328
2020-11-30,2.242
2020-12-01,2.28
2020-12-02,2.232
2020-12-03,2.254
2020-12-04,2.256
2020-12-07,2.292
2020-12-08,2.288
2020-12-09,2.25
2020-12-10,2.21
2020-12-11,2.202
2020-12-14,2.21
2020-12-15,2.224
2020-12-16,2.2
2020-12-17,2.22
2020-12-18,2.178
2020-12-21,2.14
2020-12-22,2.166
2020-12-23,2.174
2020-12-24,2.174
2020-12-28,2.17
2020-12-29,2.196
2020-12-30,2.2
2020-12-31,2.2
2021-01-04,2.206
2021-01-05,2.204
2021-01-06,2.31
2021-01-07,2.354
2021-01-08,2.326
2021-01-11,2.278
2021-01-12,2.3
2021-01-13,2.262
2021-01-14,2.244
2021-01-15,2.188
2021-01-18,2.218
2021-01-19,2.19
2021-01-20,2.218
2021-01-21,2.168
2021-01-22,2.134
2021-01-25,2.02
2021-01-26,2.1
2021-01-27,2.042
2021-01-28,2.08
2021-01-29,2.026
2021-02-01,2.094
2021-02-02,2.112
2021-02-03,2.148
2021-02-04,2.244
2021-02-05,2.314
2021-02-08,2.498
2021-02-09,2.46
2021-02-10,2.49
2021-02-11,2.474
2021-02-12,2.49
2021-02-15,2.456
2021-02-16,2.502
2021-02-17,2.45
2021-02-18,2.396
2021-02-19,2.424
2021-02-22,2.412
2021-02-23,2.408
2021-02-24,2.418
2021-02-25,2.394
2021-02-26,2.386
2021-03-01,2.444
2021-03-02,2.43
2021-03-03,2.444
2021-03-04,2.42
2021-03-05,2.45
2021-03-08,2.478
2021-03-09,2.474
2021-03-10,2.468
2021-03-11,2.552
2021-03-12,2.622
2021-03-15,2.72
2021-03-16,2.83
2021-03-17,2.888
2021-03-18,2.85
2021-03-19,2.85
2021-03-22,2.82
2021-03-23,2.79
2021-03-24,2.854
2021-03-25,2.828
2021-03-26,2.85
2021-03-29,2.832
2021-03-30,2.946
2021-03-31,2.856
2021-04-01,2.9
2021-04-06,2.9
