Dates,Settle
2020-02-05,2.8
2020-02-06,2.876
2020-02-07,2.911
2020-02-10,2.913
2020-02-11,2.764
2020-02-12,2.885
2020-02-13,2.868
2020-02-14,2.807
2020-02-17,2.811
2020-02-18,2.73
2020-02-19,2.751
2020-02-20,2.7
2020-02-21,2.703
2020-02-24,2.618
2020-02-25,2.529
2020-02-26,2.519
2020-02-27,2.43
2020-02-28,2.321
2020-03-02,2.328
2020-03-03,2.415
2020-03-04,2.334
2020-03-05,2.24
2020-03-06,2.183
2020-03-09,2.0
2020-03-10,1.9895
2020-03-11,2.075
2020-03-12,1.753
2020-03-13,1.806
2020-03-16,1.6
2020-03-17,1.677
2020-03-18,1.654
2020-03-19,1.782
2020-03-20,1.6845
2020-03-23,1.604
2020-03-24,1.704
2020-03-25,1.7945
2020-03-26,1.869
2020-03-27,1.759
2020-03-30,1.6715
2020-03-31,1.7
2020-04-01,1.67
2020-04-02,1.635
2020-04-03,1.6195
2020-04-06,1.71
2020-04-07,1.7425
2020-04-08,1.7725
2020-04-09,1.744
2020-04-14,1.689
2020-04-15,1.6005
2020-04-16,1.59
2020-04-17,1.6075
2020-04-20,1.6
2020-04-21,1.55
2020-04-22,1.5335
2020-04-23,1.587
2020-04-24,1.5385
2020-04-27,1.534
2020-04-28,1.578
2020-04-29,1.7115
2020-04-30,1.641
2020-05-04,1.595
2020-05-05,1.596
2020-05-06,1.578
2020-05-07,1.6415
2020-05-08,1.65
2020-05-11,1.655
2020-05-12,1.629
2020-05-13,1.555
2020-05-14,1.566
2020-05-15,1.522
2020-05-18,1.616
2020-05-19,1.5485
2020-05-20,1.5595
2020-05-21,1.5495
2020-05-22,1.5575
2020-05-25,1.59
2020-05-26,1.7175
2020-05-27,1.79
2020-05-28,1.7665
2020-05-29,1.6795
2020-06-01,1.741
2020-06-02,1.8125
2020-06-03,1.9155
2020-06-04,1.906
2020-06-05,2.05
2020-06-08,2.055
2020-06-09,1.96
2020-06-10,1.9415
2020-06-11,1.8635
2020-06-12,1.8585
2020-06-15,1.884
2020-06-16,1.952
2020-06-17,1.95
2020-06-18,1.9345
2020-06-19,1.9165
2020-06-22,1.892
2020-06-23,1.93
2020-06-24,1.8545
2020-06-25,1.8875
2020-06-26,1.846
2020-06-29,1.917
2020-06-30,1.9005
2020-07-01,1.879
2020-07-02,1.9905
2020-07-03,1.959
2020-07-06,2.078
2020-07-07,2.015
2020-07-08,1.9755
2020-07-09,1.9515
2020-07-10,1.994
2020-07-13,2.046
2020-07-14,2.063
2020-07-15,2.087
2020-07-16,2.08
2020-07-17,2.086
2020-07-20,2.108
2020-07-21,2.108
2020-07-22,2.118
2020-07-23,2.102
2020-07-24,2.107
2020-07-27,2.021
2020-07-28,2.051
2020-07-29,2.005
2020-07-30,1.92
2020-07-31,1.82
2020-08-03,1.905
2020-08-04,1.9725
2020-08-05,1.9445
2020-08-06,1.91
2020-08-07,1.92
2020-08-10,2.007
2020-08-11,2.074
2020-08-12,2.059
2020-08-13,2.014
2020-08-14,2.011
2020-08-17,1.954
2020-08-18,1.95
2020-08-19,1.9845
2020-08-20,1.94
2020-08-21,1.9075
2020-08-24,1.9335
2020-08-25,1.905
2020-08-26,1.8875
2020-08-27,1.853
2020-08-28,1.8995
2020-08-31,1.842
2020-09-01,1.8265
2020-09-02,1.776
2020-09-03,1.8155
2020-09-04,2.04
2020-09-07,2.009
2020-09-08,1.9555
2020-09-09,2.055
2020-09-10,2.04
2020-09-11,2.01
2020-09-14,2.019
2020-09-15,2.017
2020-09-16,2.043
2020-09-17,2.065
2020-09-18,2.02
2020-09-21,1.95
2020-09-22,1.9495
2020-09-23,1.892
2020-09-24,1.9225
2020-09-25,1.8545
2020-09-28,1.895
2020-09-29,1.8175
2020-09-30,1.813
2020-10-01,1.74
2020-10-02,1.7225
2020-10-05,1.716
2020-10-06,1.7775
2020-10-07,1.754
2020-10-08,1.786
2020-10-09,1.7475
2020-10-12,1.708
2020-10-13,1.625
2020-10-14,1.6595
2020-10-15,1.6645
2020-10-16,1.674
2020-10-19,1.71
2020-10-20,1.7015
2020-10-21,1.6815
2020-10-22,1.6905
2020-10-23,1.717
2020-10-26,1.6855
2020-10-27,1.62
2020-10-28,1.5715
2020-10-29,1.574
2020-10-30,1.562
2020-11-02,1.611
2020-11-03,1.635
2020-11-04,1.5915
2020-11-05,1.633
2020-11-06,1.609
2020-11-09,1.85
2020-11-10,2.036
2020-11-11,2.034
2020-11-12,2.011
2020-11-13,2.044
2020-11-16,2.169
2020-11-17,2.187
2020-11-18,2.231
2020-11-19,2.189
2020-11-20,2.188
2020-11-23,2.214
2020-11-24,2.284
2020-11-25,2.244
2020-11-26,2.196
2020-11-27,2.203
2020-11-30,2.147
2020-12-01,2.168
2020-12-02,2.24
2020-12-03,2.238
2020-12-04,2.254
2020-12-07,2.248
2020-12-08,2.253
2020-12-09,2.29
2020-12-10,2.238
2020-12-11,2.198
2020-12-14,2.23
2020-12-15,2.305
2020-12-16,2.274
2020-12-17,2.246
2020-12-18,2.199
2020-12-21,2.116
2020-12-22,2.13
2020-12-23,2.17
2020-12-24,2.139
2020-12-28,2.153
2020-12-29,2.144
2020-12-30,2.133
2020-12-31,2.101
2021-01-04,2.129
2021-01-05,2.134
2021-01-06,2.255
2021-01-07,2.34
2021-01-08,2.341
2021-01-11,2.296
2021-01-12,2.362
2021-01-13,2.343
2021-01-14,2.335
2021-01-15,2.223
2021-01-18,2.228
2021-01-19,2.195
2021-01-20,2.135
2021-01-21,2.136
2021-01-22,2.052
2021-01-25,1.9905
2021-01-26,2.012
2021-01-27,1.9475
2021-01-28,2.023
2021-01-29,2.087
2021-02-01,2.06
2021-02-02,2.126
2021-02-03,2.136
2021-02-04,2.179
2021-02-05,2.192
2021-02-08,2.218
2021-02-09,2.203
2021-02-10,2.235
2021-02-11,2.233
