Dates,Settle
2020-02-05,5.52
2020-02-06,5.707
2020-02-07,5.813
2020-02-10,5.758
2020-02-11,5.825
2020-02-12,5.898
2020-02-13,6.425
2020-02-14,6.61
2020-02-17,6.75
2020-02-18,6.722
2020-02-19,6.68
2020-02-20,6.75
2020-02-21,6.52
2020-02-24,6.126
2020-02-25,5.768
2020-02-26,5.748
2020-02-27,5.446
2020-02-28,5.211
2020-03-02,5
2020-03-03,4.9085
2020-03-04,4.835
2020-03-05,4.633
2020-03-06,4.3005
2020-03-09,3.6365
2020-03-10,3.7525
2020-03-11,3.962
2020-03-12,3.1215
2020-03-13,3.2395
2020-03-16,3.003
2020-03-17,3.15
2020-03-18,3.1045
2020-03-19,3.328
2020-03-20,3.269
2020-03-23,3.171
2020-03-24,3.5185
2020-03-25,3.7095
2020-03-26,3.81
2020-03-27,3.585
2020-03-30,3.338
2020-03-31,3.3085
2020-04-01,3.1
2020-04-02,3.13
2020-04-03,3.09
2020-04-06,3.327
2020-04-07,3.499
2020-04-08,3.357
2020-04-09,3.397
2020-04-14,3.37
2020-04-15,3.044
2020-04-16,2.993
2020-04-17,3.182
2020-04-20,3.201
2020-04-21,3.033
2020-04-22,3.088
2020-04-23,3.208
2020-04-24,3.078
2020-04-27,3.26
2020-04-28,3.433
2020-04-29,3.646
2020-04-30,3.374
2020-05-04,3.207
2020-05-05,3.304
2020-05-06,3.212
2020-05-07,3.247
2020-05-08,3.244
2020-05-11,3.203
2020-05-12,3.214
2020-05-13,2.986
2020-05-14,2.955
2020-05-15,2.883
2020-05-18,3.117
2020-05-19,3.278
2020-05-20,3.378
2020-05-21,3.292
2020-05-22,3.304
2020-05-25,3.336
2020-05-26,3.538
2020-05-27,3.737
2020-05-28,3.763
2020-05-29,3.501
2020-06-01,3.501
2020-06-02,3.775
2020-06-03,3.91
2020-06-04,3.973
2020-06-05,4.427
2020-06-08,4.66
2020-06-09,4.401
2020-06-10,4.38
2020-06-11,4.044
2020-06-12,4.16
2020-06-15,4.135
2020-06-16,4.283
2020-06-17,4.231
2020-06-18,3.924
2020-06-19,3.852
2020-06-22,3.856
2020-06-23,4.024
2020-06-24,3.782
2020-06-25,3.922
2020-06-26,3.755
2020-06-29,3.967
2020-06-30,3.967
2020-07-01,3.96
2020-07-02,4.129
2020-07-03,4.127
2020-07-06,4.436
2020-07-07,4.594
2020-07-08,4.551
2020-07-09,4.35
2020-07-10,4.554
2020-07-13,4.533
2020-07-14,4.639
2020-07-15,4.708
2020-07-16,4.718
2020-07-17,4.635
2020-07-20,4.631
2020-07-21,4.671
2020-07-22,4.61
2020-07-23,4.525
2020-07-24,4.585
2020-07-27,4.552
2020-07-28,4.575
2020-07-29,4.509
2020-07-30,4.305
2020-07-31,4.349
2020-08-03,4.452
2020-08-04,4.538
2020-08-05,4.759
2020-08-06,4.798
2020-08-07,4.77
2020-08-10,4.838
2020-08-11,4.894
2020-08-12,4.918
2020-08-13,4.797
2020-08-14,4.783
2020-08-17,4.72
2020-08-18,4.69
2020-08-19,4.786
2020-08-20,4.611
2020-08-21,4.6
2020-08-24,4.72
2020-08-25,4.751
2020-08-26,4.879
2020-08-27,4.839
2020-08-28,4.971
2020-08-31,4.863
2020-09-01,4.864
2020-09-02,4.746
2020-09-03,4.723
2020-09-04,5.15
2020-09-07,5.036
2020-09-08,4.847
2020-09-09,4.912
2020-09-10,4.953
2020-09-11,4.838
2020-09-14,4.785
2020-09-15,4.671
2020-09-16,4.759
2020-09-17,4.626
2020-09-18,4.482
2020-09-21,4.239
2020-09-22,4.236
2020-09-23,4.126
2020-09-24,4.09
2020-09-25,4.002
2020-09-28,4.226
2020-09-29,4.107
2020-09-30,4.193
2020-10-01,4.261
2020-10-02,4.302
2020-10-05,4.387
2020-10-06,4.669
2020-10-07,4.663
2020-10-08,4.736
2020-10-09,4.698
2020-10-12,4.731
2020-10-13,4.523
2020-10-14,4.527
2020-10-15,4.373
2020-10-16,4.318
2020-10-19,4.404
2020-10-20,4.543
2020-10-21,4.489
2020-10-22,4.436
2020-10-23,4.574
2020-10-26,4.446
2020-10-27,4.242
2020-10-28,4.091
2020-10-29,4.02
2020-10-30,4.045
2020-11-02,4.225
2020-11-03,4.376
2020-11-04,4.261
2020-11-05,4.016
2020-11-06,3.988
2020-11-09,4.601
2020-11-10,4.941
2020-11-11,4.767
2020-11-12,4.766
2020-11-13,4.93
