Dates,Settle
2020-02-05,114.0
2020-02-06,114.4
2020-02-07,115.8
2020-02-10,115.8
2020-02-11,117.6
2020-02-12,118.3
2020-02-13,118.0
2020-02-14,118.8
2020-02-17,119.9
2020-02-18,119.6
2020-02-19,121.6
2020-02-20,121.3
2020-02-21,124.0
2020-02-24,119.5
2020-02-25,119.8
2020-02-26,119.5
2020-02-27,114.6
2020-02-28,108.3
2020-03-02,111.3
2020-03-03,113.1
2020-03-04,113.6
2020-03-05,111.9
2020-03-06,108.2
2020-03-09,101.0
2020-03-10,99.7
2020-03-11,99.05
2020-03-12,90.0
2020-03-13,90.8
2020-03-16,80.55
2020-03-17,80.15
2020-03-18,75.05
2020-03-19,81.9
2020-03-20,79.3
2020-03-23,78.8
2020-03-24,85.4
2020-03-25,86.4
2020-03-26,91.45
2020-03-27,87.1
2020-03-30,87.6
2020-03-31,89.2
2020-04-01,86.15
2020-04-02,84.1
2020-04-03,82.85
2020-04-06,85.85
2020-04-07,88.25
2020-04-08,88.85
2020-04-09,89.15
2020-04-14,89.4
2020-04-15,87.25
2020-04-16,91.15
2020-04-17,93.7
2020-04-20,90.5
2020-04-21,87.85
2020-04-22,86.65
2020-04-23,86.5
2020-04-24,85.2
2020-04-27,87.3
2020-04-28,88.35
2020-04-29,92.35
2020-04-30,91.75
2020-05-04,88.55
2020-05-05,88.9
2020-05-06,86.6
2020-05-07,89.1
2020-05-08,89.0
2020-05-11,88.7
2020-05-12,87.1
2020-05-13,84.6
2020-05-14,80.5
2020-05-15,79.85
2020-05-18,83.45
2020-05-19,84.25
2020-05-20,84.95
2020-05-21,84.95
2020-05-22,83.6
2020-05-25,86.5
2020-05-26,89.3
2020-05-27,92.25
2020-05-28,95.55
2020-05-29,94.95
2020-06-01,94.95
2020-06-02,96.15
2020-06-03,99.0
2020-06-04,96.1
2020-06-05,99.5
2020-06-08,97.9
2020-06-09,94.2
2020-06-10,94.1
2020-06-11,90.9
2020-06-12,90.25
2020-06-15,93.8
2020-06-16,94.15
2020-06-17,93.95
2020-06-18,95.45
2020-06-19,95.75
2020-06-22,94.15
2020-06-23,93.4
2020-06-24,93.1
2020-06-25,92.0
2020-06-26,91.9
2020-06-29,92.0
2020-06-30,92.55
2020-07-01,92.2
2020-07-02,93.25
2020-07-03,92.65
2020-07-06,96.15
2020-07-07,94.3
2020-07-08,94.1
2020-07-09,93.15
2020-07-10,94.9
2020-07-13,95.2
2020-07-14,96.1
2020-07-15,96.1
2020-07-16,95.6
2020-07-17,94.8
2020-07-20,95.1
2020-07-21,95.7
2020-07-22,95.65
2020-07-23,101.0
2020-07-24,98.4
2020-07-27,99.35
2020-07-28,100.9
2020-07-29,103.3
2020-07-30,99.95
2020-07-31,99.7
2020-08-03,101.0
2020-08-04,99.7
2020-08-05,100.0
2020-08-06,100.4
2020-08-07,100.3
2020-08-10,101.2
2020-08-11,103.3
2020-08-12,103.9
2020-08-13,104.2
2020-08-14,103.6
2020-08-17,104.0
2020-08-18,103.6
2020-08-19,105.1
2020-08-20,105.0
2020-08-21,104.5
2020-08-24,106.2
2020-08-25,106.4
2020-08-26,108.8
2020-08-27,108.8
2020-08-28,108.3
2020-08-31,107.8
2020-09-01,108.5
2020-09-02,109.6
2020-09-03,108.3
2020-09-04,105.9
2020-09-07,108.5
2020-09-08,107.3
2020-09-09,108.7
2020-09-10,108.8
2020-09-11,108.8
2020-09-14,110.0
2020-09-15,110.0
2020-09-16,112.1
2020-09-17,112.4
2020-09-18,112.7
2020-09-21,108.3
2020-09-22,107.4
2020-09-23,108.6
2020-09-24,107.8
2020-09-25,107.3
2020-09-28,109.4
2020-09-29,108.0
2020-09-30,109.4
2020-10-01,110.5
2020-10-02,112.1
2020-10-05,111.7
2020-10-06,112.7
2020-10-07,110.8
2020-10-08,111.2
2020-10-09,110.7
2020-10-12,111.0
2020-10-13,110.8
2020-10-14,109.7
2020-10-15,108.3
2020-10-16,109.5
2020-10-19,110.8
2020-10-20,110.2
2020-10-21,107.7
2020-10-22,107.1
2020-10-23,107.0
2020-10-26,106.0
2020-10-27,105.6
2020-10-28,102.1
2020-10-29,101.8
2020-10-30,101.7
2020-11-02,104.1
2020-11-03,106.7
2020-11-04,108.4
2020-11-05,109.0
2020-11-06,109.3
2020-11-09,114.2
2020-11-10,114.2
2020-11-11,111.4
2020-11-12,110.8
2020-11-13,110.3
2020-11-16,110.8
2020-11-17,109.2
2020-11-18,109.0
2020-11-19,106.8
2020-11-20,107.7
2020-11-23,109.7
2020-11-24,109.7
2020-11-25,108.7
2020-11-26,108.0
2020-11-27,107.6
2020-11-30,105.4
2020-12-01,105.9
2020-12-02,105.3
2020-12-03,105.0
2020-12-04,103.3
2020-12-07,102.8
2020-12-08,103.0
2020-12-09,102.6
2020-12-10,102.5
2020-12-11,101.5
2020-12-14,101.4
2020-12-15,102.5
2020-12-16,102.3
2020-12-17,103.0
2020-12-18,104.2
2020-12-21,102.9
2020-12-22,103.9
2020-12-23,105.7
2020-12-24,105.7
2020-12-28,106.2
2020-12-29,107.7
2020-12-30,107.2
2020-12-31,107.2
2021-01-04,106.1
2021-01-05,105.6
2021-01-06,104.6
2021-01-07,102.2
2021-01-08,101.8
2021-01-11,103.0
2021-01-12,104.0
2021-01-13,104.1
2021-01-14,103.6
2021-01-15,101.8
2021-01-18,102.5
2021-01-19,101.6
2021-01-20,101.7
2021-01-21,102.1
2021-01-22,101.0
2021-01-25,98.9
2021-01-26,100.2
2021-01-27,98.2
2021-01-28,99.65
2021-01-29,97.1
2021-02-01,99.1
2021-02-02,100.4
2021-02-03,101.3
2021-02-04,101.7
2021-02-05,102.7
2021-02-08,102.4
2021-02-09,102.0
2021-02-10,102.7
2021-02-11,102.5
2021-02-12,100.0
2021-02-15,100.7
2021-02-16,99.85
2021-02-17,97.5
2021-02-18,98.4
2021-02-19,96.5
2021-02-22,96.5
2021-02-23,96.0
2021-02-24,96.0
2021-02-25,94.6
2021-02-26,94.75
2021-03-01,96.9
2021-03-02,96.45
2021-03-03,97.0
2021-03-04,96.45
2021-03-05,96.1
2021-03-08,97.85
2021-03-09,99.1
2021-03-10,100.2
2021-03-11,100.8
2021-03-12,102.3
2021-03-15,103.4
2021-03-16,103.4
2021-03-17,104.9
