Dates,Settle
2020-02-05,115.3
2020-02-06,117.3
2020-02-07,117.7
2020-02-10,119.15
2020-02-11,121.5
2020-02-12,123.55
2020-02-13,122.3
2020-02-14,121.55
2020-02-17,120.5
2020-02-18,118.9
2020-02-19,120.45
2020-02-20,122.25
2020-02-21,120.55
2020-02-24,115.0
2020-02-25,113.8
2020-02-26,113.0
2020-02-27,107.05
2020-02-28,104.65
2020-03-02,105.15
2020-03-03,106.85
2020-03-04,107.05
2020-03-05,104.65
2020-03-06,101.95
2020-03-09,90.38
2020-03-10,88.74
2020-03-11,85.52
2020-03-12,77.76
2020-03-13,77.8
2020-03-16,74.04
2020-03-17,74.2
2020-03-18,72.8
2020-03-19,72.9
2020-03-20,75.0
2020-03-23,68.04
2020-03-24,70.06
2020-03-25,73.98
2020-03-26,75.36
2020-03-27,74.04
2020-03-30,73.4
2020-03-31,76.9
2020-04-01,74.02
2020-04-02,73.34
2020-04-03,72.26
2020-04-06,73.34
2020-04-07,75.92
2020-04-08,74.06
2020-04-09,74.06
2020-04-14,74.46
2020-04-15,70.78
2020-04-16,69.72
2020-04-17,73.52
2020-04-20,73.02
2020-04-21,70.36
2020-04-22,72.08
2020-04-23,73.66
2020-04-24,71.3
2020-04-27,74.3
2020-04-28,78.7
2020-04-29,83.98
2020-04-30,80.8
2020-05-04,76.0
2020-05-05,75.16
2020-05-06,75.46
2020-05-07,77.26
2020-05-08,77.26
2020-05-11,75.86
2020-05-12,75.4
2020-05-13,72.12
2020-05-14,71.4
2020-05-15,71.98
2020-05-18,74.92
2020-05-19,74.62
2020-05-20,76.82
2020-05-21,76.82
2020-05-22,76.82
2020-05-25,75.96
2020-05-26,81.12
2020-05-27,84.7
2020-05-28,85.14
2020-05-29,82.98
2020-06-01,82.98
2020-06-02,87.56
2020-06-03,90.86
2020-06-04,90.74
2020-06-05,90.74
2020-06-08,97.58
2020-06-09,95.94
2020-06-10,94.1
2020-06-11,89.08
2020-06-12,87.86
2020-06-15,87.36
2020-06-16,89.12
2020-06-17,89.44
2020-06-18,89.62
2020-06-19,89.22
2020-06-22,87.88
2020-06-23,90.64
2020-06-24,88.92
2020-06-25,88.66
2020-06-26,87.04
2020-06-29,89.3
2020-06-30,88.28
2020-07-01,89.88
2020-07-02,92.74
2020-07-03,92.64
2020-07-06,95.34
2020-07-07,95.6
2020-07-08,96.12
2020-07-09,94.7
2020-07-10,95.72
2020-07-13,99.82
2020-07-14,100.3
2020-07-15,101.85
2020-07-16,101.85
2020-07-17,100.8
2020-07-20,106.0
2020-07-21,106.7
2020-07-22,106.8
2020-07-23,105.45
2020-07-24,105.95
2020-07-27,103.95
2020-07-28,103.7
2020-07-29,104.3
2020-07-30,101.5
2020-07-31,101.6
2020-08-03,102.85
2020-08-04,102.15
2020-08-05,102.6
2020-08-06,102.0
2020-08-07,101.9
2020-08-10,103.05
2020-08-11,105.75
2020-08-12,105.7
2020-08-13,106.5
2020-08-14,104.05
2020-08-17,103.1
2020-08-18,101.2
2020-08-19,102.25
2020-08-20,98.1
2020-08-21,98.66
2020-08-24,100.35
2020-08-25,101.35
2020-08-26,99.6
2020-08-27,98.2
2020-08-28,98.28
2020-08-31,96.54
2020-09-01,94.0
2020-09-02,91.72
2020-09-03,91.36
2020-09-04,90.34
2020-09-07,90.08
2020-09-08,89.32
2020-09-09,90.1
2020-09-10,90.06
2020-09-11,87.94
2020-09-14,87.86
2020-09-15,87.62
2020-09-16,87.82
2020-09-17,86.56
2020-09-18,84.44
2020-09-21,82.0
2020-09-22,82.82
2020-09-23,83.3
2020-09-24,82.24
2020-09-25,80.3
2020-09-28,83.98
2020-09-29,84.5
2020-09-30,86.1
2020-10-01,85.0
2020-10-02,84.84
2020-10-05,87.0
2020-10-06,89.04
2020-10-07,88.44
2020-10-08,90.94
2020-10-09,91.18
2020-10-12,92.5
2020-10-13,89.7
2020-10-14,90.92
2020-10-15,90.86
2020-10-16,91.32
2020-10-19,92.92
2020-10-20,94.48
2020-10-21,91.82
2020-10-22,91.72
2020-10-23,93.76
2020-10-26,91.8
2020-10-27,88.54
