Dates,Settle
2020-02-05,8.264
2020-02-06,9.33
2020-02-07,9.53
2020-02-10,9.404
2020-02-11,9.67
2020-02-12,9.988
2020-02-13,10.188
2020-02-14,10.186
2020-02-17,10.204
2020-02-18,9.98
2020-02-19,9.911
2020-02-20,9.866
2020-02-21,9.524
2020-02-24,8.94
2020-02-25,8.771
2020-02-26,8.86
2020-02-27,8.294
2020-02-28,7.879
2020-03-02,7.567
2020-03-03,7.341
2020-03-04,7.266
2020-03-05,7.043
2020-03-06,6.776
2020-03-09,5.854
2020-03-10,5.882
2020-03-11,5.972
2020-03-12,4.871
2020-03-13,5.105
2020-03-16,4.906
2020-03-17,5.147
2020-03-18,5.144
2020-03-19,5.471
2020-03-20,5.525
2020-03-23,5.511
2020-03-24,6.191
2020-03-25,6.433
2020-03-26,6.338
2020-03-27,5.897
2020-03-30,5.824
2020-03-31,5.969
2020-04-01,5.598
2020-04-02,5.504
2020-04-03,5.426
2020-04-06,5.887
2020-04-07,6.205
2020-04-08,6.029
2020-04-09,6.119
2020-04-14,6.209
2020-04-15,5.632
2020-04-16,5.723
2020-04-17,5.971
2020-04-20,5.908
2020-04-21,5.557
2020-04-22,5.649
2020-04-23,5.846
2020-04-24,5.451
2020-04-27,6.142
2020-04-28,6.391
2020-04-29,7.155
2020-04-30,6.778
2020-05-04,6.426
2020-05-05,6.547
2020-05-06,6.34
2020-05-07,6.555
2020-05-08,6.537
2020-05-11,6.365
2020-05-12,6.506
2020-05-13,6.093
2020-05-14,6.05
2020-05-15,5.941
2020-05-18,6.556
2020-05-19,6.585
2020-05-20,6.854
2020-05-21,6.715
2020-05-22,6.691
2020-05-25,6.9
2020-05-26,7.504
2020-05-27,7.787
2020-05-28,7.83
2020-05-29,7.531
2020-06-01,7.531
2020-06-02,7.946
2020-06-03,8.153
2020-06-04,8.318
2020-06-05,8.709
2020-06-08,9.04
2020-06-09,8.624
2020-06-10,8.745
2020-06-11,8.134
2020-06-12,8.278
2020-06-15,8.25
2020-06-16,8.48
2020-06-17,8.436
2020-06-18,8.263
2020-06-19,8.342
2020-06-22,8.305
2020-06-23,8.554
2020-06-24,8.122
2020-06-25,8.388
2020-06-26,8.133
2020-06-29,8.43
2020-06-30,8.464
2020-07-01,8.347
2020-07-02,8.553
2020-07-03,8.477
2020-07-06,8.808
2020-07-07,8.805
2020-07-08,8.71
2020-07-09,8.614
2020-07-10,8.825
2020-07-13,8.75
2020-07-14,8.731
2020-07-15,8.853
2020-07-16,8.819
2020-07-17,8.74
2020-07-20,8.876
2020-07-21,8.497
2020-07-22,8.495
2020-07-23,8.341
2020-07-24,8.273
2020-07-27,8.086
2020-07-28,8
2020-07-29,7.8
2020-07-30,7.57
2020-07-31,7.591
2020-08-03,7.833
2020-08-04,7.819
2020-08-05,7.861
2020-08-06,7.753
2020-08-07,7.731
2020-08-10,8.01
