Dates,Settle
2020-02-05,163.65
2020-02-06,174.7
2020-02-07,174.7
2020-02-10,173.15
2020-02-11,175.1
2020-02-12,175.0
2020-02-13,174.85
2020-02-14,175.25
2020-02-17,176.0
2020-02-18,175.55
2020-02-19,175.9
2020-02-20,177.0
2020-02-21,175.75
2020-02-24,171.25
2020-02-25,169.6
2020-02-26,169.0
2020-02-27,161.65
2020-02-28,155.9
2020-03-02,158.5
2020-03-03,162.35
2020-03-04,157.6
2020-03-05,150.95
2020-03-06,139.95
2020-03-09,122.35
2020-03-10,126.3
2020-03-11,120.9
2020-03-12,108.9
2020-03-13,112.85
2020-03-16,104.35
2020-03-17,98.66
2020-03-18,100.5
2020-03-19,108.3
2020-03-20,108.3
2020-03-23,101.5
2020-03-24,107.05
2020-03-25,109.0
2020-03-26,114.0
2020-03-27,109.6
2020-03-30,112.85
2020-03-31,116.75
2020-04-01,115.4
2020-04-02,110.65
2020-04-03,112.45
2020-04-06,115.1
2020-04-07,116.0
2020-04-08,112.0
2020-04-09,112.0
2020-04-14,115.65
2020-04-15,110.0
2020-04-16,106.85
2020-04-17,113.05
2020-04-20,110.7
2020-04-21,107.0
2020-04-22,110.0
2020-04-23,111.8
2020-04-24,109.45
2020-04-27,113.6
2020-04-28,118.55
2020-04-29,124.3
2020-04-30,124.2
2020-05-04,118.55
2020-05-05,118.65
2020-05-06,116.65
2020-05-07,116.05
2020-05-08,118.1
2020-05-11,116.55
2020-05-12,119.5
2020-05-13,115.1
2020-05-14,110.65
2020-05-15,114.0
2020-05-18,120.7
2020-05-19,120.05
2020-05-20,122.45
2020-05-21,122.45
2020-05-22,119.1
2020-05-25,122.15
2020-05-26,128.85
2020-05-27,132.5
2020-05-28,133.4
2020-05-29,132.2
2020-06-01,132.2
2020-06-02,136.4
2020-06-03,139.2
2020-06-04,139.25
2020-06-05,143.35
2020-06-08,147.75
2020-06-09,141.2
2020-06-10,141.75
2020-06-11,134.4
2020-06-12,134.7
2020-06-15,130.0
2020-06-16,133.6
2020-06-17,131.75
2020-06-18,131.7
2020-06-19,130.85
2020-06-22,129.55
2020-06-23,131.05
2020-06-24,130.0
2020-06-25,129.6
2020-06-26,128.0
2020-06-29,129.7
2020-06-30,127.1
2020-07-01,131.8
2020-07-02,132.2
2020-07-03,130.2
