Dates,Settle
2020-02-05,33.63
2020-02-06,34.99
2020-02-07,35.29
2020-02-10,34.62
2020-02-11,35.32
2020-02-12,35.6
2020-02-13,35.35
2020-02-14,35.44
2020-02-17,35.57
2020-02-18,35.2
2020-02-19,35.15
2020-02-20,34.78
2020-02-21,34.56
2020-02-24,33.63
2020-02-25,32.6
2020-02-26,32.96
2020-02-27,31
2020-02-28,31.03
2020-03-02,30.38
2020-03-03,29.44
2020-03-04,29.19
2020-03-05,27.72
2020-03-06,26.72
2020-03-09,24.45
2020-03-10,24.64
2020-03-11,24.26
2020-03-12,21.3
2020-03-13,21.91
2020-03-16,19.2
2020-03-17,18.2
2020-03-18,16.225
2020-03-19,16.375
2020-03-20,17.5
2020-03-23,17.905
2020-03-24,20.16
2020-03-25,19.265
2020-03-26,19.665
2020-03-27,18.335
2020-03-30,17.07
2020-03-31,16.885
2020-04-01,15.9
2020-04-02,15.58
2020-04-03,15.34
2020-04-06,16.42
2020-04-07,17.8
2020-04-08,17.42
2020-04-09,18.05
2020-04-14,18.385
2020-04-15,16.6
2020-04-16,16.44
2020-04-17,17.08
2020-04-20,16.89
2020-04-21,15.925
2020-04-22,16.745
2020-04-23,17.815
2020-04-24,17.795
2020-04-27,18.2
2020-04-28,19.065
2020-04-29,20.52
2020-04-30,19.825
2020-05-04,18.825
2020-05-05,19.25
2020-05-06,18.89
2020-05-07,19.14
2020-05-08,19.61
2020-05-11,19.695
2020-05-12,19.395
2020-05-13,18.765
2020-05-14,17.85
2020-05-15,17.84
2020-05-18,18.9
2020-05-19,18.46
2020-05-20,18.665
2020-05-21,17.915
2020-05-22,17.95
2020-05-25,18.09
2020-05-26,19.655
2020-05-27,20.88
2020-05-28,20.65
2020-05-29,19.765
2020-06-01,19.765
2020-06-02,21.3
2020-06-03,22.18
2020-06-04,22.92
2020-06-05,24.83
2020-06-08,24.94
2020-06-09,24.16
2020-06-10,23.29
2020-06-11,21.73
2020-06-12,22.5
2020-06-15,22.54
2020-06-16,23.12
2020-06-17,22.5
2020-06-18,22
2020-06-19,21.7
2020-06-22,21.24
2020-06-23,21.58
2020-06-24,20.27
2020-06-25,20.86
2020-06-26,20.61
2020-06-29,21.09
2020-06-30,20.95
2020-07-01,21.05
2020-07-02,21.91
2020-07-03,21.69
2020-07-06,22.7
2020-07-07,22.44
2020-07-08,22.01
2020-07-09,21.44
2020-07-10,22.13
2020-07-13,22.43
2020-07-14,22.42
2020-07-15,22.78
2020-07-16,22.71
2020-07-17,22.25
2020-07-20,22.04
2020-07-21,22.28
2020-07-22,22.06
2020-07-23,21.56
2020-07-24,21.1
2020-07-27,21
2020-07-28,20.87
2020-07-29,20.44
2020-07-30,19.76
2020-07-31,18.9
2020-08-03,19.475
2020-08-04,20.03
2020-08-05,20.22
2020-08-06,19.905
2020-08-07,19.845
2020-08-10,20.26
2020-08-11,21.04
2020-08-12,21.01
2020-08-13,20.78
2020-08-14,20.7
2020-08-17,20.31
2020-08-18,20.28
2020-08-19,20.39
2020-08-20,20.06
2020-08-21,19.995
2020-08-24,20.4
2020-08-25,20.5
2020-08-26,20.68
2020-08-27,20.3
2020-08-28,20.83
2020-08-31,20.38
2020-09-01,20.38
2020-09-02,19.945
2020-09-03,19.95
2020-09-04,20.28
2020-09-07,20.49
2020-09-08,20.3
2020-09-09,20.35
2020-09-10,20.61
2020-09-11,20.27
2020-09-14,20.49
2020-09-15,20.27
