Dates,Settle
2020-02-05,11.185
2020-02-06,11.32
2020-02-07,11.74
2020-02-10,11.68
2020-02-11,11.025
2020-02-12,10.955
2020-02-13,10.925
2020-02-14,10.92
2020-02-17,11.05
2020-02-18,10.84
2020-02-19,11.19
2020-02-20,11.09
2020-02-21,10.725
2020-02-24,10.06
2020-02-25,9.794
2020-02-26,9.95
2020-02-27,9.826
2020-02-28,9.494
2020-03-02,9.13
2020-03-03,9.334
2020-03-04,8.85
2020-03-05,8.872
2020-03-06,8.974
2020-03-09,8.118
2020-03-10,7.536
2020-03-11,7.876
2020-03-12,6.918
2020-03-13,7.704
2020-03-16,7.606
2020-03-17,7.39
2020-03-18,7.524
2020-03-19,7.478
2020-03-20,7.464
2020-03-23,7.478
2020-03-24,8.22
2020-03-25,8.096
2020-03-26,8.838
2020-03-27,8.268
2020-03-30,8.422
2020-03-31,8.29
2020-04-01,8.284
2020-04-02,8.55
2020-04-03,8.95
2020-04-06,9.154
2020-04-07,9.312
2020-04-08,9.444
2020-04-09,9.442
2020-04-14,9.56
2020-04-15,8.834
2020-04-16,8.708
2020-04-17,8.7
2020-04-20,8.732
2020-04-21,8.162
2020-04-22,8.758
2020-04-23,9.238
2020-04-24,9.212
2020-04-27,9.504
2020-04-28,9.734
2020-04-29,10.21
2020-04-30,10.14
2020-05-04,9.708
2020-05-05,9.86
2020-05-06,9.37
2020-05-07,9.436
2020-05-08,9.678
2020-05-11,9.99
2020-05-12,10.5
2020-05-13,10.07
2020-05-14,9.922
2020-05-15,10.06
2020-05-18,10.23
2020-05-19,9.856
2020-05-20,10
2020-05-21,9.896
2020-05-22,10.165
2020-05-25,10.16
2020-05-26,10.215
2020-05-27,10.015
2020-05-28,10.595
2020-05-29,10.505
2020-06-01,10.56
2020-06-02,10.745
2020-06-03,10.855
2020-06-04,11.025
2020-06-05,11.27
2020-06-08,11.265
2020-06-09,11.285
2020-06-10,11.68
2020-06-11,11.58
2020-06-12,11.58
2020-06-15,11.68
2020-06-16,12.105
2020-06-17,12.415
2020-06-18,11.995
2020-06-19,12.105
2020-06-22,12.11
2020-06-23,12.4
2020-06-24,11.905
2020-06-25,12.035
2020-06-26,11.815
2020-06-29,12.135
2020-06-30,12.015
2020-07-01,12
2020-07-02,12.49
2020-07-03,12.48
2020-07-06,12.935
2020-07-07,12.9
2020-07-08,12.87
2020-07-09,12.465
2020-07-10,12.55
2020-07-13,12.615
2020-07-14,12.54
2020-07-15,12.84
2020-07-16,12.83
2020-07-17,12.84
2020-07-20,13.06
2020-07-21,12.98
2020-07-22,13.18
2020-07-23,12.995
2020-07-24,12.82
2020-07-27,12.785
2020-07-28,12.575
2020-07-29,12.695
2020-07-30,12.18
2020-07-31,12.275
2020-08-03,12.705
2020-08-04,12.455
2020-08-05,12.485
2020-08-06,12.335
2020-08-07,12.56
2020-08-10,12.575
2020-08-11,13.34
2020-08-12,13.1
2020-08-13,13.05
2020-08-14,12.795
2020-08-17,12.78
2020-08-18,12.785
2020-08-19,12.96
2020-08-20,12.885
2020-08-21,12.89
2020-08-24,13.05
2020-08-25,13.06
