Dates,Settle
2020-02-05,30.29
2020-02-06,30.6
2020-02-07,30.55
2020-02-10,30.15
2020-02-11,30.4
2020-02-12,31.55
2020-02-13,31.665
2020-02-14,31.73
2020-02-17,31.935
2020-02-18,31.78
2020-02-19,31.795
2020-02-20,31.22
2020-02-21,31.07
2020-02-24,29.94
2020-02-25,28.85
2020-02-26,28.56
2020-02-27,26.72
2020-02-28,25.59
2020-03-02,25.02
2020-03-03,24.23
2020-03-04,24.18
2020-03-05,22.785
2020-03-06,21.4
2020-03-09,17.622
2020-03-10,18.146
2020-03-11,18.762
2020-03-12,15.546
2020-03-13,17.148
2020-03-16,14.52
2020-03-17,15.658
2020-03-18,14.16
2020-03-19,13.8
2020-03-20,14.666
2020-03-23,13.782
2020-03-24,15.526
2020-03-25,17.302
2020-03-26,17.678
2020-03-27,16.258
2020-03-30,15.436
2020-03-31,15.348
2020-04-01,13.886
2020-04-02,13.936
2020-04-03,12.8
2020-04-06,13.972
2020-04-07,14.598
2020-04-08,14.586
2020-04-09,15.022
2020-04-14,14.676
2020-04-15,13.472
2020-04-16,13.432
2020-04-17,13.942
2020-04-20,13.94
2020-04-21,13.16
2020-04-22,13.512
2020-04-23,14.212
2020-04-24,13.518
2020-04-27,14.2
2020-04-28,14.796
2020-04-29,15.606
2020-04-30,14.26
2020-05-04,13.15
2020-05-05,13.324
2020-05-06,12.8
2020-05-07,13.066
2020-05-08,13.268
2020-05-11,12.91
2020-05-12,12.694
2020-05-13,12.09
2020-05-14,11.844
2020-05-15,11.766
2020-05-18,12.974
2020-05-19,12.356
2020-05-20,12.726
2020-05-21,12.404
2020-05-22,12.44
2020-05-25,12.544
2020-05-26,13.424
2020-05-27,14.304
2020-05-28,13.916
2020-05-29,13.232
2020-06-01,13.82
2020-06-02,14.268
2020-06-03,14.892
2020-06-04,15.266
2020-06-05,16.848
2020-06-08,17.784
2020-06-09,16.468
2020-06-10,15.78
2020-06-11,14.302
2020-06-12,14.766
2020-06-15,14.408
2020-06-16,14.888
2020-06-17,14.696
2020-06-18,14.62
2020-06-19,14.374
2020-06-22,14.314
2020-06-23,14.942
2020-06-24,14.262
2020-06-25,14.756
2020-06-26,14.484
2020-06-29,14.914
2020-06-30,14.8
2020-07-01,14.692
2020-07-02,15.5
2020-07-03,15.262
2020-07-06,15.866
2020-07-07,15.538
2020-07-08,15.174
2020-07-09,14.632
2020-07-10,15.13
2020-07-13,15.4
2020-07-14,15.306
2020-07-15,15.726
2020-07-16,15.956
2020-07-17,15.704
2020-07-20,15.698
2020-07-21,15.668
2020-07-22,15.246
2020-07-23,15.022
2020-07-24,14.69
2020-07-27,14.134
2020-07-28,14.256
2020-07-29,13.876
2020-07-30,13.172
2020-07-31,12.984
2020-08-03,12.9
2020-08-04,13.58
2020-08-05,13.476
2020-08-06,13.302
2020-08-07,13.298
2020-08-10,13.706
2020-08-11,14.212
2020-08-12,14.314
2020-08-13,14.2
2020-08-14,14.066
2020-08-17,13.996
2020-08-18,13.74
2020-08-19,13.914
2020-08-20,13.55
2020-08-21,13.282
2020-08-24,13.838
2020-08-25,13.796
2020-08-26,13.9
2020-08-27,13.73
2020-08-28,14.154
2020-08-31,13.582
2020-09-01,13.23
2020-09-02,12.92
2020-09-03,12.95
2020-09-04,13.674
2020-09-07,13.526
2020-09-08,13.018
2020-09-09,13.182
2020-09-10,13.254
2020-09-11,12.842
2020-09-14,13.202
2020-09-15,12.996
2020-09-16,12.97
2020-09-17,13.028
2020-09-18,12.63
2020-09-21,11.662
2020-09-22,11.65
2020-09-23,11.512
2020-09-24,11.212
2020-09-25,10.904
2020-09-28,11.452
2020-09-29,11.028
2020-09-30,11.318
2020-10-01,11.048
2020-10-02,11.038
2020-10-05,11.388
2020-10-06,12.152
2020-10-07,12.336
2020-10-08,12.594
2020-10-09,12.416
2020-10-12,12.712
2020-10-13,12.21
2020-10-14,12.322
2020-10-15,11.826
2020-10-16,12.058
2020-10-19,12.296
2020-10-20,12.608
2020-10-21,12.392
2020-10-22,12.508
2020-10-23,12.75
2020-10-26,12.584
2020-10-27,11.944
2020-10-28,11.382
2020-10-29,11.35
2020-10-30,11.64
2020-11-02,12.124
2020-11-03,12.784
2020-11-04,12.752
2020-11-05,13.228
2020-11-06,13.08
2020-11-09,15.488
2020-11-10,16.202
2020-11-11,15.604
2020-11-12,15.276
2020-11-13,15.628
2020-11-16,16.286
2020-11-17,16.5
2020-11-18,16.418
2020-11-19,16.186
2020-11-20,16.164
2020-11-23,16.554
2020-11-24,17.24
2020-11-25,17.4
2020-11-26,17.19
2020-11-27,17.328
2020-11-30,16.686
2020-12-01,17.546
2020-12-02,17.914
2020-12-03,18.044
2020-12-04,18.294
2020-12-07,17.794
2020-12-08,17.522
2020-12-09,17.672
2020-12-10,17.098
2020-12-11,16.678
2020-12-14,16.992
2020-12-15,17.316
2020-12-16,17.254
2020-12-17,17.21
2020-12-18,17.04
2020-12-21,16.156
2020-12-22,16.568
2020-12-23,17.26
2020-12-24,17.274
2020-12-28,17.172
2020-12-29,17.08
2020-12-30,16.982
2020-12-31,17.022
2021-01-04,16.702
2021-01-05,16.808
2021-01-06,17.956
2021-01-07,18.142
2021-01-08,17.778
2021-01-11,17.538
2021-01-12,17.638
2021-01-13,17.65
2021-01-14,17.762
2021-01-15,17.334
2021-01-18,17.4
2021-01-19,16.984
2021-01-20,17.084
2021-01-21,16.898
2021-01-22,16.34
2021-01-25,15.616
2021-01-26,15.986
2021-01-27,15.564
2021-01-28,15.77
2021-01-29,15.438
2021-02-01,15.584
2021-02-02,16.136
2021-02-03,16.256
2021-02-04,16.66
2021-02-05,17.17
2021-02-08,17.284
2021-02-09,17.404
2021-02-10,17.9
2021-02-11,17.956
2021-02-12,17.772
2021-02-15,18.92
2021-02-16,18.926
2021-02-17,19.06
2021-02-18,19.084
2021-02-19,19.806
2021-02-22,20.15
2021-02-23,20.12
2021-02-24,20.38
2021-02-25,20.92
2021-02-26,20.535
2021-03-01,20.78
2021-03-02,20.73
2021-03-03,21.48
2021-03-04,21.215
2021-03-05,21.335
2021-03-08,22.335
2021-03-09,21.805
2021-03-10,21.88
2021-03-11,21.385
2021-03-12,21.765
2021-03-15,21.875
2021-03-16,21.67
2021-03-17,21.96
2021-03-18,22.81
2021-03-19,22.17
2021-03-22,22.16
2021-03-23,22.025
2021-03-24,22.11
2021-03-25,21.845
2021-03-26,22.24
2021-03-29,21.705
2021-03-30,22.565
2021-03-31,22.315
2021-04-01,22.68
2021-04-06,22.65
2021-04-07,22.665
2021-04-08,22.25
2021-04-09,21.895
2021-04-12,22.085
2021-04-13,22.075
2021-04-14,22.315
2021-04-15,22.11
2021-04-16,22.39
2021-04-19,22.545
2021-04-20,21.515
2021-04-21,21.32
2021-04-22,21.4
2021-04-23,21.45
2021-04-26,22.315
2021-04-27,22.795
2021-04-28,23.615
2021-04-29,23.825
2021-04-30,23.67
2021-05-03,23.73
2021-05-04,23.2
2021-05-05,23.635
2021-05-06,24.925
2021-05-07,24.91
2021-05-10,25.635
2021-05-11,25.25
2021-05-12,25.775
2021-05-13,25.7
2021-05-14,26.1
2021-05-17,26.195
2021-05-18,26.16
2021-05-19,25.99
2021-05-20,26.115
2021-05-21,26.24
2021-05-24,26.2
2021-05-25,25.95
2021-05-26,25.4
2021-05-27,26.155
2021-05-28,26.25
2021-05-31,26.205
2021-06-01,26.53
2021-06-02,26.62
2021-06-03,26.75
2021-06-04,26.52
2021-06-07,26.735
2021-06-08,26.31
2021-06-09,26.175
2021-06-10,26.4
2021-06-11,26.38
2021-06-14,26.38
2021-06-15,26.265
2021-06-16,25.635
2021-06-17,25.89
2021-06-18,25.01
2021-06-21,24.835
2021-06-22,24.57
2021-06-23,24.66
2021-06-24,25.435
2021-06-25,25.4
2021-06-28,24.775
2021-06-29,25.09
2021-06-30,24.86
2021-07-01,25.7
2021-07-02,25.07
2021-07-05,25.685
2021-07-06,24.895
2021-07-07,24.685
2021-07-08,23.915
2021-07-09,24.775
2021-07-12,24.8
2021-07-13,24.56
2021-07-14,24.67
2021-07-15,24.755
2021-07-16,24.145
2021-07-19,23.04
2021-07-20,23.37
2021-07-21,24.14
2021-07-22,24.03
2021-07-23,24.47
2021-07-26,24.905
2021-07-27,24.66
2021-07-28,24.56
2021-07-29,24.94
2021-07-30,24.725
2021-08-02,24.865
2021-08-03,26.45
2021-08-04,27.205
2021-08-05,27.135
2021-08-06,27.535
2021-08-09,27.59
2021-08-10,27.415
2021-08-11,27.63
2021-08-12,27.465
2021-08-13,27.455
2021-08-16,26.985
2021-08-17,26.4
2021-08-18,26.555
2021-08-19,25.75
2021-08-20,25.755
2021-08-23,26.055
2021-08-24,26.21
2021-08-25,26.85
2021-08-26,26.595
2021-08-27,26.68
2021-08-30,26.255
2021-08-31,26.65
2021-09-01,27.01
2021-09-02,26.98
2021-09-03,26.565
2021-09-06,26.67
2021-09-07,26.835
2021-09-08,26.27
2021-09-09,26.42
2021-09-10,26.44
2021-09-13,26.75
2021-09-14,26.26
2021-09-15,26.215
2021-09-16,26.345
2021-09-17,26.05
2021-09-20,24.565
2021-09-21,24.485
2021-09-22,25.39
2021-09-23,26.045
2021-09-24,26.335
2021-09-27,27.17
2021-09-28,26.535
2021-09-29,27.115
2021-09-30,27.195
2021-10-01,26.96
2021-10-04,26.74
2021-10-05,27.9
2021-10-06,27.67
2021-10-07,28.225
2021-10-08,28.255
2021-10-11,28.34
2021-10-12,28.29
2021-10-13,27.955
2021-10-14,28.29
2021-10-15,28.79
2021-10-18,28.67
2021-10-19,28.7
2021-10-20,28.615
2021-10-21,28.345
2021-10-22,28.5
2021-10-25,28.71
2021-10-26,28.72
2021-10-27,28.56
2021-10-28,28.335
2021-10-29,28.835
2021-11-01,29.43
2021-11-02,29.355
2021-11-03,29.415
2021-11-04,29.715
2021-11-05,29.995
2021-11-08,29.805
2021-11-09,29.515
2021-11-10,29.4
2021-11-11,29.47
2021-11-12,29.27
2021-11-15,29.795
2021-11-16,29.755
2021-11-17,29.705
2021-11-18,29.59
2021-11-19,28.84
2021-11-22,29.25
2021-11-23,29.235
2021-11-24,29.265
2021-11-25,29.335
2021-11-26,27.265
2021-11-29,27.485
2021-11-30,27.545
2021-12-01,28.45
2021-12-02,28.515
2021-12-03,28.365
2021-12-06,28.655
2021-12-07,28.975
2021-12-08,29.195
2021-12-09,29.23
2021-12-10,29.085
2021-12-13,28.645
2021-12-14,28.93
2021-12-15,28.755
2021-12-16,29.33
2021-12-17,28.67
2021-12-20,28.365
2021-12-21,29.12
2021-12-22,29.44
2021-12-23,29.83
2021-12-24,29.93
2021-12-27,29.99
2021-12-28,30.145
2021-12-29,30.275
2021-12-30,30.24
2021-12-31,30.205
2022-01-03,30.455
2022-01-04,31.925
2022-01-05,32.25
2022-01-06,32.85
2022-01-07,33.2
2022-01-10,33.015
2022-01-11,33.08
2022-01-12,33.515
2022-01-13,34.245
2022-01-14,34.235
2022-01-17,34.355
2022-01-18,34.325
2022-01-19,33.675
2022-01-20,33.73
2022-01-21,32.96
2022-01-24,31.115
2022-01-25,32.04
