Dates,Settle
2020-02-05,569.0
2020-02-06,573.5
2020-02-07,581.3
2020-02-10,578.3
2020-02-11,591.4
2020-02-12,595.4
2020-02-13,589.9
2020-02-14,584.5
2020-02-17,590.7
2020-02-18,551.9
2020-02-19,559.0
2020-02-20,559.7
2020-02-21,562.2
2020-02-24,550.8
2020-02-25,539.7
2020-02-26,555.0
2020-02-27,529.3
2020-02-28,523.9
2020-03-02,520.1
2020-03-03,509.8
2020-03-04,512.2
2020-03-05,506.4
2020-03-06,493.8
2020-03-09,470.0
2020-03-10,478.5
2020-03-11,485.5
2020-03-12,444.6
2020-03-13,465.85
2020-03-16,464.4
2020-03-17,494.65
2020-03-18,491.0
2020-03-19,500.0
2020-03-20,500.0
2020-03-23,490.0
2020-03-24,515.0
2020-03-25,509.9
2020-03-26,497.9
2020-03-27,466.55
2020-03-30,462.65
2020-03-31,454.25
2020-04-01,411.0
2020-04-02,397.75
2020-04-03,397.2
2020-04-06,414.7
2020-04-07,419.6
2020-04-08,420.45
2020-04-09,428.85
2020-04-14,427.45
2020-04-15,408.1
2020-04-16,405.6
2020-04-17,414.35
2020-04-20,417.95
2020-04-21,399.3
2020-04-22,405.6
2020-04-23,410.3
2020-04-24,402.15
2020-04-27,416.3
2020-04-28,420.55
2020-04-29,428.5
2020-04-30,410.0
2020-05-04,395.6
2020-05-05,401.2
2020-05-06,401.95
2020-05-07,412.7
2020-05-08,412.7
2020-05-11,411.0
2020-05-12,410.5
2020-05-13,404.6
2020-05-14,398.5
2020-05-15,399.7
2020-05-18,414.7
2020-05-19,411.5
2020-05-20,412.75
2020-05-21,398.9
2020-05-22,379.0
2020-05-25,379.0
2020-05-26,387.65
2020-05-27,396.6
2020-05-28,384.35
2020-05-29,370.1
2020-06-01,380.4
2020-06-02,384.8
2020-06-03,401.8
2020-06-04,399.4
2020-06-05,422.95
2020-06-08,420.75
2020-06-09,405.45
2020-06-10,400.55
2020-06-11,376.25
2020-06-12,380.35
2020-06-15,376.2
2020-06-16,383.8
2020-06-17,382.05
2020-06-18,381.55
2020-06-19,391.4
2020-06-22,381.35
2020-06-23,387.6
2020-06-24,380.8
2020-06-25,384.35
2020-06-26,380.25
2020-06-29,384.8
2020-06-30,378.6
2020-07-01,372.3
2020-07-02,389.1
2020-07-03,383.5
2020-07-06,408.65
2020-07-07,395.15
2020-07-08,383.65
2020-07-09,373.3
2020-07-10,377.8
2020-07-13,380.8
2020-07-14,383.75
2020-07-15,386.1
2020-07-16,385.6
2020-07-17,379.55
2020-07-20,374.3
2020-07-21,380.95
2020-07-22,370.5
2020-07-23,367.1
2020-07-24,364.85
2020-07-27,353.1
2020-07-28,353.25
2020-07-29,362.3
2020-07-30,347.05
2020-07-31,342.2
2020-08-03,332.25
2020-08-04,336.7
2020-08-05,333.45
2020-08-06,324.95
2020-08-07,325.55
2020-08-10,331.0
2020-08-11,346.0
2020-08-12,357.1
2020-08-13,343.75
2020-08-14,341.3
2020-08-17,338.65
2020-08-18,332.4
2020-08-19,335.6
2020-08-20,328.95
2020-08-21,328.15
2020-08-24,338.0
2020-08-25,334.75
2020-08-26,331.6
2020-08-27,328.05
2020-08-28,330.15
2020-08-31,330.15
2020-09-01,317.0
2020-09-02,320.45
2020-09-03,317.25
2020-09-04,319.75
2020-09-07,323.15
2020-09-08,321.3
2020-09-09,327.7
2020-09-10,324.65
2020-09-11,322.9
2020-09-14,322.1
2020-09-15,322.8
2020-09-16,317.0
2020-09-17,310.8
2020-09-18,304.0
2020-09-21,288.0
2020-09-22,287.1
2020-09-23,290.25
2020-09-24,286.7
2020-09-25,283.35
2020-09-28,308.55
2020-09-29,298.5
2020-09-30,301.5
2020-10-01,304.6
2020-10-02,308.2
2020-10-05,309.35
2020-10-06,314.3
2020-10-07,315.4
2020-10-08,314.1
2020-10-09,309.4
2020-10-12,308.2
2020-10-13,305.2
2020-10-14,296.6
2020-10-15,299.25
2020-10-16,306.35
2020-10-19,309.25
2020-10-20,308.55
2020-10-21,302.4
2020-10-22,306.95
2020-10-23,321.4
2020-10-26,319.35
2020-10-27,330.1
2020-10-28,319.0
2020-10-29,324.0
2020-10-30,324.55
2020-11-02,332.65
2020-11-03,346.85
2020-11-04,332.45
2020-11-05,336.15
2020-11-06,337.8
2020-11-09,374.0
2020-11-10,373.95
2020-11-11,387.6
2020-11-12,372.5
2020-11-13,372.7
2020-11-16,388.8
2020-11-17,376.6
2020-11-18,384.8
2020-11-19,383.85
2020-11-20,380.9
2020-11-23,384.0
2020-11-24,399.65
2020-11-25,398.3
2020-11-26,397.85
2020-11-27,404.85
2020-11-30,388.25
2020-12-01,406.1
2020-12-02,418.35
2020-12-03,421.35
2020-12-04,422.65
2020-12-07,411.55
2020-12-08,400.4
2020-12-09,403.0
2020-12-10,403.15
2020-12-11,400.6
2020-12-14,403.4
2020-12-15,402.65
2020-12-16,397.0
2020-12-17,394.75
2020-12-18,387.75
2020-12-21,381.1
2020-12-22,383.8
2020-12-23,385.8
2020-12-24,386.0
2020-12-28,386.0
2020-12-29,383.55
2020-12-30,383.0
2020-12-31,378.85
2021-01-04,380.35
