Dates,Settle
2020-02-05,10.294
2020-02-06,10.49
2020-02-07,10.57
2020-02-10,10.524
2020-02-11,10.682
2020-02-12,10.836
2020-02-13,10.772
2020-02-14,10.71
2020-02-17,10.734
2020-02-18,10.422
2020-02-19,10.026
2020-02-20,10.052
2020-02-21,9.878
2020-02-24,9.51
2020-02-25,9.174
2020-02-26,9.176
2020-02-27,8.831
2020-02-28,8.609
2020-03-02,8.429
2020-03-03,8.341
2020-03-04,8.194
2020-03-05,7.9
2020-03-06,7.545
2020-03-09,6.47
2020-03-10,6.416
2020-03-11,6.401
2020-03-12,5.161
2020-03-13,5.164
2020-03-16,4.67
2020-03-17,4.66
2020-03-18,4.3005
2020-03-19,4.47
2020-03-20,4.967
2020-03-23,4.835
2020-03-24,5.826
2020-03-25,5.983
2020-03-26,5.996
2020-03-27,5.479
2020-03-30,4.9925
2020-03-31,4.7815
2020-04-01,4.786
2020-04-02,4.8145
2020-04-03,4.62
2020-04-06,5.05
2020-04-07,5.287
2020-04-08,5.291
2020-04-09,5.411
2020-04-14,5.104
2020-04-15,4.671
2020-04-16,4.603
2020-04-17,4.839
2020-04-20,4.742
2020-04-21,4.527
2020-04-22,4.7195
2020-04-23,4.908
2020-04-24,4.605
2020-04-27,4.881
2020-04-28,5.142
2020-04-29,5.379
2020-04-30,5.008
2020-05-04,4.72
2020-05-05,4.847
2020-05-06,4.653
2020-05-07,4.8935
2020-05-08,5.07
2020-05-11,4.931
2020-05-12,5.061
2020-05-13,4.7885
2020-05-14,4.898
2020-05-15,4.899
2020-05-18,5.251
2020-05-19,5.19
2020-05-20,5.335
2020-05-21,5.24
2020-05-22,5.23
2020-05-25,5.326
2020-05-26,5.69
2020-05-27,6.031
2020-05-28,6.045
2020-05-29,5.806
2020-06-01,5.962
2020-06-02,6.149
2020-06-03,6.46
2020-06-04,6.563
2020-06-05,7.13
2020-06-08,7.272
2020-06-09,6.98
2020-06-10,6.864
2020-06-11,6.282
2020-06-12,6.372
2020-06-15,6.277
2020-06-16,6.527
2020-06-17,6.55
2020-06-18,6.422
2020-06-19,6.207
2020-06-22,6.26
2020-06-23,6.436
2020-06-24,6.105
2020-06-25,6.243
2020-06-26,6.02
2020-06-29,6.263
2020-06-30,6.198
2020-07-01,6.181
2020-07-02,6.449
2020-07-03,6.427
2020-07-06,6.7
2020-07-07,6.562
2020-07-08,6.242
2020-07-09,6.067
2020-07-10,6.347
2020-07-13,6.43
2020-07-14,6.45
2020-07-15,6.644
2020-07-16,6.673
2020-07-17,6.552
2020-07-20,6.572
2020-07-21,6.651
2020-07-22,6.483
2020-07-23,6.457
2020-07-24,6.391
2020-07-27,6.282
2020-07-28,6.26
2020-07-29,6.2
2020-07-30,5.947
2020-07-31,5.896
2020-08-03,6.056
2020-08-04,6.086
2020-08-05,6.158
2020-08-06,6.5
2020-08-07,6.605
2020-08-10,6.775
2020-08-11,7.086
2020-08-12,7.128
2020-08-13,6.952
2020-08-14,6.943
2020-08-17,6.879
2020-08-18,6.77
2020-08-19,6.822
2020-08-20,6.698
2020-08-21,6.583
2020-08-24,6.828
2020-08-25,6.964
2020-08-26,7.033
2020-08-27,6.948
2020-08-28,7.073
2020-08-31,6.804
2020-09-01,6.807
2020-09-02,6.838
2020-09-03,6.834
2020-09-04,6.97
2020-09-07,6.999
2020-09-08,6.956
2020-09-09,7.054
2020-09-10,7.111
2020-09-11,7.034
2020-09-14,7.165
2020-09-15,7.081
2020-09-16,7.024
2020-09-17,6.791
2020-09-18,6.601
2020-09-21,5.989
2020-09-22,5.943
2020-09-23,5.872
2020-09-24,5.942
2020-09-25,5.897
2020-09-28,6.168
2020-09-29,6.044
2020-09-30,6.057
2020-10-01,6.042
2020-10-02,6.147
2020-10-05,6.299
2020-10-06,6.612
2020-10-07,6.583
2020-10-08,6.688
2020-10-09,6.689
2020-10-12,6.619
2020-10-13,6.248
2020-10-14,6.249
2020-10-15,6.172
2020-10-16,6.334
2020-10-19,6.372
2020-10-20,6.448
2020-10-21,6.405
2020-10-22,6.447
2020-10-23,6.591
2020-10-26,6.45
2020-10-27,6.158
2020-10-28,5.893
2020-10-29,5.755
2020-10-30,5.859
2020-11-02,6.199
2020-11-03,6.477
2020-11-04,6.408
2020-11-05,6.098
2020-11-06,6.063
2020-11-09,6.929
2020-11-10,7.461
2020-11-11,7.301
2020-11-12,7.391
2020-11-13,7.418
2020-11-16,7.591
2020-11-17,7.679
2020-11-18,7.813
2020-11-19,7.696
2020-11-20,7.711
2020-11-23,7.943
2020-11-24,8.6
2020-11-25,8.37
2020-11-26,8.32
2020-11-27,8.416
2020-11-30,8.175
2020-12-01,8.356
2020-12-02,8.384
2020-12-03,8.296
2020-12-04,8.391
2020-12-07,8.231
2020-12-08,8.274
2020-12-09,8.327
2020-12-10,8.088
2020-12-11,7.915
2020-12-14,7.906
2020-12-15,8.1
2020-12-16,7.955
2020-12-17,7.945
2020-12-18,7.876
2020-12-21,7.408
2020-12-22,7.595
2020-12-23,7.853
2020-12-24,7.917
2020-12-28,7.862
2020-12-29,7.773
2020-12-30,7.714
2020-12-31,7.641
2021-01-04,7.612
2021-01-05,7.65
2021-01-06,8.203
2021-01-07,8.371
2021-01-08,8.293
2021-01-11,8.052
2021-01-12,8.041
2021-01-13,7.894
2021-01-14,7.856
2021-01-15,7.846
2021-01-18,7.969
2021-01-19,7.762
2021-01-20,7.826
2021-01-21,7.826
2021-01-22,7.71
2021-01-25,7.362
2021-01-26,7.559
2021-01-27,7.3
2021-01-28,7.455
2021-01-29,7.375
