Dates,Settle
2020-02-05,331.1056725
2020-02-06,329.8275625
2020-02-07,326.2939643
2020-02-10,324.7151225
2020-02-11,330.429026
2020-02-12,339.7517107
2020-02-13,339.9772595
2020-02-14,337.5714054
2020-02-17,335.0151854
2020-02-18,331.8575019
2020-02-19,332.5341484
2020-02-20,332.3085996
2020-02-21,335.4662831
2020-02-24,330.2034772
2020-02-25,322.3092684
2020-02-26,327.1961596
2020-02-27,316.8209137
2020-02-28,294.792312
2020-03-02,289.9054208
2020-03-03,292.4616408
2020-03-04,295.0178608
2020-03-05,285.1688955
2020-03-06,271.4856002
2020-03-09,246.1489491
2020-03-10,249.9080961
2020-03-11,247.502242
2020-03-12,223.8947985
2020-03-13,228.330592
2020-03-16,174.881111
2020-03-17,175.9591773
2020-03-18,150.0387125
2020-03-19,130.0710488
2020-03-20,129.9773039
2020-03-23,120.7434312
2020-03-24,131.758457
2020-03-25,153.3666564
2020-03-26,159.5069474
2020-03-27,149.8043502
2020-03-30,134.992656
2020-03-31,142.3985031
2020-04-01,131.3366049
2020-04-02,135.6488703
2020-04-03,129.0867273
2020-04-06,137.6175132
2020-04-07,150.0855849
2020-04-08,152.9448044
2020-04-09,156.5071106
2020-04-14,156.4602381
2020-04-15,142.8203552
2020-04-16,137.2894061
2020-04-17,143.8984215
2020-04-20,149.1481359
2020-04-21,139.5392837
2020-04-22,140.0548806
2020-04-23,146.5701512
2020-04-24,145.2577226
2020-04-27,149.99184
2020-04-28,156.553983
2020-04-29,167.0065394
2020-04-30,153.6947636
2020-05-04,146.2889165
2020-05-05,151.3511411
2020-05-06,144.7421256
2020-05-07,149.2887533
2020-05-08,149.2887533
2020-05-11,142.1172684
2020-05-12,141.1798194
2020-05-13,138.7893245
2020-05-14,135.8363601
2020-05-15,141.6954164
2020-05-18,149.569988
2020-05-19,153.0385493
2020-05-20,151.0230339
2020-05-21,144.6015083
2020-05-22,136.0707224
2020-05-25,136.0707224
2020-05-26,145.7733195
2020-05-27,153.6478911
2020-05-28,153.7885085
2020-05-29,136.6800642
2020-06-01,139.9142633
2020-06-02,149.054391
2020-06-03,161.7099525
2020-06-04,164.1941924
2020-06-05,177.8340753
2020-06-08,171.4125497
2020-06-09,171.131315
2020-06-10,169.3032894
2020-06-11,156.3196208
2020-06-12,157.2101973
2020-06-15,155.194682
2020-06-16,160.1162892
2020-06-17,155.8040238
2020-06-18,156.0383861
2020-06-19,159.6006923
2020-06-22,155.0071922
2020-06-23,156.8820902
2020-06-24,147.6482175
2020-06-25,153.741636
2020-06-26,146.9451308
2020-06-29,152.382335
2020-06-30,151.3980135
2020-07-01,146.8982583
2020-07-02,150.3199472
2020-07-03,148.8200288
2020-07-06,157.8195392
2020-07-07,155.7102789
2020-07-08,155.6634065
2020-07-09,154.3978503
2020-07-10,160.819376
2020-07-13,164.2410648
2020-07-14,157.6789218
2020-07-15,163.4442332
2020-07-16,165.3660036
2020-07-17,163.5379781
2020-07-20,160.303779
2020-07-21,159.6944372
2020-07-22,157.1164524
2020-07-23,154.9134473
2020-07-24,152.9916768
2020-07-27,149.5231155
2020-07-28,150.929289
2020-07-29,153.1322942
2020-07-30,145.4920848
2020-07-31,141.0860745
2020-08-03,141.4141817
2020-08-04,142.3516307
2020-08-05,140.7110949
2020-08-06,138.742452
2020-08-07,134.8520387
2020-08-10,136.1175948
2020-08-11,143.0547174
