Dates,Settle
2020-02-05,2.4495
2020-02-06,2.4715
2020-02-07,2.476
2020-02-10,2.459
2020-02-11,2.4825
2020-02-12,2.5075
2020-02-13,2.51
2020-02-14,2.5075
2020-02-17,2.54
2020-02-18,2.6
2020-02-19,2.6035
2020-02-20,2.55
2020-02-21,2.5215
2020-02-24,2.3765
2020-02-25,2.33
2020-02-26,2.381
2020-02-27,2.2885
2020-02-28,2.1985
2020-03-02,2.1365
2020-03-03,2.119
2020-03-04,2.1275
2020-03-05,2.0465
2020-03-06,1.9772
2020-03-09,1.75
2020-03-10,1.7088
2020-03-11,1.7792
2020-03-12,1.4628
2020-03-13,1.5544
2020-03-16,1.4028
2020-03-17,1.4514
2020-03-18,1.4086
2020-03-19,1.4252
2020-03-20,1.4654
2020-03-23,1.4488
2020-03-24,1.5836
2020-03-25,1.6162
2020-03-26,1.631
2020-03-27,1.5666
2020-03-30,1.4708
2020-03-31,1.4884
2020-04-01,1.4348
2020-04-02,1.4378
2020-04-03,1.3292
2020-04-06,1.4582
2020-04-07,1.469
2020-04-08,1.4492
2020-04-09,1.445
2020-04-14,1.4062
2020-04-15,1.3484
2020-04-16,1.3602
2020-04-17,1.3762
2020-04-20,1.383
2020-04-21,1.32
2020-04-22,1.3382
2020-04-23,1.3844
2020-04-24,1.3438
2020-04-27,1.3952
2020-04-28,1.4472
2020-04-29,1.4804
2020-04-30,1.423
2020-05-04,1.376
2020-05-05,1.451
2020-05-06,1.4202
2020-05-07,1.4044
2020-05-08,1.414
2020-05-11,1.4094
2020-05-12,1.4208
2020-05-13,1.3936
2020-05-14,1.3836
2020-05-15,1.3838
2020-05-18,1.4522
2020-05-19,1.4308
2020-05-20,1.439
2020-05-21,1.422
2020-05-22,1.4446
2020-05-25,1.4576
2020-05-26,1.5012
2020-05-27,1.5384
2020-05-28,1.5586
2020-05-29,1.5524
2020-06-01,1.58
2020-06-02,1.625
2020-06-03,1.6732
2020-06-04,1.6938
2020-06-05,1.7728
2020-06-08,1.8034
2020-06-09,1.72
2020-06-10,1.7026
2020-06-11,1.6178
2020-06-12,1.622
2020-06-15,1.6266
2020-06-16,1.6992
2020-06-17,1.7038
2020-06-18,1.6858
2020-06-19,1.6848
2020-06-22,1.6824
2020-06-23,1.7114
2020-06-24,1.6668
2020-06-25,1.6848
2020-06-26,1.66
2020-06-29,1.702
2020-06-30,1.7036
2020-07-01,1.6906
2020-07-02,1.7528
2020-07-03,1.7468
2020-07-06,1.7922
2020-07-07,1.7866
2020-07-08,1.763
2020-07-09,1.7312
2020-07-10,1.7654
2020-07-13,1.7814
2020-07-14,1.781
2020-07-15,1.8144
2020-07-16,1.8394
2020-07-17,1.8318
2020-07-20,1.8544
2020-07-21,1.8848
2020-07-22,1.8762
2020-07-23,1.8492
2020-07-24,1.8154
2020-07-27,1.8014
2020-07-28,1.7862
2020-07-29,1.7894
2020-07-30,1.735
2020-07-31,1.7072
2020-08-03,1.7082
2020-08-04,1.7936
2020-08-05,1.8344
2020-08-06,1.8138
2020-08-07,1.8054
2020-08-10,1.814
2020-08-11,1.8612
2020-08-12,1.8828
2020-08-13,1.8656
2020-08-14,1.8516
2020-08-17,1.8244
2020-08-18,1.8148
2020-08-19,1.845
2020-08-20,1.8162
2020-08-21,1.8116
2020-08-24,1.8392
2020-08-25,1.834
2020-08-26,1.8426
2020-08-27,1.8038
2020-08-28,1.825
2020-08-31,1.8052
2020-09-01,1.8018
2020-09-02,1.7936
2020-09-03,1.7788
2020-09-04,1.7786
2020-09-07,1.7938
2020-09-08,1.762
2020-09-09,1.7902
2020-09-10,1.8012
2020-09-11,1.7792
2020-09-14,1.779
2020-09-15,1.7688
2020-09-16,1.7602
2020-09-17,1.7434
2020-09-18,1.7148
2020-09-21,1.6356
2020-09-22,1.6418
2020-09-23,1.6122
2020-09-24,1.608
2020-09-25,1.579
2020-09-28,1.6246
2020-09-29,1.6068
2020-09-30,1.603
2020-10-01,1.5864
2020-10-02,1.5924
2020-10-05,1.6332
2020-10-06,1.6684
2020-10-07,1.6488
2020-10-08,1.6754
2020-10-09,1.679
2020-10-12,1.6706
2020-10-13,1.6332
2020-10-14,1.6174
2020-10-15,1.5376
2020-10-16,1.5558
2020-10-19,1.5598
2020-10-20,1.58
2020-10-21,1.5358
2020-10-22,1.5368
2020-10-23,1.5612
2020-10-26,1.527
2020-10-27,1.4906
2020-10-28,1.418
2020-10-29,1.3992
2020-10-30,1.4196
2020-11-02,1.4824
2020-11-03,1.5406
2020-11-04,1.5978
2020-11-05,1.6372
2020-11-06,1.6168
2020-11-09,1.7658
2020-11-10,1.8442
2020-11-11,1.8248
2020-11-12,1.802
2020-11-13,1.8178
2020-11-16,1.84
2020-11-17,1.8492
2020-11-18,1.8734
2020-11-19,1.8542
2020-11-20,1.8704
2020-11-23,1.8634
2020-11-24,1.916
2020-11-25,1.9422
2020-11-26,1.9292
2020-11-27,1.9446
2020-11-30,1.9254
2020-12-01,1.977
2020-12-02,1.971
2020-12-03,1.9862
2020-12-04,1.9906
2020-12-07,1.9712
2020-12-08,1.969
2020-12-09,1.976
2020-12-10,1.9608
2020-12-11,1.9358
2020-12-14,1.9392
2020-12-15,1.975
2020-12-16,1.943
2020-12-17,1.9444
2020-12-18,1.9352
2020-12-21,1.8676
2020-12-22,1.8812
2020-12-23,1.913
2020-12-24,1.913
