Dates,Settle
2020-02-05,265.1
2020-02-06,269.2
2020-02-07,269.2
2020-02-10,271.3
2020-02-11,274.3
2020-02-12,276.2
2020-02-13,272.7
2020-02-14,272.0
2020-02-17,276.0
2020-02-18,279.6
2020-02-19,280.3
2020-02-20,284.0
2020-02-21,279.6
2020-02-24,271.5
2020-02-25,263.6
2020-02-26,250.0
2020-02-27,235.7
2020-02-28,231.9
2020-03-02,233.7
2020-03-03,231.7
2020-03-04,225.4
2020-03-05,222.0
2020-03-06,217.3
2020-03-09,205.6
2020-03-10,203.1
2020-03-11,205.7
2020-03-12,190.1
2020-03-13,185.0
2020-03-16,172.4
2020-03-17,174.3
2020-03-18,169.65
2020-03-19,169.2
2020-03-20,168.0
2020-03-23,152.7
2020-03-24,157.5
2020-03-25,164.65
2020-03-26,165.3
2020-03-27,165.75
2020-03-30,164.35
2020-03-31,169.4
2020-04-01,160.1
2020-04-02,158.25
2020-04-03,157.2
2020-04-06,157.45
2020-04-07,157.85
2020-04-08,153.9
2020-04-09,153.9
2020-04-14,154.15
2020-04-15,154.35
2020-04-16,152.85
2020-04-17,157.2
2020-04-20,161.7
2020-04-21,157.1
2020-04-22,161.25
2020-04-23,167.15
2020-04-24,162.3
2020-04-27,167.2
2020-04-28,173.25
2020-04-29,184.0
2020-04-30,184.0
2020-05-04,172.45
2020-05-05,169.5
2020-05-06,176.3
2020-05-07,179.0
2020-05-08,179.0
2020-05-11,178.25
2020-05-12,179.35
2020-05-13,176.05
2020-05-14,172.3
2020-05-15,175.4
2020-05-18,176.5
2020-05-19,174.5
2020-05-20,175.75
2020-05-21,175.75
2020-05-22,175.75
2020-05-25,174.55
2020-05-26,185.6
2020-05-27,188.65
2020-05-28,189.3
2020-05-29,185.4
2020-06-01,185.4
2020-06-02,188.15
2020-06-03,196.9
2020-06-04,200.4
2020-06-05,200.4
2020-06-08,210.8
2020-06-09,209.5
2020-06-10,207.6
2020-06-11,202.1
2020-06-12,200.2
2020-06-15,199.25
2020-06-16,204.4
2020-06-17,209.2
2020-06-18,202.1
2020-06-19,198.5
2020-06-22,195.4
2020-06-23,199.1
2020-06-24,197.85
2020-06-25,194.1
2020-06-26,189.85
2020-06-29,196.3
2020-06-30,194.5
2020-07-01,195.2
2020-07-02,197.85
2020-07-03,198.75
2020-07-06,202.2
2020-07-07,201.6
2020-07-08,200.3
2020-07-09,197.9
2020-07-10,199.05
2020-07-13,211.4
2020-07-14,216.5
2020-07-15,216.0
2020-07-16,215.6
2020-07-17,217.2
2020-07-20,218.2
2020-07-21,218.8
2020-07-22,215.6
2020-07-23,216.3
2020-07-24,214.5
2020-07-27,209.7
2020-07-28,208.1
2020-07-29,206.9
2020-07-30,203.8
2020-07-31,201.8
2020-08-03,202.7
2020-08-04,205.7
2020-08-05,206.8
2020-08-06,205.2
2020-08-07,203.4
2020-08-10,206.0
2020-08-11,212.9
2020-08-12,214.5
2020-08-13,216.8
2020-08-14,212.6
2020-08-17,215.3
2020-08-18,206.0
2020-08-19,200.4
2020-08-20,189.9
2020-08-21,190.75
2020-08-24,192.75
2020-08-25,191.25
