Dates,Settle
2020-02-05,70.08
2020-02-06,71.3
2020-02-07,70.96
2020-02-10,69.68
2020-02-11,70.66
2020-02-12,72.1
2020-02-13,73.16
2020-02-14,72.46
2020-02-17,73.32
2020-02-18,72.04
2020-02-19,71.1
2020-02-20,70.14
2020-02-21,69.68
2020-02-24,66.88
2020-02-25,65.1
2020-02-26,65.36
2020-02-27,62.44
2020-02-28,60.02
2020-03-02,59.98
2020-03-03,60.88
2020-03-04,61
2020-03-05,61
2020-03-06,58.62
2020-03-09,53.98
2020-03-10,55.08
2020-03-11,55.64
2020-03-12,44.99
2020-03-13,45.56
2020-03-16,38.2
2020-03-17,37.99
2020-03-18,40.7
2020-03-19,42.9
2020-03-20,47.27
2020-03-23,44.94
2020-03-24,47.61
2020-03-25,46.75
2020-03-26,48.51
2020-03-27,44.5
2020-03-30,40.37
2020-03-31,42.02
2020-04-01,41.78
2020-04-02,44.16
2020-04-03,41.52
2020-04-06,45.03
2020-04-07,47.07
2020-04-08,48.27
2020-04-09,48.54
2020-04-14,46.64
2020-04-15,43.01
2020-04-16,43.74
2020-04-17,44.78
2020-04-20,44.15
2020-04-21,42.37
2020-04-22,45
2020-04-23,46.62
2020-04-24,44.5
2020-04-27,47.51
2020-04-28,50.94
2020-04-29,53.52
2020-04-30,49.28
2020-05-04,46.8
2020-05-05,47.72
2020-05-06,47.7
2020-05-07,48.9
2020-05-08,48.81
2020-05-11,47.72
2020-05-12,46.38
2020-05-13,44.3
2020-05-14,40.8
2020-05-15,41.89
2020-05-18,42.93
2020-05-19,42.55
2020-05-20,45.44
2020-05-21,43.22
2020-05-22,43.7
2020-05-25,43.96
2020-05-26,49.54
2020-05-27,51.48
2020-05-28,50.1
2020-05-29,47.07
2020-06-01,48.48
2020-06-02,49.11
2020-06-03,52.02
2020-06-04,51.86
2020-06-05,53.14
2020-06-08,54.1
2020-06-09,53.6
2020-06-10,52.08
2020-06-11,49.06
2020-06-12,49.07
2020-06-15,49.25
2020-06-16,51.24
2020-06-17,51.14
2020-06-18,51.1
2020-06-19,51.12
2020-06-22,51.42
2020-06-23,52.24
2020-06-24,49.76
2020-06-25,51.88
2020-06-26,50.52
2020-06-29,51.3
2020-06-30,51.06
2020-07-01,50.48
2020-07-02,52
2020-07-03,51.34
2020-07-06,53.04
2020-07-07,52.12
2020-07-08,52.18
2020-07-09,50.74
2020-07-10,52.14
2020-07-13,52.12
2020-07-14,52.16
2020-07-15,52.8
2020-07-16,53
2020-07-17,51.92
2020-07-20,53.5
2020-07-21,55.06
2020-07-22,53.9
2020-07-23,52.74
2020-07-24,52.52
2020-07-27,51.76
2020-07-28,52.14
2020-07-29,50.24
2020-07-30,48.3
2020-07-31,48.32
2020-08-03,49.33
2020-08-04,49.48
2020-08-05,50.76
2020-08-06,49.4
2020-08-07,50.1
2020-08-10,49.8
2020-08-11,50.28
2020-08-12,50.96
2020-08-13,50.16
2020-08-14,50.44
2020-08-17,49.8
2020-08-18,48.2
2020-08-19,49.28
2020-08-20,47.97
2020-08-21,47.18
2020-08-24,48.26
2020-08-25,47.8
2020-08-26,47.6
2020-08-27,47.91
2020-08-28,49.54
2020-08-31,48.1
2020-09-01,47.93
2020-09-02,47.67
2020-09-03,47.12
2020-09-04,47.71
2020-09-07,48.64
2020-09-08,47.22
2020-09-09,47.43
2020-09-10,47.98
2020-09-11,48.13
2020-09-14,48.32
2020-09-15,47.63
2020-09-16,47.82
2020-09-17,47.22
2020-09-18,46.52
2020-09-21,43.97
2020-09-22,42.91
2020-09-23,42.44
2020-09-24,42.26
2020-09-25,41.86
2020-09-28,43.77
2020-09-29,42.96
2020-09-30,42.79
2020-10-01,42.6
2020-10-02,42.73
2020-10-05,43.21
2020-10-06,45.2
2020-10-07,44.09
2020-10-08,45.31
2020-10-09,45.63
2020-10-12,44.5
2020-10-13,43.86
2020-10-14,44.19
2020-10-15,44
2020-10-16,44.36
2020-10-19,44.7
2020-10-20,44.58
2020-10-21,44.28
2020-10-22,44.65
2020-10-23,45.68
2020-10-26,45.08
2020-10-27,43
2020-10-28,41.89
2020-10-29,41.9
2020-10-30,42.33
2020-11-02,42.74
2020-11-03,44.02
2020-11-04,43.7
2020-11-05,44.1
2020-11-06,43.8
2020-11-09,49.96
2020-11-10,54
2020-11-11,54.14
2020-11-12,53.64
2020-11-13,55.78
2020-11-16,56.32
2020-11-17,56.8
2020-11-18,58.2
2020-11-19,56.76
2020-11-20,57.44
2020-11-23,58.3
2020-11-24,60.62
2020-11-25,61.54
2020-11-26,59.08
