Dates,Settle
2020-02-05,57.14
2020-02-06,56.95
2020-02-07,56.92
2020-02-10,56.88
2020-02-11,56.73
2020-02-12,57.44
2020-02-13,58.03
2020-02-14,56.61
2020-02-17,56.87
2020-02-18,55.88
2020-02-19,55.78
2020-02-20,56.55
2020-02-21,55.35
2020-02-24,53.11
2020-02-25,52.01
2020-02-26,51.91
2020-02-27,50.35
2020-02-28,50.2
2020-03-02,49.54
2020-03-03,48.675
2020-03-04,48.365
2020-03-05,47.0
2020-03-06,45.68
2020-03-09,41.235
2020-03-10,42.535
2020-03-11,42.12
2020-03-12,36.995
2020-03-13,37.89
2020-03-16,35.11
2020-03-17,35.32
2020-03-18,33.635
2020-03-19,32.375
2020-03-20,32.1
2020-03-23,30.57
2020-03-24,33.645
2020-03-25,36.73
2020-03-26,37.56
2020-03-27,34.395
2020-03-30,33.5
2020-03-31,32.0
2020-04-01,28.27
2020-04-02,28.905
2020-04-03,27.725
2020-04-06,29.94
2020-04-07,31.22
2020-04-08,31.86
2020-04-09,33.39
2020-04-14,31.785
2020-04-15,29.745
2020-04-16,29.435
2020-04-17,30.45
2020-04-20,30.12
2020-04-21,29.22
2020-04-22,29.915
2020-04-23,30.425
2020-04-24,29.735
2020-04-27,30.535
2020-04-28,33.245
2020-04-29,34.76
2020-04-30,32.24
2020-05-04,30.6
2020-05-05,30.58
2020-05-06,30.17
2020-05-07,31.285
2020-05-08,31.285
2020-05-11,30.415
2020-05-12,29.885
2020-05-13,29.01
2020-05-14,28.615
2020-05-15,28.505
2020-05-18,29.685
2020-05-19,29.585
2020-05-20,29.865
2020-05-21,28.39
2020-05-22,28.12
2020-05-25,28.12
2020-05-26,30.075
2020-05-27,31.815
2020-05-28,31.38
2020-05-29,29.87
2020-06-01,30.86
2020-06-02,31.93
2020-06-03,33.76
2020-06-04,33.885
2020-06-05,35.545
2020-06-08,36.88
2020-06-09,35.225
2020-06-10,35.02
2020-06-11,32.045
2020-06-12,31.93
2020-06-15,31.53
2020-06-16,33.15
2020-06-17,32.575
2020-06-18,32.43
2020-06-19,32.235
2020-06-22,31.645
2020-06-23,32.745
2020-06-24,31.61
2020-06-25,31.62
2020-06-26,31.085
2020-06-29,31.255
2020-06-30,31.175
2020-07-01,30.7
2020-07-02,31.85
2020-07-03,31.025
2020-07-06,31.205
2020-07-07,30.74
2020-07-08,30.72
2020-07-09,29.735
