Dates,Settle
2020-02-05,7.432
2020-02-06,7.92
2020-02-07,8.028
2020-02-10,8.041
2020-02-11,8.101
2020-02-12,8.154
2020-02-13,8.128
2020-02-14,8.135
2020-02-17,8.152
2020-02-18,8.016
2020-02-19,8.104
2020-02-20,8.135
2020-02-21,8.109
2020-02-24,7.873
2020-02-25,7.684
2020-02-26,7.622
2020-02-27,7.321
2020-02-28,7.1
2020-03-02,7.184
2020-03-03,7.2
2020-03-04,7.179
2020-03-05,7.136
2020-03-06,6.845
2020-03-09,6.1
2020-03-10,6.009
2020-03-11,5.93
2020-03-12,5.104
2020-03-13,5.014
2020-03-16,4.6345
2020-03-17,4.71
2020-03-18,4.6385
2020-03-19,4.9185
2020-03-20,4.913
2020-03-23,4.55
2020-03-24,4.85
2020-03-25,5.109
2020-03-26,5.166
2020-03-27,5.049
2020-03-30,4.918
2020-03-31,5.133
2020-04-01,4.972
2020-04-02,4.9045
2020-04-03,4.88
2020-04-06,5.004
2020-04-07,5.276
2020-04-08,5.179
2020-04-09,5.203
2020-04-14,5.316
2020-04-15,5.003
2020-04-16,4.831
2020-04-17,5.096
2020-04-20,5.093
2020-04-21,4.847
2020-04-22,5.017
2020-04-23,5.206
2020-04-24,5.081
2020-04-27,5.16
2020-04-28,5.502
2020-04-29,5.99
2020-04-30,5.847
2020-05-04,5.458
2020-05-05,5.622
2020-05-06,5.504
2020-05-07,5.608
2020-05-08,5.623
2020-05-11,5.531
2020-05-12,5.595
2020-05-13,5.327
2020-05-14,5.21
2020-05-15,5.196
2020-05-18,5.531
2020-05-19,5.526
2020-05-20,5.624
2020-05-21,5.624
2020-05-22,5.516
2020-05-25,5.588
2020-05-26,5.88
2020-05-27,6.136
2020-05-28,6.212
2020-05-29,6.081
2020-06-01,6.218
2020-06-02,6.418
2020-06-03,6.692
2020-06-04,6.702
2020-06-05,6.825
2020-06-08,6.956
2020-06-09,6.842
2020-06-10,6.812
2020-06-11,6.412
2020-06-12,6.442
2020-06-15,6.322
2020-06-16,6.491
2020-06-17,6.423
2020-06-18,6.321
2020-06-19,6.321
2020-06-22,6.234
2020-06-23,6.416
2020-06-24,6.184
2020-06-25,6.269
2020-06-26,6.085
2020-06-29,6.221
2020-06-30,6.148
2020-07-01,6.167
2020-07-02,6.279
2020-07-03,6.21
2020-07-06,6.413
2020-07-07,6.403
2020-07-08,6.35
2020-07-09,6.226
2020-07-10,6.325
2020-07-13,6.508
2020-07-14,6.6
2020-07-15,6.61
2020-07-16,6.648
2020-07-17,6.727
2020-07-20,6.79
2020-07-21,6.941
2020-07-22,7.001
2020-07-23,6.961
2020-07-24,6.896
2020-07-27,6.798
2020-07-28,6.801
2020-07-29,6.843
2020-07-30,6.614
2020-07-31,6.566
2020-08-03,6.694
2020-08-04,6.707
2020-08-05,6.686
2020-08-06,6.69
2020-08-07,6.614
2020-08-10,6.76
2020-08-11,6.92
2020-08-12,6.912
2020-08-13,6.852
2020-08-14,6.773
2020-08-17,6.745
2020-08-18,6.68
2020-08-19,6.752
2020-08-20,6.6
2020-08-21,6.599
2020-08-24,6.711
2020-08-25,6.746
2020-08-26,6.836
2020-08-27,6.771
2020-08-28,6.898
2020-08-31,6.751
2020-09-01,6.716
2020-09-02,6.695
2020-09-03,6.686
2020-09-04,6.684
2020-09-07,6.803
2020-09-08,6.67
2020-09-09,6.775
2020-09-10,6.769
2020-09-11,6.637
2020-09-14,6.712
2020-09-15,6.644
2020-09-16,6.786
2020-09-17,6.696
2020-09-18,6.577
2020-09-21,6.285
2020-09-22,6.346
2020-09-23,6.33
2020-09-24,6.269
2020-09-25,6.254
2020-09-28,6.46
2020-09-29,6.416
2020-09-30,6.487
2020-10-01,6.593
2020-10-02,6.591
2020-10-05,6.747
2020-10-06,6.848
2020-10-07,6.79
2020-10-08,6.873
2020-10-09,6.856
2020-10-12,6.879
2020-10-13,6.745
2020-10-14,6.785
2020-10-15,6.656
2020-10-16,6.701
2020-10-19,6.727
2020-10-20,6.714
2020-10-21,6.599
2020-10-22,6.571
2020-10-23,6.801
2020-10-26,6.725
2020-10-27,6.628
2020-10-28,6.345
2020-10-29,6.331
2020-10-30,6.46
2020-11-02,6.644
2020-11-03,6.901
2020-11-04,6.957
2020-11-05,6.954
2020-11-06,6.924
2020-11-09,7.457
2020-11-10,7.587
2020-11-11,7.186
2020-11-12,6.99
2020-11-13,7.05
2020-11-16,7.086
2020-11-17,7.181
2020-11-18,7.258
2020-11-19,7.2
2020-11-20,7.204
2020-11-23,7.165
2020-11-24,7.351
2020-11-25,7.38
2020-11-26,7.31
2020-11-27,7.337
2020-11-30,7.151
2020-12-01,7.271
2020-12-02,7.266
2020-12-03,7.235
2020-12-04,7.215
2020-12-07,7.228
2020-12-08,7.134
2020-12-09,7.219
2020-12-10,7.192
2020-12-11,7.094
2020-12-14,7.165
2020-12-15,7.137
2020-12-16,6.958
2020-12-17,6.87
2020-12-18,6.765
2020-12-21,6.544
2020-12-22,6.551
2020-12-23,6.657
2020-12-24,6.657
2020-12-28,6.712
2020-12-29,6.728
2020-12-30,6.672
2020-12-31,6.672
2021-01-04,6.632
2021-01-05,6.6
2021-01-06,6.6
2021-01-07,6.917
2021-01-08,6.793
2021-01-11,6.79
2021-01-12,6.997
2021-01-13,6.946
2021-01-14,7.056
2021-01-15,6.981
2021-01-18,7.019
2021-01-19,7.014
2021-01-20,7.039
2021-01-21,7.098
2021-01-22,7.028
2021-01-25,6.87
2021-01-26,6.906
2021-01-27,6.826
2021-01-28,6.78
2021-01-29,6.709
2021-02-01,6.694
2021-02-02,6.721
2021-02-03,6.795
2021-02-04,7.05
2021-02-05,7.036
2021-02-08,7.097
2021-02-09,7.009
2021-02-10,7.094
2021-02-11,7.054
2021-02-12,7.114
2021-02-15,7.26
2021-02-16,7.501
2021-02-17,7.473
2021-02-18,7.472
2021-02-19,7.49
2021-02-22,7.521
2021-02-23,7.551
2021-02-24,7.575
2021-02-25,7.702
2021-02-26,7.508
2021-03-01,7.637
2021-03-02,7.791
2021-03-03,7.894
2021-03-04,7.93
2021-03-05,7.96
2021-03-08,8.176
2021-03-09,8.194
2021-03-10,8.212
2021-03-11,8.187
2021-03-12,8.241
2021-03-15,8.167
2021-03-16,8.199
2021-03-17,8.177
2021-03-18,8.267
2021-03-19,8.235
2021-03-22,8.26
2021-03-23,8.248
2021-03-24,8.415
2021-03-25,8.32
2021-03-26,8.37
2021-03-29,8.322
2021-03-30,8.484
2021-03-31,8.411
2021-04-01,8.467
2021-04-06,8.492
2021-04-07,8.57
2021-04-08,8.512
2021-04-09,8.596
2021-04-12,8.54
2021-04-13,8.583
2021-04-14,8.643
2021-04-15,8.543
2021-04-16,8.7
2021-04-19,8.642
2021-04-20,8.359
2021-04-21,8.384
2021-04-22,8.357
2021-04-23,8.379
2021-04-26,8.444
2021-04-27,8.487
2021-04-28,8.434
2021-04-29,8.723
2021-04-30,8.614
2021-05-03,8.63
2021-05-04,8.437
2021-05-05,8.564
2021-05-06,8.507
2021-05-07,8.503
2021-05-10,8.533
2021-05-11,8.445
2021-05-12,8.529
2021-05-13,8.529
2021-05-14,8.717
2021-05-17,8.597
2021-05-18,8.638
2021-05-19,8.498
2021-05-20,8.551
2021-05-21,8.741
2021-05-24,8.737
2021-05-25,8.783
2021-05-26,8.75
2021-05-27,8.787
2021-05-28,8.888
2021-05-31,8.749
2021-06-01,8.98
2021-06-02,9.063
2021-06-03,9.163
2021-06-04,9.159
2021-06-07,9.113
2021-06-08,9.111
2021-06-09,9.104
2021-06-10,9.273
2021-06-11,9.307
2021-06-14,9.363
2021-06-15,9.412
2021-06-16,9.372
2021-06-17,9.35
2021-06-18,9.239
2021-06-21,9.35
2021-06-22,9.278
2021-06-23,9.379
2021-06-24,9.476
2021-06-25,9.476
2021-06-28,9.375
2021-06-29,9.441
2021-06-30,9.398
2021-07-01,9.454
2021-07-02,9.445
2021-07-05,9.524
2021-07-06,9.381
2021-07-07,9.492
2021-07-08,9.246
2021-07-09,9.379
2021-07-12,9.45
2021-07-13,9.399
2021-07-14,9.479
2021-07-15,9.525
2021-07-16,9.535
2021-07-19,9.215
2021-07-20,9.303
2021-07-21,9.651
2021-07-22,9.672
2021-07-23,9.783
2021-07-26,9.999
2021-07-27,9.958
2021-07-28,9.959
2021-07-29,9.99
2021-07-30,9.9
2021-08-02,9.921
2021-08-03,10.02
2021-08-04,10.092
2021-08-05,10.146
2021-08-06,10.184
2021-08-09,10.202
2021-08-10,10.226
2021-08-11,10.274
2021-08-12,10.21
2021-08-13,10.238
2021-08-16,10.092
2021-08-17,10.024
2021-08-18,10.046
2021-08-19,9.78
2021-08-20,9.942
2021-08-23,10.012
2021-08-24,10.064
2021-08-25,10.048
2021-08-26,10.032
2021-08-27,10.096
2021-08-30,10.098
2021-08-31,9.937
2021-09-01,10.06
2021-09-02,10.466
2021-09-03,10.422
2021-09-06,10.552
2021-09-07,10.414
2021-09-08,10.254
2021-09-09,10.352
2021-09-10,10.308
2021-09-13,10.484
2021-09-14,10.408
2021-09-15,10.452
2021-09-16,10.756
2021-09-17,11.062
2021-09-20,10.728
2021-09-21,10.46
2021-09-22,10.726
2021-09-23,10.956
2021-09-24,10.872
2021-09-27,11.078
2021-09-28,10.878
2021-09-29,11.148
2021-09-30,11.242
2021-10-01,11.12
2021-10-04,10.4
2021-10-05,10.624
2021-10-06,10.386
2021-10-07,10.476
2021-10-08,10.45
2021-10-11,10.424
2021-10-12,10.472
2021-10-13,10.418
2021-10-14,10.67
2021-10-15,10.78
2021-10-18,10.896
2021-10-19,10.906
2021-10-20,10.958
2021-10-21,10.876
2021-10-22,11.07
2021-10-25,11.15
2021-10-26,10.726
2021-10-27,10.772
2021-10-28,10.502
2021-10-29,10.574
2021-11-01,10.636
2021-11-02,10.674
2021-11-03,10.868
2021-11-04,10.822
2021-11-05,10.834
2021-11-08,10.948
2021-11-09,10.868
2021-11-10,10.956
2021-11-11,11.076
2021-11-12,11.0
2021-11-15,11.166
2021-11-16,11.08
2021-11-17,11.036
2021-11-18,10.862
2021-11-19,10.788
2021-11-22,10.882
2021-11-23,10.758
2021-11-24,10.81
2021-11-25,10.892
2021-11-26,10.24
2021-11-29,10.458
2021-11-30,10.472
2021-12-01,10.626
2021-12-02,10.63
2021-12-03,10.37
2021-12-06,10.37
2021-12-07,10.702
2021-12-08,10.642
2021-12-09,10.49
2021-12-10,10.466
2021-12-13,10.36
2021-12-14,10.386
2021-12-15,10.328
2021-12-16,10.388
2021-12-17,10.288
2021-12-20,10.208
2021-12-21,10.29
2021-12-22,10.296
2021-12-23,10.496
2021-12-24,10.496
2021-12-27,10.658
2021-12-28,10.806
2021-12-29,10.8
2021-12-30,10.786
2021-12-31,10.786
2022-01-03,10.894
2022-01-04,11.096
2022-01-05,11.032
2022-01-06,11.032
2022-01-07,11.01
2022-01-10,10.94
2022-01-11,11.0
2022-01-12,11.27
2022-01-13,11.446
2022-01-14,11.18
2022-01-17,11.182
2022-01-18,10.776
2022-01-19,10.586
2022-01-20,10.536
2022-01-21,10.216
2022-01-24,9.84
2022-01-25,10.156
2022-01-26,10.446
2022-01-27,10.51
2022-01-28,10.408
2022-01-31,10.502
2022-02-01,10.79
2022-02-02,10.724
2022-02-03,10.508
2022-02-04,10.4
2022-02-07,10.558
2022-02-08,10.74
2022-02-09,10.83
2022-02-10,10.594
2022-02-11,10.602
2022-02-14,10.326
2022-02-15,10.342
2022-02-16,10.34
2022-02-17,10.166
2022-02-18,10.276
2022-02-21,10.194
2022-02-22,10.2
2022-02-23,10.18
2022-02-24,9.775
2022-02-25,10.044
2022-02-28,9.948
2022-03-01,9.612
2022-03-02,9.453
2022-03-03,9.307
2022-03-04,8.559
2022-03-07,8.461
2022-03-08,8.49
2022-03-09,9.084
2022-03-10,9.095
2022-03-11,9.414
2022-03-14,9.808
2022-03-15,9.953
2022-03-16,10.212
2022-03-17,10.06
2022-03-18,10.186
2022-03-21,10.22
2022-03-22,10.334
2022-03-23,9.995
2022-03-24,10.0
2022-03-25,9.437
2022-03-28,9.41
2022-03-29,9.709
2022-03-30,9.623
2022-03-31,9.38
2022-04-01,9.591
2022-04-04,9.593
2022-04-05,9.618
2022-04-06,9.46
2022-04-07,9.412
2022-04-08,9.61
2022-04-11,9.567
2022-04-12,9.5
2022-04-13,9.446
2022-04-14,9.5
2022-04-19,9.63
2022-04-20,9.668
2022-04-21,9.929
2022-04-22,9.77
2022-04-25,9.511
2022-04-26,9.566
2022-04-27,9.792
2022-04-28,9.371
2022-04-29,9.58
2022-05-02,9.368
2022-05-03,9.567
2022-05-04,9.534
2022-05-05,9.384
2022-05-06,9.2
2022-05-09,8.755
2022-05-10,8.743
2022-05-11,9.036
2022-05-12,9.208
2022-05-13,9.411
2022-05-16,9.383
2022-05-17,9.358
2022-05-18,9.292
2022-05-19,9.328
2022-05-20,9.318
2022-05-23,9.515
2022-05-24,9.503
2022-05-25,9.743
2022-05-26,9.743
2022-05-27,9.85
2022-05-30,9.83
2022-05-31,9.473
2022-06-01,9.43
2022-06-02,9.387
2022-06-03,9.365
2022-06-06,9.529
2022-06-07,9.423
2022-06-08,9.353
2022-06-09,9.386
2022-06-10,9.147
2022-06-13,8.983
2022-06-14,9.232
2022-06-15,9.206
2022-06-16,8.735
2022-06-17,8.788
2022-06-20,9.004
2022-06-21,9.081
2022-06-22,9.032
2022-06-23,8.714
2022-06-24,8.714
2022-06-27,8.787
2022-06-28,8.769
2022-06-29,8.592
2022-06-30,8.396
2022-07-01,8.465
2022-07-04,8.45
2022-07-05,8.186
2022-07-06,8.388
2022-07-07,8.57
2022-07-08,8.869
2022-07-11,8.671
2022-07-12,8.881
2022-07-13,8.693
2022-07-14,8.594
2022-07-15,8.535
2022-07-18,9.051
2022-07-19,9.349
2022-07-20,9.271
2022-07-21,9.437
2022-07-22,9.242
2022-07-25,9.324
2022-07-26,9.397
2022-07-27,9.407
2022-07-28,9.523
2022-07-29,9.614
2022-08-01,9.599
2022-08-02,9.542
2022-08-03,9.612
2022-08-04,9.637
2022-08-05,9.72
2022-08-08,9.755
2022-08-09,9.75
2022-08-10,9.793
2022-08-11,9.755
2022-08-12,9.799
2022-08-15,9.726
2022-08-16,9.894
2022-08-17,9.794
2022-08-18,9.666
2022-08-19,9.628
2022-08-22,9.408
2022-08-23,9.471
2022-08-24,9.468
2022-08-25,9.574
2022-08-26,9.485
2022-08-29,9.258
2022-08-30,9.237
2022-08-31,9.268
2022-09-01,9.003
2022-09-02,9.221
2022-09-05,9.225
2022-09-06,9.277
2022-09-07,9.227
2022-09-08,9.347
2022-09-09,9.569
2022-09-12,9.769
2022-09-13,9.628
2022-09-14,9.573
2022-09-15,9.634
2022-09-16,9.143
2022-09-19,9.105
2022-09-20,9.313
2022-09-21,9.463
2022-09-22,9.566
2022-09-23,9.265
2022-09-26,9.134
2022-09-27,9.133
2022-09-28,8.97
2022-09-29,8.664
2022-09-30,8.8
2022-10-03,8.82
2022-10-04,9.072
2022-10-05,8.877
2022-10-06,8.817
2022-10-07,8.775
2022-10-10,8.747
2022-10-11,8.735
2022-10-12,8.753
2022-10-13,8.818
2022-10-14,8.913
2022-10-17,9.097
2022-10-18,9.216
2022-10-19,9.465
2022-10-20,9.454
2022-10-21,9.498
2022-10-24,9.637
2022-10-25,9.821
2022-10-26,9.673
2022-10-27,9.7
2022-10-28,9.756
2022-10-31,9.676
2022-11-01,9.643
2022-11-02,9.672
2022-11-03,9.703
2022-11-04,9.759
2022-11-07,9.768
2022-11-08,9.888
2022-11-09,9.764
2022-11-10,9.822
2022-11-11,9.843
2022-11-14,9.743
2022-11-15,9.848
2022-11-16,9.9
2022-11-17,9.788
2022-11-18,9.879
2022-11-21,9.804
2022-11-22,9.823
2022-11-23,10.124
2022-11-24,10.116
2022-11-25,10.094
2022-11-28,9.979
2022-11-29,10.048
2022-11-30,10.012
2022-12-01,10.104
2022-12-02,10.062
2022-12-05,10.068
2022-12-06,10.068
2022-12-07,9.84
2022-12-08,9.83
2022-12-09,9.975
2022-12-12,9.859
2022-12-13,9.948
2022-12-14,10.0
2022-12-15,9.754
2022-12-16,9.728
2022-12-19,9.763
2022-12-20,9.878
2022-12-21,9.996
2022-12-22,10.068
2022-12-23,10.054
2022-12-27,10.116
2022-12-28,10.054
2022-12-29,10.088
2022-12-30,10.03
2023-01-02,10.19
2023-01-03,10.25
2023-01-04,10.448
2023-01-05,10.636
2023-01-06,10.636
2023-01-09,10.728
2023-01-10,10.706
2023-01-11,10.726
2023-01-12,10.66
2023-01-13,10.572
2023-01-16,10.604
2023-01-17,10.584
2023-01-18,10.652
2023-01-19,10.55
2023-01-20,10.66
2023-01-23,10.688
2023-01-24,10.728
2023-01-25,10.708
2023-01-26,10.74
2023-01-27,10.816
2023-01-30,10.816
2023-01-31,10.732
2023-02-01,10.856
2023-02-02,11.024
2023-02-03,11.012
2023-02-06,10.954
2023-02-07,11.028
2023-02-08,11.066
2023-02-09,11.15
2023-02-10,10.996
2023-02-13,11.248
