Dates,Settle
2020-02-05,238.646264
2020-02-06,241.9847271
2020-02-07,240.0462646
2020-02-10,238.5385716
2020-02-11,239.6154952
2020-02-12,245.5385749
2020-02-13,246.2924214
2020-02-14,229.4924136
2020-02-17,225.077027
2020-02-18,222.8154875
2020-02-19,221.8462562
2020-02-20,223.6770263
2020-02-21,219.8001014
2020-02-24,212.9616368
2020-02-25,210.1077893
2020-02-26,207.900096
2020-02-27,197.5077835
2020-02-28,192.3923965
2020-03-02,185.7693165
2020-03-03,183.5616232
2020-03-04,181.1923913
2020-03-05,173.1693107
2020-03-06,169.346232
2020-03-09,151.7385316
2020-03-10,152.7077628
2020-03-11,152.4923781
2020-03-12,135.3692932
2020-03-13,140.7539111
2020-03-16,136.1769859
2020-03-17,141.8846809
2020-03-18,137.5769866
2020-03-19,131.6539069
2020-03-20,122.5539027
2020-03-23,121.8000562
2020-03-24,129.5000598
2020-03-25,147.2692987
2020-03-26,142.6923736
2020-03-27,129.3923674
2020-03-30,126.4308276
2020-03-31,121.5846715
2020-04-01,115.2308224
2020-04-02,112.4846673
2020-04-03,109.5769737
2020-04-06,115.2846686
2020-04-07,124.438519
2020-04-08,124.1692881
2020-04-09,131.9231378
2020-04-14,123.7923648
2020-04-15,112.3231288
2020-04-16,111.7308208
2020-04-17,114.3692836
2020-04-20,114.1000527
2020-04-21,110.7077434
2020-04-22,112.7538982
2020-04-23,114.6385144
2020-04-24,112.6462058
2020-04-27,115.7692842
2020-04-28,123.9000572
2020-04-29,129.7154445
2020-04-30,119.0539011
2020-05-04,118.6231317
2020-05-05,121.423133
2020-05-06,116.5231307
2020-05-07,122.8769798
2020-05-08,122.8769798
2020-05-11,118.9462087
2020-05-12,118.5692855
2020-05-13,114.1538988
2020-05-14,113.29236
2020-05-15,112.4308211
2020-05-18,115.2308224
2020-05-19,114.8538992
2020-05-20,114.9615915
2020-05-21,111.1385128
2020-05-22,112.1615902
2020-05-25,112.1615902
2020-05-26,121.2077482
2020-05-27,129.3923674
2020-05-28,127.1308279
2020-05-29,118.8385164
2020-06-01,124.2231343
2020-06-02,129.8231368
2020-06-03,135.1539085
2020-06-04,136.4462168
2020-06-05,147.9154529
2020-06-08,151.1462236
2020-06-09,141.4539114
2020-06-10,138.6539101
2020-06-11,126.5385199
2020-06-12,127.8308282
2020-06-15,127.3462126
2020-06-16,134.1308311
2020-06-17,132.2462149
2020-06-18,131.9231378
2020-06-19,131.061599
2020-06-22,129.7692907
2020-06-23,133.0539076
2020-06-24,128.9077518
2020-06-25,129.4462136
2020-06-26,127.6154435
2020-06-29,130.5231372
2020-06-30,130.9539066
2020-07-01,128.6385209
2020-07-02,134.6154467
2020-07-03,131.2231375
2020-07-06,134.7231391
2020-07-07,131.1692913
2020-07-08,129.876983
2020-07-09,127.1308279
2020-07-10,130.8462142
2020-07-13,131.976984
2020-07-14,130.5769833
2020-07-15,130.8462142
2020-07-16,131.3308298
2020-07-17,129.876983
2020-07-20,128.6385209
2020-07-21,130.6846757
2020-07-22,130.2000601
2020-07-23,125.8923658
2020-07-24,123.846211
2020-07-27,120.6692865
2020-07-28,123.0923645
2020-07-29,120.0769785
2020-07-30,114.1000527
2020-07-31,114.1538988
2020-08-03,119.5923629
2020-08-04,121.1000559
2020-08-05,120.5615941
2020-08-06,120.5077479
2020-08-07,119.1077473
2020-08-10,122.8769798
2020-08-11,128.5308286
2020-08-12,128.5308286
2020-08-13,123.5769801
2020-08-14,124.6539037
2020-08-17,122.5539027
2020-08-18,120.6692865
2020-08-19,124.0077495
2020-08-20,120.1846709
2020-08-21,120.4539017
2020-08-24,122.0692871
2020-08-25,120.4539017
2020-08-26,122.5000565
2020-08-27,120.6692865
2020-08-28,121.4769791
2020-08-31,121.4769791
2020-09-01,114.9077453
2020-09-02,113.29236
2020-09-03,113.0769753
2020-09-04,116.0923613
2020-09-07,114.8538992
2020-09-08,112.3231288
2020-09-09,111.8385132
2020-09-10,111.8385132
2020-09-11,110.0077431
2020-09-14,110.6538972
2020-09-15,109.4154351
2020-09-16,111.0308205
2020-09-17,107.7462036
2020-09-18,104.3323558
2020-09-21,100.4985079
2020-09-22,103.8800479
2020-09-23,105.710818
2020-09-24,106.895434
2020-09-25,107.2831264
2020-09-28,115.5538995
2020-09-29,112.8077444
2020-09-30,114.207745
2020-10-01,115.7692842
2020-10-02,118.3000546
2020-10-05,119.4308244
2020-10-06,124.2769804
2020-10-07,122.8769798
2020-10-08,122.7692874
2020-10-09,122.338518
