Dates,Settle
2020-02-05,99.0
2020-02-06,100.75
2020-02-07,101.75
2020-02-10,100.85
2020-02-11,102.35
2020-02-12,103.65
2020-02-13,102.95
2020-02-14,101.05
2020-02-17,101.6
2020-02-18,101.6
2020-02-19,101.95
2020-02-20,102.35
2020-02-21,100.85
2020-02-24,96.56
2020-02-25,94.82
2020-02-26,95.38
2020-02-27,93.5
2020-02-28,88.04
2020-03-02,89.26
2020-03-03,94.78
2020-03-04,94.14
2020-03-05,92.9
2020-03-06,89.68
2020-03-09,82.3
2020-03-10,80.26
2020-03-11,75.24
2020-03-12,60.5
2020-03-13,63.68
2020-03-16,55.76
2020-03-17,55.94
2020-03-18,52.74
2020-03-19,53.0
2020-03-20,56.8
2020-03-23,53.1
2020-03-24,54.5
2020-03-25,55.2
2020-03-26,57.0
2020-03-27,55.32
2020-03-30,56.0
2020-03-31,56.14
2020-04-01,54.02
2020-04-02,54.02
2020-04-03,53.4
2020-04-06,57.02
2020-04-07,61.32
2020-04-08,55.5
2020-04-09,55.76
2020-04-14,56.58
2020-04-15,54.3
2020-04-16,53.78
2020-04-17,54.54
2020-04-20,54.94
2020-04-21,52.5
2020-04-22,51.3
2020-04-23,50.3
2020-04-24,49.31
2020-04-27,48.0
2020-04-28,48.92
2020-04-29,51.82
2020-04-30,51.98
2020-05-04,49.95
2020-05-05,50.0
2020-05-06,49.25
2020-05-07,49.8
2020-05-08,49.91
2020-05-11,48.55
2020-05-12,51.28
2020-05-13,50.9
2020-05-14,49.65
2020-05-15,50.02
2020-05-18,51.7
2020-05-19,51.66
2020-05-20,51.44
2020-05-21,51.8
2020-05-22,50.66
2020-05-25,51.5
2020-05-26,53.46
2020-05-27,55.42
2020-05-28,53.4
2020-05-29,52.56
2020-06-01,53.02
2020-06-02,52.4
2020-06-03,54.48
2020-06-04,55.0
2020-06-05,57.3
2020-06-08,60.0
2020-06-09,58.14
2020-06-10,56.8
2020-06-11,56.8
2020-06-12,54.06
2020-06-15,52.54
2020-06-16,56.1
2020-06-17,55.1
2020-06-18,55.22
2020-06-19,54.94
2020-06-22,53.84
2020-06-23,56.4
2020-06-24,54.6
2020-06-25,54.2
2020-06-26,52.82
2020-06-29,53.26
2020-06-30,53.84
2020-07-01,53.76
2020-07-02,55.6
2020-07-03,55.0
2020-07-06,56.12
2020-07-07,55.12
2020-07-08,54.5
2020-07-09,55.0
2020-07-10,55.7
2020-07-13,55.86
2020-07-14,55.0
2020-07-15,56.68
2020-07-16,56.3
2020-07-17,55.38
2020-07-20,55.9
2020-07-21,57.36
2020-07-22,55.8
2020-07-23,54.74
2020-07-24,54.88
2020-07-27,53.46
2020-07-28,53.46
2020-07-29,53.1
2020-07-30,50.92
2020-07-31,50.58
2020-08-03,50.88
2020-08-04,52.16
2020-08-05,53.3
2020-08-06,52.78
2020-08-07,53.08
