Dates,Settle
2020-02-05,35.66
2020-02-06,35.77
2020-02-07,35.95
2020-02-10,35.29
2020-02-11,35.17
2020-02-12,36.5
2020-02-13,35.86
2020-02-14,35.79
2020-02-17,35.55
2020-02-18,35.15
2020-02-19,35.13
2020-02-20,34.8
2020-02-21,34.41
2020-02-24,33
2020-02-25,32.05
2020-02-26,32.28
2020-02-27,31.96
2020-02-28,31.29
2020-03-02,32.35
2020-03-03,33.1
2020-03-04,32.56
2020-03-05,31.64
2020-03-06,30.62
2020-03-09,27.72
2020-03-10,27.92
2020-03-11,26.63
2020-03-12,23.18
2020-03-13,23.5
2020-03-16,21.5
2020-03-17,22.1
2020-03-18,21
2020-03-19,21.89
2020-03-20,23.06
2020-03-23,21.45
2020-03-24,22.31
2020-03-25,21.84
2020-03-26,23.46
2020-03-27,22.75
2020-03-30,22.51
2020-03-31,22.62
2020-04-01,22.2
2020-04-02,21.83
2020-04-03,21.85
2020-04-06,22.68
2020-04-07,23.41
2020-04-08,21.91
2020-04-09,22.68
2020-04-14,23.2
2020-04-15,22.14
2020-04-16,22.04
2020-04-17,21.93
2020-04-20,22.13
2020-04-21,21.07
2020-04-22,21.22
2020-04-23,21.26
2020-04-24,20.82
2020-04-27,20.1
2020-04-28,20.24
2020-04-29,21.94
2020-04-30,22.01
2020-05-04,21.58
2020-05-05,21.01
2020-05-06,20.6
2020-05-07,21
2020-05-08,21.06
2020-05-11,20.65
2020-05-12,21.42
2020-05-13,21.3
2020-05-14,20.75
2020-05-15,20.67
2020-05-18,21.55
2020-05-19,21.6
2020-05-20,21.64
2020-05-21,21.2
2020-05-22,21.15
2020-05-25,21.25
2020-05-26,22.54
2020-05-27,23.15
2020-05-28,22.3
2020-05-29,22.3
2020-06-01,22.45
2020-06-02,22.06
2020-06-03,22.55
2020-06-04,22.66
2020-06-05,23.57
2020-06-08,24.48
2020-06-09,24.24
2020-06-10,23.42
2020-06-11,23.42
2020-06-12,22.57
2020-06-15,21.76
2020-06-16,23.23
2020-06-17,22.7
2020-06-18,23.09
2020-06-19,23
2020-06-22,22.5
2020-06-23,23.6
2020-06-24,22.81
2020-06-25,22.82
2020-06-26,22.37
2020-06-29,22.7
