Dates,Settle
2020-02-05,21.55
2020-02-06,22.11
2020-02-07,22.18
2020-02-10,21.95
2020-02-11,22.31
2020-02-12,22.4
2020-02-13,22.46
2020-02-14,22.53
2020-02-17,22.52
2020-02-18,22.33
2020-02-19,22.35
2020-02-20,22.05
2020-02-21,21.65
2020-02-24,21.45
2020-02-25,20.87
2020-02-26,20.4
2020-02-27,19.345
2020-02-28,18.675
2020-03-02,18.335
2020-03-03,18.44
2020-03-04,18.45
2020-03-05,17.73
2020-03-06,16.95
2020-03-09,15.6
2020-03-10,15.715
2020-03-11,15.51
2020-03-12,13.53
2020-03-13,13.41
2020-03-16,12.29
2020-03-17,12.35
2020-03-18,11.25
2020-03-19,11.61
2020-03-20,12.975
2020-03-23,12.805
2020-03-24,14.16
2020-03-25,14.21
2020-03-26,14.96
2020-03-27,14.365
2020-03-30,13.745
2020-03-31,13.375
2020-04-01,12.97
2020-04-02,13.04
2020-04-03,12.93
2020-04-06,13.83
2020-04-07,14.3
2020-04-08,14.32
2020-04-09,15.23
2020-04-14,15.18
2020-04-15,14.36
2020-04-16,13.93
2020-04-17,14.31
2020-04-20,14.3
2020-04-21,14.3
2020-04-22,14.79
2020-04-23,15.1
2020-04-24,14.8
2020-04-27,15.43
2020-04-28,15.44
2020-04-29,16.0
2020-04-30,15.73
2020-05-04,14.95
2020-05-05,15.21
2020-05-06,15.34
2020-05-07,15.75
2020-05-08,15.83
2020-05-11,15.9
2020-05-12,16.08
2020-05-13,15.88
2020-05-14,15.26
2020-05-15,15.87
2020-05-18,16.6
2020-05-19,15.14
2020-05-20,15.25
2020-05-21,15.14
2020-05-22,15.22
2020-05-25,15.08
2020-05-26,16.1
2020-05-27,16.3
2020-05-28,16.5
2020-05-29,16.54
2020-06-01,16.54
2020-06-02,16.95
2020-06-03,17.36
2020-06-04,17.66
2020-06-05,18.61
2020-06-08,18.64
2020-06-09,18.14
2020-06-10,17.71
2020-06-11,17.03
2020-06-12,17.26
2020-06-15,16.99
2020-06-16,17.15
2020-06-17,17.44
2020-06-18,17.53
2020-06-19,17.25
2020-06-22,16.77
2020-06-23,16.85
2020-06-24,16.26
2020-06-25,16.4
2020-06-26,16.21
2020-06-29,16.05
2020-06-30,15.86
2020-07-01,16.09
2020-07-02,16.5
2020-07-03,16.34
2020-07-06,16.9
2020-07-07,16.66
2020-07-08,16.45
2020-07-09,16.13
2020-07-10,16.53
2020-07-13,16.69
2020-07-14,16.72
2020-07-15,16.88
2020-07-16,16.76
2020-07-17,16.69
2020-07-20,16.55
2020-07-21,16.79
2020-07-22,16.76
2020-07-23,16.34
2020-07-24,15.97
2020-07-27,15.96
2020-07-28,15.73
2020-07-29,15.44
2020-07-30,14.88
2020-07-31,14.55
2020-08-03,14.66
2020-08-04,15.08
2020-08-05,15.31
2020-08-06,15.16
2020-08-07,15.2
2020-08-10,15.55
2020-08-11,15.88
2020-08-12,16.14
2020-08-13,15.94
2020-08-14,15.9
2020-08-17,15.34
2020-08-18,15.14
2020-08-19,15.31
2020-08-20,15.05
2020-08-21,14.79
2020-08-24,15.09
2020-08-25,15.16
2020-08-26,15.65
2020-08-27,15.28
2020-08-28,15.43
2020-08-31,15.0
2020-09-01,15.04
2020-09-02,14.87
2020-09-03,14.79
2020-09-04,15.05
2020-09-07,15.32
2020-09-08,15.0
2020-09-09,15.18
2020-09-10,15.08
2020-09-11,14.92
2020-09-14,14.88
2020-09-15,14.7
2020-09-16,14.73
2020-09-17,14.38
2020-09-18,14.09
2020-09-21,13.64
2020-09-22,13.71
2020-09-23,13.36
2020-09-24,13.26
2020-09-25,12.94
2020-09-28,13.28
2020-09-29,12.9
2020-09-30,13.07
2020-10-01,12.77
2020-10-02,12.87
2020-10-05,13.18
2020-10-06,13.54
2020-10-07,13.49
2020-10-08,13.83
2020-10-09,13.73
2020-10-12,13.54
2020-10-13,13.18
2020-10-14,13.09
2020-10-15,12.98
2020-10-16,13.12
2020-10-19,13.16
2020-10-20,13.2
2020-10-21,13.01
2020-10-22,13.05
2020-10-23,13.34
2020-10-26,13.34
2020-10-27,12.56
2020-10-28,12.07
2020-10-29,12.16
2020-10-30,12.34
2020-11-02,12.38
2020-11-03,12.88
2020-11-04,12.68
2020-11-05,13.1
2020-11-06,12.82
2020-11-09,14.55
2020-11-10,15.27
2020-11-11,15.0
2020-11-12,14.68
2020-11-13,15.05
2020-11-16,15.57
2020-11-17,15.78
2020-11-18,15.73
2020-11-19,15.78
2020-11-20,15.68
2020-11-23,15.93
2020-11-24,16.28
2020-11-25,16.55
2020-11-26,16.32
2020-11-27,16.76
2020-11-30,16.06
2020-12-01,16.31
2020-12-02,16.94
2020-12-03,16.64
2020-12-04,16.93
2020-12-07,16.69
2020-12-08,16.57
2020-12-09,16.76
2020-12-10,16.43
2020-12-11,16.32
2020-12-14,16.47
2020-12-15,16.88
2020-12-16,16.98
2020-12-17,17.0
2020-12-18,16.66
2020-12-21,16.43
2020-12-22,16.65
2020-12-23,16.86
2020-12-24,16.86
2020-12-28,16.88
2020-12-29,16.83
2020-12-30,16.68
2020-12-31,16.68
2021-01-04,16.66
2021-01-05,16.64
2021-01-06,17.42
2021-01-07,17.89
2021-01-08,17.68
2021-01-11,17.52
2021-01-12,17.42
2021-01-13,17.33
2021-01-14,17.36
2021-01-15,17.19
2021-01-18,17.55
2021-01-19,17.51
2021-01-20,17.59
2021-01-21,17.46
2021-01-22,17.07
2021-01-25,16.3
2021-01-26,16.6
2021-01-27,16.31
2021-01-28,16.35
2021-01-29,16.17
2021-02-01,16.44
2021-02-02,16.62
2021-02-03,16.5
2021-02-04,16.75
2021-02-05,16.85
2021-02-08,16.74
2021-02-09,16.61
2021-02-10,16.73
2021-02-11,16.56
2021-02-12,16.7
2021-02-15,17.05
2021-02-16,16.95
2021-02-17,16.98
2021-02-18,16.9
2021-02-19,17.08
2021-02-22,17.16
2021-02-23,17.32
2021-02-24,17.51
2021-02-25,17.48
2021-02-26,16.82
2021-03-01,17.01
2021-03-02,16.99
2021-03-03,17.58
2021-03-04,17.45
2021-03-05,17.66
2021-03-08,18.19
2021-03-09,18.07
2021-03-10,18.08
2021-03-11,17.94
2021-03-12,18.18
2021-03-15,18.03
2021-03-16,18.1
2021-03-17,18.24
2021-03-18,18.39
2021-03-19,18.11
2021-03-22,18.02
2021-03-23,17.79
2021-03-24,18.38
2021-03-25,18.32
2021-03-26,18.48
2021-03-29,18.4
2021-03-30,18.81
2021-03-31,18.73
2021-04-01,18.7
2021-04-06,18.67
2021-04-07,18.64
2021-04-08,18.52
2021-04-09,18.47
2021-04-12,18.29
2021-04-13,18.13
2021-04-14,18.2
2021-04-15,17.94
2021-04-16,18.1
2021-04-19,18.25
2021-04-20,17.86
2021-04-21,17.74
2021-04-22,17.63
2021-04-23,17.85
2021-04-26,18.25
2021-04-27,18.36
2021-04-28,18.08
2021-04-29,18.14
2021-04-30,18.19
2021-05-03,18.23
2021-05-04,18.13
2021-05-05,18.4
2021-05-06,18.39
2021-05-07,18.7
2021-05-10,19.33
2021-05-11,19.13
2021-05-12,19.6
2021-05-13,19.38
2021-05-14,19.67
2021-05-17,19.72
2021-05-18,19.74
2021-05-19,19.39
2021-05-20,19.38
2021-05-21,19.5
2021-05-24,19.5
2021-05-25,19.54
2021-05-26,19.31
2021-05-27,19.51
2021-05-28,19.57
2021-05-31,19.47
2021-06-01,19.88
2021-06-02,20.34
2021-06-03,20.36
2021-06-04,20.26
2021-06-07,20.74
2021-06-08,20.72
2021-06-09,20.72
2021-06-10,20.52
2021-06-11,20.42
2021-06-14,20.66
2021-06-15,20.64
2021-06-16,20.44
2021-06-17,20.38
2021-06-18,19.85
2021-06-21,19.79
2021-06-22,19.77
2021-06-23,19.7
2021-06-24,19.85
2021-06-25,20.02
2021-06-28,19.51
2021-06-29,19.44
2021-06-30,19.1
2021-07-01,19.48
2021-07-02,19.27
2021-07-05,19.49
2021-07-06,18.94
2021-07-07,18.96
2021-07-08,18.62
2021-07-09,18.89
2021-07-12,19.01
2021-07-13,18.77
2021-07-14,18.87
2021-07-15,18.88
2021-07-16,18.51
2021-07-19,18.05
2021-07-20,18.19
2021-07-21,18.64
2021-07-22,18.59
2021-07-23,18.81
2021-07-26,19.21
2021-07-27,19.26
2021-07-28,19.17
2021-07-29,19.35
2021-07-30,19.96
2021-08-02,19.84
2021-08-03,19.67
2021-08-04,19.9
2021-08-05,20.18
2021-08-06,20.64
2021-08-09,20.78
2021-08-10,20.76
2021-08-11,20.88
2021-08-12,20.98
2021-08-13,21.16
2021-08-16,20.96
2021-08-17,20.84
2021-08-18,21.08
2021-08-19,20.54
2021-08-20,20.26
2021-08-23,20.4
2021-08-24,20.28
2021-08-25,20.56
2021-08-26,20.44
2021-08-27,20.44
2021-08-30,20.18
2021-08-31,20.34
2021-09-01,20.66
2021-09-02,20.78
2021-09-03,20.94
2021-09-06,20.94
2021-09-07,20.96
2021-09-08,21.32
2021-09-09,21.38
2021-09-10,20.94
2021-09-13,21.28
2021-09-14,21.28
2021-09-15,21.48
2021-09-16,21.44
2021-09-17,21.42
2021-09-20,20.94
2021-09-21,20.98
2021-09-22,21.54
2021-09-23,22.06
2021-09-24,22.12
2021-09-27,22.72
2021-09-28,22.16
2021-09-29,22.4
2021-09-30,22.68
2021-10-01,22.76
2021-10-04,22.74
2021-10-05,23.28
2021-10-06,23.38
2021-10-07,23.64
2021-10-08,24.1
2021-10-11,24.14
2021-10-12,23.98
2021-10-13,23.86
2021-10-14,23.98
2021-10-15,24.58
2021-10-18,24.52
2021-10-19,24.56
2021-10-20,24.88
2021-10-21,24.7
2021-10-22,24.94
2021-10-25,25.56
2021-10-26,25.56
2021-10-27,25.2
2021-10-28,25.3
2021-10-29,25.3
2021-11-01,25.58
2021-11-02,25.8
2021-11-03,28.62
2021-11-04,27.9
2021-11-05,28.94
2021-11-08,28.78
2021-11-09,28.5
2021-11-10,28.66
2021-11-11,29.4
2021-11-12,28.64
2021-11-15,28.14
2021-11-16,28.44
2021-11-17,28.48
2021-11-18,28.26
2021-11-19,26.3
2021-11-22,26.06
2021-11-23,26.24
2021-11-24,26.78
2021-11-25,26.6
2021-11-26,25.44
2021-11-29,25.54
2021-11-30,26.22
2021-12-01,26.68
2021-12-02,26.3
2021-12-03,26.38
2021-12-06,25.7
2021-12-07,26.26
2021-12-08,25.52
2021-12-09,25.32
2021-12-10,25.42
2021-12-13,24.6
2021-12-14,25.04
2021-12-15,25.34
2021-12-16,25.5
2021-12-17,25.5
2021-12-20,25.02
2021-12-21,25.68
2021-12-22,26.2
2021-12-23,26.12
2021-12-24,26.12
2021-12-27,26.06
2021-12-28,25.56
2021-12-29,25.9
2021-12-30,25.88
2021-12-31,25.88
2022-01-03,25.8
2022-01-04,26.8
2022-01-05,26.8
2022-01-06,26.72
2022-01-07,26.9
2022-01-10,25.7
2022-01-11,26.26
2022-01-12,26.82
2022-01-13,25.88
2022-01-14,25.7
2022-01-17,26.12
2022-01-18,25.52
2022-01-19,25.36
2022-01-20,25.12
2022-01-21,24.2
2022-01-24,23.1
2022-01-25,23.98
2022-01-26,24.46
2022-01-27,25.18
2022-01-28,24.64
2022-01-31,24.78
2022-02-01,25.32
2022-02-02,26.04
2022-02-03,26.5
2022-02-04,25.94
2022-02-07,26.3
2022-02-08,27.32
2022-02-09,28.22
2022-02-10,28.42
2022-02-11,27.68
2022-02-14,26.02
2022-02-15,27.1
2022-02-16,26.2
2022-02-17,25.0
2022-02-18,24.88
2022-02-21,23.52
2022-02-22,21.76
2022-02-23,21.22
2022-02-24,16.31
2022-02-25,17.06
2022-02-28,14.67
2022-03-01,13.18
2022-03-02,12.83
2022-03-03,13.1
2022-03-04,11.64
2022-03-07,10.98
2022-03-08,11.72
2022-03-09,13.75
2022-03-10,13.08
2022-03-11,13.08
2022-03-14,13.27
2022-03-15,13.34
2022-03-16,14.39
2022-03-17,13.78
2022-03-18,13.45
2022-03-21,13.7
2022-03-22,13.15
2022-03-23,12.79
2022-03-24,12.35
2022-03-25,12.41
2022-03-28,12.54
2022-03-29,13.66
2022-03-30,13.44
2022-03-31,12.95
2022-04-01,12.97
2022-04-04,12.66
2022-04-05,12.29
2022-04-06,11.64
2022-04-07,11.46
2022-04-08,11.83
2022-04-11,11.8
2022-04-12,11.48
2022-04-13,11.45
2022-04-14,11.57
2022-04-19,11.32
2022-04-20,11.51
2022-04-21,11.61
2022-04-22,11.25
2022-04-25,10.61
2022-04-26,10.2
2022-04-27,10.35
2022-04-28,10.73
2022-04-29,10.98
2022-05-02,10.91
2022-05-03,11.67
2022-05-04,11.2
2022-05-05,11.1
2022-05-06,11.0
2022-05-09,10.84
2022-05-10,11.3
2022-05-11,11.55
2022-05-12,11.93
2022-05-13,12.04
2022-05-16,12.08
2022-05-17,12.36
2022-05-18,12.21
2022-05-19,11.97
2022-05-20,11.89
2022-05-23,12.39
2022-05-24,12.35
2022-05-25,12.1
2022-05-26,12.48
2022-05-27,12.33
2022-05-30,12.68
2022-05-31,12.37
2022-06-01,12.2
2022-06-02,12.46
2022-06-03,12.23
2022-06-06,12.23
2022-06-07,12.08
2022-06-08,11.82
2022-06-09,11.72
2022-06-10,11.19
2022-06-13,11.07
2022-06-14,10.77
2022-06-15,10.98
2022-06-16,10.65
2022-06-17,10.77
2022-06-20,11.16
2022-06-21,11.37
2022-06-22,11.1
2022-06-23,10.52
2022-06-24,10.52
2022-06-27,10.79
2022-06-28,10.83
2022-06-29,10.7
2022-06-30,10.34
2022-07-01,10.31
2022-07-04,10.3
2022-07-05,10.0
2022-07-06,10.11
2022-07-07,10.39
2022-07-08,10.95
2022-07-11,10.53
2022-07-12,10.58
2022-07-13,10.45
2022-07-14,10.17
2022-07-15,10.2
2022-07-18,10.46
2022-07-19,10.74
2022-07-20,10.65
2022-07-21,10.73
2022-07-22,10.54
2022-07-25,10.96
2022-07-26,11.0
2022-07-27,11.6
2022-07-28,11.56
2022-07-29,11.77
2022-08-01,12.0
2022-08-02,12.54
2022-08-03,12.5
2022-08-04,12.84
2022-08-05,12.9
2022-08-08,12.93
2022-08-09,12.81
2022-08-10,12.98
2022-08-11,13.34
2022-08-12,13.54
2022-08-15,13.36
2022-08-16,13.41
2022-08-17,13.25
2022-08-18,13.3
2022-08-19,13.02
2022-08-22,12.47
2022-08-23,12.76
2022-08-24,12.93
2022-08-25,12.72
2022-08-26,12.63
2022-08-29,12.37
2022-08-30,12.44
2022-08-31,12.64
2022-09-01,12.2
2022-09-02,12.2
2022-09-05,11.95
2022-09-06,12.18
2022-09-07,12.43
2022-09-08,12.91
2022-09-09,13.03
2022-09-12,13.32
2022-09-13,13.0
2022-09-14,12.91
2022-09-15,12.91
2022-09-16,12.61
2022-09-19,12.55
2022-09-20,12.7
2022-09-21,12.39
2022-09-22,12.57
2022-09-23,12.41
2022-09-26,12.27
2022-09-27,12.33
2022-09-28,12.21
2022-09-29,11.9
2022-09-30,12.21
2022-10-03,12.23
2022-10-04,13.02
2022-10-05,12.96
2022-10-06,12.84
2022-10-07,12.65
2022-10-10,12.27
2022-10-11,12.3
2022-10-12,12.54
2022-10-13,13.03
2022-10-14,13.04
2022-10-17,13.15
2022-10-18,13.21
2022-10-19,12.96
2022-10-20,13.0
2022-10-21,13.05
2022-10-24,13.04
2022-10-25,13.3
2022-10-26,13.3
2022-10-27,13.59
2022-10-28,13.91
2022-10-31,14.07
2022-11-01,14.41
2022-11-02,14.53
2022-11-03,14.52
2022-11-04,14.58
2022-11-07,14.81
2022-11-08,15.04
2022-11-09,14.62
2022-11-10,14.76
2022-11-11,15.11
2022-11-14,15.18
2022-11-15,14.98
2022-11-16,14.77
2022-11-17,14.65
2022-11-18,14.74
2022-11-21,15.06
2022-11-22,14.98
2022-11-23,14.96
2022-11-24,14.99
2022-11-25,14.93
2022-11-28,14.58
2022-11-29,14.81
2022-11-30,15.03
2022-12-01,15.0
2022-12-02,14.94
2022-12-05,15.11
2022-12-06,15.01
2022-12-07,14.86
2022-12-08,14.72
2022-12-09,14.5
2022-12-12,14.63
2022-12-13,14.88
2022-12-14,14.78
2022-12-15,14.64
2022-12-16,14.61
2022-12-19,14.76
2022-12-20,14.86
2022-12-21,15.05
2022-12-22,15.07
2022-12-23,15.39
2022-12-27,15.33
2022-12-28,15.3
2022-12-29,15.44
2022-12-30,15.35
2023-01-02,15.42
2023-01-03,15.74
2023-01-04,16.5
2023-01-05,16.44
2023-01-06,16.92
2023-01-09,16.7
2023-01-10,16.33
2023-01-11,16.44
2023-01-12,16.6
2023-01-13,16.7
2023-01-16,16.8
2023-01-17,16.62
2023-01-18,16.87
2023-01-19,16.87
2023-01-20,17.18
2023-01-23,17.03
2023-01-24,16.99
2023-01-25,16.94
2023-01-26,17.09
2023-01-27,16.99
2023-01-30,16.55
2023-01-31,16.46
2023-02-01,16.03
2023-02-02,15.68
2023-02-03,15.31
2023-02-06,15.22
2023-02-07,16.0
2023-02-08,16.39
2023-02-09,16.45
2023-02-10,16.11
2023-02-13,16.4
2023-02-14,16.79
2023-02-15,17.06
2023-02-16,16.76
2023-02-17,16.45
2023-02-20,15.25
2023-02-21,14.69
2023-02-22,14.99
2023-02-23,15.23
2023-02-24,15.39
2023-02-27,15.65
2023-02-28,15.8
2023-03-01,15.78
2023-03-02,15.9
2023-03-03,15.92
2023-03-06,16.08
2023-03-07,16.04
2023-03-08,16.07
2023-03-09,15.84
2023-03-10,15.33
2023-03-13,14.76
2023-03-14,15.09
2023-03-15,14.06
2023-03-16,14.16
2023-03-17,13.96
2023-03-20,14.05
2023-03-21,14.42
2023-03-22,14.17
2023-03-23,13.92
2023-03-24,12.82
2023-03-27,13.0
2023-03-28,13.16
2023-03-29,13.53
2023-03-30,14.46
2023-03-31,14.16
2023-04-03,14.28
2023-04-04,14.06
2023-04-05,14.0
2023-04-06,14.22
2023-04-11,14.0
2023-04-12,14.0
2023-04-13,14.01
2023-04-14,14.22
2023-04-17,14.28
2023-04-18,14.28
2023-04-19,14.39
2023-04-20,14.3
2023-04-21,14.03
2023-04-24,14.0
2023-04-25,13.75
2023-04-26,13.6
2023-04-27,13.84
2023-04-28,13.91
2023-05-02,13.5
2023-05-03,13.44
2023-05-04,13.5
2023-05-05,13.93
2023-05-08,14.27
2023-05-09,14.24
2023-05-10,14.03
2023-05-11,14.15
2023-05-12,14.05
2023-05-15,14.01
2023-05-16,14.03
2023-05-17,14.08
2023-05-18,14.43
2023-05-19,14.45
2023-05-22,14.6
2023-05-23,14.45
2023-05-24,14.37
2023-05-25,14.2
2023-05-26,14.29
2023-05-29,14.18
2023-05-30,13.97
2023-05-31,13.7
2023-06-01,13.9
2023-06-02,13.99
2023-06-05,14.02
2023-06-06,13.85
2023-06-07,13.88
2023-06-08,13.86
2023-06-09,13.8
2023-06-12,13.72
2023-06-13,13.74
2023-06-14,13.91
2023-06-15,13.79
2023-06-16,13.8
2023-06-19,13.84
2023-06-20,13.75
2023-06-21,13.89
2023-06-22,13.63
2023-06-23,13.6
2023-06-26,13.81
2023-06-27,13.88
2023-06-28,13.89
2023-06-29,14.03
2023-06-30,14.52
2023-07-03,14.37
2023-07-04,14.46
2023-07-05,14.62
2023-07-06,14.2
2023-07-07,14.37
2023-07-10,14.22
2023-07-11,14.24
2023-07-12,14.62
2023-07-13,14.75
2023-07-14,14.94
2023-07-17,14.63
2023-07-18,14.72
2023-07-19,14.75
2023-07-20,14.48
2023-07-21,14.55
2023-07-24,14.6
2023-07-25,14.43
2023-07-26,14.44
2023-07-27,14.55
2023-07-28,14.64
2023-07-31,14.72
2023-08-01,14.24
2023-08-02,13.77
2023-08-03,13.69
2023-08-04,13.61
2023-08-07,13.6
2023-08-08,13.3
2023-08-09,13.23
2023-08-10,13.43
2023-08-11,13.54
2023-08-14,13.4
2023-08-15,13.19
2023-08-16,13.17
2023-08-17,13.11
2023-08-18,12.88
2023-08-21,12.8
2023-08-22,12.81
2023-08-23,12.73
2023-08-24,12.77
2023-08-25,12.78
2023-08-28,12.9
2023-08-29,13.1
2023-08-30,13.21
2023-08-31,13.25
2023-09-01,13.32
2023-09-04,13.4
2023-09-05,13.39
2023-09-06,13.22
2023-09-07,12.92
2023-09-08,12.94
2023-09-11,12.9
2023-09-12,13.05
2023-09-13,13.15
2023-09-14,13.11
2023-09-15,13.08
2023-09-18,12.83
2023-09-19,13.12
2023-09-20,13.17
2023-09-21,12.96
2023-09-22,13.0
2023-09-25,12.89
2023-09-26,12.78
2023-09-27,12.85
2023-09-28,13.17
2023-09-29,13.81
2023-10-02,13.46
2023-10-03,13.3
2023-10-04,13.29
2023-10-05,13.24
2023-10-06,13.33
2023-10-09,13.44
2023-10-10,13.58
2023-10-11,13.7
2023-10-12,13.72
2023-10-13,13.46
2023-10-16,13.5
2023-10-17,13.5
2023-10-18,13.37
2023-10-19,13.25
2023-10-20,13.13
2023-10-23,13.25
2023-10-24,13.29
2023-10-25,13.43
2023-10-26,13.43
2023-10-27,13.58
2023-10-30,13.64
2023-10-31,13.67
2023-11-01,13.83
2023-11-02,14.09
2023-11-03,15.05
2023-11-06,14.98
2023-11-07,15.09
2023-11-08,15.12
2023-11-09,15.27
2023-11-10,15.24
2023-11-13,15.43
2023-11-14,15.56
2023-11-15,15.64
2023-11-16,15.73
2023-11-17,15.76
2023-11-20,15.79
2023-11-21,15.83
2023-11-22,15.83
2023-11-23,15.78
2023-11-24,15.17
2023-11-27,15.25
2023-11-28,15.31
2023-11-29,15.41
2023-11-30,15.3
2023-12-01,15.46
2023-12-04,15.41
2023-12-05,15.5
2023-12-06,15.59
2023-12-07,15.5
2023-12-08,15.62
2023-12-11,15.77
2023-12-12,15.96
2023-12-13,16.15
2023-12-14,16.37
2023-12-15,16.43
2023-12-18,16.55
2023-12-19,16.55
2023-12-20,18.67
2023-12-21,18.65
2023-12-22,18.73
2023-12-27,18.75
2023-12-28,18.63
2023-12-29,18.67
2024-01-02,18.63
2024-01-03,18.38
2024-01-04,18.52
2024-01-05,18.57
2024-01-08,18.74
2024-01-09,18.68
2024-01-10,18.81
2024-01-11,18.94
2024-01-12,19.45
2024-01-15,19.99
2024-01-16,19.83
2024-01-17,19.36
2024-01-18,19.49
2024-01-19,19.51
2024-01-22,19.66
2024-01-23,19.62
2024-01-24,19.7
2024-01-25,19.54
2024-01-26,20.0
2024-01-29,19.86
2024-01-30,20.0
2024-01-31,19.32
2024-02-01,18.94
2024-02-02,19.07
2024-02-05,19.12
2024-02-06,19.49
2024-02-07,19.25
2024-02-08,19.34
2024-02-09,19.54
2024-02-12,19.88
2024-02-13,19.63
2024-02-14,19.61
2024-02-15,19.68
2024-02-16,19.95
2024-02-19,19.89
2024-02-20,19.76
2024-02-21,20.1
2024-02-22,20.46
2024-02-23,19.73
2024-02-26,18.98
2024-02-27,19.27
2024-02-28,18.98
2024-02-29,19.24
2024-03-01,19.96
2024-03-04,20.2
2024-03-05,20.2
2024-03-06,20.2
2024-03-07,19.88
2024-03-08,19.9
2024-03-11,18.42
2024-03-12,18.22
2024-03-13,18.67
2024-03-14,18.59
2024-03-15,18.99
2024-03-18,19.1
2024-03-19,19.52
2024-03-20,17.82
2024-03-21,17.77
2024-03-22,17.81
2024-03-25,18.01
2024-03-26,18.15
2024-03-27,18.45
2024-03-28,18.46
2024-04-02,18.85
2024-04-03,19.27
2024-04-04,19.13
2024-04-05,18.79
2024-04-08,18.65
2024-04-09,18.27
2024-04-10,18.01
2024-04-11,17.78
2024-04-12,17.83
2024-04-15,17.6
2024-04-16,17.12
2024-04-17,17.26
2024-04-18,17.24
2024-04-19,17.18
2024-04-22,17.64
2024-04-23,18.2
2024-04-24,18.3
2024-04-25,18.04
2024-04-26,18.25
2024-04-29,18.09
2024-04-30,17.38
2024-05-02,17.04
2024-05-03,16.65
2024-05-06,16.9
2024-05-07,17.27
2024-05-08,17.21
2024-05-09,17.58
2024-05-10,17.75
2024-05-13,17.7
2024-05-14,17.73
2024-05-15,17.28
2024-05-16,17.44
2024-05-17,17.59
2024-05-20,17.42
2024-05-21,17.46
2024-05-22,17.02
2024-05-23,17.07
2024-05-24,17.21
2024-05-27,17.21
2024-05-28,17.1
2024-05-29,17.0
2024-05-30,17.01
2024-05-31,16.92
2024-06-03,17.05
2024-06-04,16.81
2024-06-05,16.75
2024-06-06,17.12
2024-06-07,16.91
2024-06-10,16.78
2024-06-11,16.54
2024-06-12,16.63
2024-06-13,16.25
2024-06-14,15.82
2024-06-17,16.13
2024-06-18,16.2
2024-06-19,16.69
2024-06-20,16.97
2024-06-21,16.39
2024-06-24,16.59
2024-06-25,16.58
2024-06-26,16.28
2024-06-27,16.17
2024-06-28,16.22
2024-07-01,16.34
2024-07-02,16.75
2024-07-03,17.05
2024-07-04,17.37
2024-07-05,17.31
2024-07-08,17.49
2024-07-09,17.2
2024-07-10,17.08
2024-07-11,17.05
2024-07-12,17.44
2024-07-15,17.4
2024-07-16,17.28
2024-07-17,17.53
2024-07-18,17.79
2024-07-19,17.6
2024-07-22,17.57
2024-07-23,17.65
2024-07-24,17.6
2024-07-25,17.5
2024-07-26,17.47
2024-07-29,17.64
2024-07-30,18.29
2024-07-31,18.01
2024-08-01,17.72
2024-08-02,16.62
2024-08-05,16.03
2024-08-06,16.12
2024-08-07,16.27
2024-08-08,16.29
2024-08-09,16.35
2024-08-12,16.61
2024-08-13,16.54
2024-08-14,16.82
2024-08-15,16.93
2024-08-16,17.11
2024-08-19,17.28
2024-08-20,17.22
2024-08-21,17.12
2024-08-22,17.17
2024-08-23,17.4
2024-08-26,17.4
2024-08-27,17.42
2024-08-28,17.63
2024-08-29,17.84
2024-08-30,17.91
2024-09-02,18.12
2024-09-03,17.56
2024-09-04,17.71
2024-09-05,17.99
2024-09-06,16.71
2024-09-09,16.97
2024-09-10,16.74
2024-09-11,16.67
2024-09-12,16.73
2024-09-13,16.99
2024-09-16,17.1
2024-09-17,17.52
2024-09-18,17.72
2024-09-19,18.0
2024-09-20,18.02
2024-09-23,17.98
2024-09-24,17.88
2024-09-25,17.98
2024-09-26,18.18
2024-09-27,18.07
2024-09-30,17.86
2024-10-01,17.5
2024-10-02,17.44
2024-10-03,17.18
2024-10-04,17.43
2024-10-07,17.67
2024-10-08,17.51
2024-10-09,17.67
2024-10-10,18.2
2024-10-11,18.49
2024-10-14,18.27
2024-10-15,18.29
2024-10-16,18.54
2024-10-17,18.5
2024-10-18,18.35
2024-10-21,18.13
2024-10-22,17.98
2024-10-23,18.0
2024-10-24,18.0
2024-10-25,18.25
2024-10-28,18.31
2024-10-29,18.34
2024-10-30,17.68
2024-10-31,16.49
2024-11-01,16.61
2024-11-04,16.78
2024-11-05,16.9
2024-11-06,17.95
2024-11-07,18.74
2024-11-08,18.42
2024-11-11,18.67
2024-11-12,18.55
2024-11-13,18.16
2024-11-14,18.23
2024-11-15,17.72
2024-11-18,18.14
2024-11-19,17.69
2024-11-20,18.0
2024-11-21,18.08
2024-11-22,17.85
2024-11-25,17.94
2024-11-26,17.7
2024-11-27,17.7
2024-11-28,18.15
2024-11-29,18.46
2024-12-02,18.34
2024-12-03,18.53
2024-12-04,18.91
2024-12-05,19.32
2024-12-06,19.56
2024-12-09,19.95
2024-12-10,19.95
2024-12-11,20.26
2024-12-12,20.48
2024-12-13,20.26
2024-12-16,20.02
2024-12-17,19.68
2024-12-18,19.87
2024-12-19,19.59
2024-12-20,19.46
2024-12-23,19.39
