Dates,Settle
2020-02-05,516
2020-02-06,518
2020-02-07,512
2020-02-10,507
2020-02-11,506
2020-02-12,511
2020-02-13,509
2020-02-14,507
2020-02-17,504
2020-02-18,496.5
2020-02-19,502
2020-02-20,503
2020-02-21,500
2020-02-24,484
2020-02-25,480.5
2020-02-26,475
2020-02-27,458
2020-02-28,448
2020-03-02,454
2020-03-03,458
2020-03-04,454
2020-03-05,447
2020-03-06,439
2020-03-09,409.5
2020-03-10,403.5
2020-03-11,393.5
2020-03-12,355
2020-03-13,358.5
2020-03-16,340
2020-03-17,336
2020-03-18,318
2020-03-19,318.5
2020-03-20,333
2020-03-23,322.5
2020-03-24,339
2020-03-25,344
2020-03-26,356.5
2020-03-27,366
2020-03-30,375.5
2020-03-31,382
2020-04-01,373
2020-04-02,373
2020-04-03,367
2020-04-06,367.5
2020-04-07,371
2020-04-08,371.5
2020-04-09,371.5
2020-04-14,368
2020-04-15,363.5
2020-04-16,359.5
2020-04-17,365
2020-04-20,368
2020-04-21,367
2020-04-22,359.5
2020-04-23,378.5
2020-04-24,372
2020-04-27,379.5
2020-04-28,393
2020-04-29,413.5
2020-04-30,426
2020-05-04,414
2020-05-05,412
2020-05-06,415
2020-05-07,420
2020-05-08,420
2020-05-11,418
2020-05-12,423
2020-05-13,419.5
2020-05-14,413
2020-05-15,419
2020-05-18,420.5
2020-05-19,418.5
2020-05-20,423
2020-05-21,423
2020-05-22,423
2020-05-25,438.5
2020-05-26,445.5
2020-05-27,461
2020-05-28,461
2020-05-29,466
2020-06-01,466
2020-06-02,471.5
2020-06-03,480
2020-06-04,492.5
2020-06-05,492.5
2020-06-08,507
2020-06-09,497
2020-06-10,489
2020-06-11,471
2020-06-12,462
2020-06-15,465.5
2020-06-16,470
2020-06-17,474
2020-06-18,474
2020-06-19,468.5
2020-06-22,474
2020-06-23,475.5
2020-06-24,472
2020-06-25,473.5
2020-06-26,465.5
2020-06-29,470.5
2020-06-30,468.5
2020-07-01,471
2020-07-02,480
2020-07-03,480
2020-07-06,484.5
2020-07-07,485
2020-07-08,487
2020-07-09,489
2020-07-10,485
2020-07-13,489
2020-07-14,487.5
2020-07-15,490
2020-07-16,495
2020-07-17,490
2020-07-20,498.5
2020-07-21,493
2020-07-22,490.5
2020-07-23,489.5
2020-07-24,492.5
2020-07-27,475.5
2020-07-28,474.5
2020-07-29,473
2020-07-30,468
2020-07-31,469.5
2020-08-03,470
2020-08-04,482.5
2020-08-05,477.5
2020-08-06,472
2020-08-07,472.5
2020-08-10,469.5
2020-08-11,481.5
2020-08-12,477.5
2020-08-13,486
2020-08-14,488.5
2020-08-17,486.5
2020-08-18,481.5
2020-08-19,476.5
