Dates,Settle
2020-02-05,0.832
2020-02-06,0.8456
2020-02-07,0.845
2020-02-10,0.848
2020-02-11,0.8398
2020-02-12,0.857
2020-02-13,0.8578
2020-02-14,0.8526
2020-02-17,0.862
2020-02-18,0.8758
2020-02-19,0.889
2020-02-20,0.8656
2020-02-21,0.8712
2020-02-24,0.8432
2020-02-25,0.8054
2020-02-26,0.8276
2020-02-27,0.8016
2020-02-28,0.7912
2020-03-02,0.7792
2020-03-03,0.7732
2020-03-04,0.7502
2020-03-05,0.7108
2020-03-06,0.6962
2020-03-09,0.5862
2020-03-10,0.5442
2020-03-11,0.5532
2020-03-12,0.4554
2020-03-13,0.5076
2020-03-16,0.441
2020-03-17,0.4726
2020-03-18,0.4234
2020-03-19,0.4261
2020-03-20,0.4185
2020-03-23,0.4207
2020-03-24,0.4766
2020-03-25,0.512
2020-03-26,0.514
2020-03-27,0.4841
2020-03-30,0.4559
2020-03-31,0.469
2020-04-01,0.4488
2020-04-02,0.4391
2020-04-03,0.426
2020-04-06,0.4375
2020-04-07,0.4497
2020-04-08,0.4452
2020-04-09,0.4436
2020-04-14,0.4325
2020-04-15,0.4143
2020-04-16,0.3992
2020-04-17,0.3909
2020-04-20,0.3792
2020-04-21,0.3636
2020-04-22,0.3711
2020-04-23,0.3721
2020-04-24,0.35
2020-04-27,0.3488
2020-04-28,0.3544
2020-04-29,0.3726
2020-04-30,0.3781
2020-05-04,0.3528
2020-05-05,0.346
2020-05-06,0.3424
2020-05-07,0.336
2020-05-08,0.3311
2020-05-11,0.3088
2020-05-12,0.3119
2020-05-13,0.2873
2020-05-14,0.2988
2020-05-15,0.291
2020-05-18,0.31
2020-05-19,0.2732
2020-05-20,0.2653
2020-05-21,0.2631
2020-05-22,0.2691
2020-05-25,0.2775
2020-05-26,0.3069
2020-05-27,0.3145
2020-05-28,0.2973
2020-05-29,0.2706
2020-06-01,0.2866
2020-06-02,0.2981
2020-06-03,0.3211
2020-06-04,0.3218
2020-06-05,0.3606
2020-06-08,0.3807
2020-06-09,0.366
2020-06-10,0.3583
2020-06-11,0.325
2020-06-12,0.327
2020-06-15,0.3263
2020-06-16,0.3505
2020-06-17,0.348
2020-06-18,0.3456
2020-06-19,0.3315
2020-06-22,0.3201
2020-06-23,0.333
2020-06-24,0.31
2020-06-25,0.3156
2020-06-26,0.3011
2020-06-29,0.3194
2020-06-30,0.3091
2020-07-01,0.3084
2020-07-02,0.3287
2020-07-03,0.3169
2020-07-06,0.336
2020-07-07,0.3302
2020-07-08,0.3157
2020-07-09,0.3117
2020-07-10,0.3264
2020-07-13,0.3309
2020-07-14,0.3335
2020-07-15,0.3396
2020-07-16,0.333
2020-07-17,0.33
2020-07-20,0.337
2020-07-21,0.339
2020-07-22,0.3284
2020-07-23,0.3255
2020-07-24,0.3264
2020-07-27,0.3132
2020-07-28,0.3226
2020-07-29,0.3198
2020-07-30,0.2965
2020-07-31,0.289
2020-08-03,0.3033
2020-08-04,0.3144
2020-08-05,0.322
2020-08-06,0.32
2020-08-07,0.3199
2020-08-10,0.35
2020-08-11,0.3664
2020-08-12,0.3516
2020-08-13,0.3502
2020-08-14,0.3488
2020-08-17,0.3347
2020-08-18,0.3305
2020-08-19,0.3378
2020-08-20,0.3255
2020-08-21,0.32
2020-08-24,0.3295
2020-08-25,0.3304
2020-08-26,0.3309
2020-08-27,0.333
2020-08-28,0.3434
2020-08-31,0.3382
2020-09-01,0.3305
2020-09-02,0.3181
2020-09-03,0.3274
2020-09-04,0.3726
2020-09-07,0.3801
2020-09-08,0.3853
2020-09-09,0.3932
2020-09-10,0.3867
2020-09-11,0.374
2020-09-14,0.3738
2020-09-15,0.3587
2020-09-16,0.3597
2020-09-17,0.36
2020-09-18,0.3329
2020-09-21,0.3131
2020-09-22,0.3099
2020-09-23,0.2977
2020-09-24,0.2961
2020-09-25,0.2866
2020-09-28,0.2997
2020-09-29,0.2857
2020-09-30,0.2972
2020-10-01,0.2846
2020-10-02,0.289
2020-10-05,0.3
2020-10-06,0.3126
2020-10-07,0.3075
2020-10-08,0.314
2020-10-09,0.304
2020-10-12,0.295
2020-10-13,0.2823
2020-10-14,0.2817
2020-10-15,0.277
2020-10-16,0.2814
2020-10-19,0.2785
2020-10-20,0.2805
2020-10-21,0.2762
2020-10-22,0.2749
2020-10-23,0.2891
2020-10-26,0.283
2020-10-27,0.272
2020-10-28,0.2609
2020-10-29,0.2546
2020-10-30,0.262
2020-11-02,0.273
2020-11-03,0.2854
2020-11-04,0.2702
2020-11-05,0.2765
2020-11-06,0.2655
2020-11-09,0.3162
2020-11-10,0.3322
2020-11-11,0.3252
2020-11-12,0.328
2020-11-13,0.3363
2020-11-16,0.419
2020-11-17,0.4473
2020-11-18,0.44
2020-11-19,0.4193
2020-11-20,0.412
2020-11-23,0.4111
2020-11-24,0.431
2020-11-25,0.4252
2020-11-26,0.4022
2020-11-27,0.3476
2020-11-30,0.3255
2020-12-01,0.3426
2020-12-02,0.36
2020-12-03,0.3658
2020-12-04,0.366
2020-12-07,0.3675
2020-12-08,0.3727
2020-12-09,0.369
2020-12-10,0.3564
2020-12-11,0.3463
2020-12-14,0.3598
2020-12-15,0.378
2020-12-16,0.3706
2020-12-17,0.3615
2020-12-18,0.3577
2020-12-21,0.3334
2020-12-22,0.341
2020-12-23,0.3603
2020-12-24,0.3664
2020-12-28,0.3648
2020-12-29,0.3593
2020-12-30,0.3611
2020-12-31,0.354
2021-01-04,0.3478
2021-01-05,0.3606
2021-01-06,0.3836
2021-01-07,0.4078
2021-01-08,0.3957
2021-01-11,0.3949
2021-01-12,0.414
2021-01-13,0.3973
2021-01-14,0.4032
2021-01-15,0.3813
2021-01-18,0.3902
2021-01-19,0.3816
2021-01-20,0.3813
2021-01-21,0.3846
2021-01-22,0.3654
2021-01-25,0.356
2021-01-26,0.3685
2021-01-27,0.3618
