Dates,Settle
2020-02-05,3.635915402
2020-02-06,3.67041539
2020-02-07,3.698207047
2020-02-10,3.676644555
2020-02-11,3.70874871
2020-02-12,3.790207015
2020-02-13,3.774873687
2020-02-14,3.760019526
2020-02-17,3.788290349
2020-02-18,3.733665368
2020-02-19,3.753790361
2020-02-20,3.688623717
2020-02-21,3.624415406
2020-02-24,3.469644627
2020-02-25,3.362311331
2020-02-26,3.397769652
2020-02-27,3.277019694
2020-02-28,3.188373891
2020-03-02,3.119373915
2020-03-03,3.100686422
2020-03-04,3.158186402
2020-03-05,2.997186458
2020-03-06,2.917644819
2020-03-09,2.56833244
2020-03-10,2.541499116
2020-03-11,2.626311587
2020-03-12,2.183561741
2020-03-13,2.163436748
2020-03-16,1.933915994
2020-03-17,2.084374275
2020-03-18,1.95499932
2020-03-19,1.957874319
2020-03-20,2.021124297
2020-03-23,2.026874295
2020-03-24,2.270290877
2020-03-25,2.369957509
2020-03-26,2.356061681
2020-03-27,2.216145063
2020-03-30,2.122228429
2020-03-31,2.125582594
2020-04-01,2.057061785
2020-04-02,2.06185345
2020-04-03,2.009624301
2020-04-06,2.140915922
2020-04-07,2.154332584
2020-04-08,2.122228429
2020-04-09,2.074790945
2020-04-14,2.032624293
2020-04-15,1.917624333
2020-04-16,1.886574344
2020-04-17,1.87775768
2020-04-20,1.869707683
2020-04-21,1.792466043
2020-04-22,1.844024359
2020-04-23,1.913791001
2020-04-24,1.824666032
2020-04-27,1.887724343
2020-04-28,1.977999312
2020-04-29,2.074311779
2020-04-30,1.952603488
2020-05-04,1.87775768
2020-05-05,1.908041003
2020-05-06,1.855907688
2020-05-07,1.877374347
2020-05-08,1.914749334
2020-05-11,1.860699353
2020-05-12,1.873157682
2020-05-13,1.795532709
2020-05-14,1.79323271
2020-05-15,1.757391055
2020-05-18,1.850541023
2020-05-19,1.747232726
2020-05-20,1.806266038
2020-05-21,1.780774381
2020-05-22,1.816807701
2020-05-25,1.855907688
2020-05-26,1.96458265
2020-05-27,2.06041595
2020-05-28,2.043645123
2020-05-29,1.952603488
2020-06-01,1.986145143
2020-06-02,2.073353446
2020-06-03,2.139478423
2020-06-04,2.174936744
2020-06-05,2.421707491
2020-06-08,2.448540815
2020-06-09,2.396311667
2020-06-10,2.329228357
2020-06-11,2.112645099
2020-06-12,2.120790929
2020-06-15,2.060895117
2020-06-16,2.15624925
2020-06-17,2.153374251
2020-06-18,2.094915938
2020-06-19,2.063290949
2020-06-22,2.040770124
2020-06-23,2.141395089
2020-06-24,2.046040955
2020-06-25,2.097311771
2020-06-26,2.03310346
2020-06-29,2.115040931
2020-06-30,2.083895109
2020-07-01,2.053707619
2020-07-02,2.190270072
2020-07-03,2.134686758
2020-07-06,2.239624221
2020-07-07,2.173020078
2020-07-08,2.123665928
2020-07-09,2.083895109
2020-07-10,2.12749926
2020-07-13,2.152415918
2020-07-14,2.131332592
2020-07-15,2.172540911
2020-07-16,2.166311747
2020-07-17,2.122707595
2020-07-20,2.11791593
2020-07-21,2.105936768
2020-07-22,2.061374283
2020-07-23,2.029749294
2020-07-24,2.037415958
2020-07-27,1.988540975
2020-07-28,2.014895133
2020-07-29,1.920020166
2020-07-30,1.809716037
2020-07-31,1.733241064
2020-08-03,1.779624381
2020-08-04,1.839616027
2020-08-05,1.81124937
2020-08-06,1.787291045
2020-08-07,1.758349388
2020-08-10,1.814891035
2020-08-11,1.918582666
2020-08-12,1.905166004
2020-08-13,1.866449351
2020-08-14,1.846899358
2020-08-17,1.812016036
2020-08-18,1.798791041
2020-08-19,1.853607689
2020-08-20,1.776557715
2020-08-21,1.751066058
2020-08-24,1.818916034
2020-08-25,1.816232702
2020-08-26,1.84057436
2020-08-27,1.820449367
2020-08-28,1.880249346
2020-08-31,1.785182712
2020-09-01,1.79208271
2020-09-02,1.748191059
2020-09-03,1.766207719
2020-09-04,1.826199365
2020-09-07,1.833099362
2020-09-08,1.778282715
2020-09-09,1.806266038
2020-09-10,1.768699385
2020-09-11,1.730174398
2020-09-14,1.738416062
2020-09-15,1.719057735
2020-09-16,1.722316068
