Dates,Settle
2020-02-05,97.8
2020-02-06,98
2020-02-07,99.05
2020-02-10,97
2020-02-11,97.75
2020-02-12,97.95
2020-02-13,97.65
2020-02-14,98.25
2020-02-17,99.05
2020-02-18,99.55
2020-02-19,99.8
2020-02-20,101.5
2020-02-21,102.3
2020-02-24,99.95
2020-02-25,97.2
2020-02-26,95.5
2020-02-27,91.45
2020-02-28,89.5
2020-03-02,91.55
2020-03-03,93.25
2020-03-04,90.95
2020-03-05,87.55
2020-03-06,83.15
2020-03-09,73.3
2020-03-10,74.2
2020-03-11,68.5
2020-03-12,56.5
2020-03-13,60
2020-03-16,55.5
2020-03-17,52
2020-03-18,48.72
2020-03-19,51.45
2020-03-20,55
2020-03-23,50
2020-03-24,55.45
2020-03-25,56.8
2020-03-26,58.05
2020-03-27,59.95
2020-03-30,59.3
2020-03-31,59.2
2020-04-01,59.15
2020-04-02,58.35
2020-04-03,58.45
2020-04-06,62.1
2020-04-07,66
2020-04-08,63.4
2020-04-09,63.4
2020-04-14,64.3
2020-04-15,60.5
2020-04-16,59.15
2020-04-17,59.75
2020-04-20,60.55
2020-04-21,58
2020-04-22,60.5
2020-04-23,59.25
2020-04-24,56.75
2020-04-27,59.05
2020-04-28,67
2020-04-29,65.8
2020-04-30,65.15
2020-05-04,62.1
2020-05-05,62.6
2020-05-06,61.7
2020-05-07,65.2
2020-05-08,66.1
2020-05-11,62.75
2020-05-12,64.75
2020-05-13,61.7
2020-05-14,60.55
2020-05-15,62.45
2020-05-18,64
2020-05-19,63.4
2020-05-20,65.4
2020-05-21,65.4
2020-05-22,62.8
2020-05-25,64.75
2020-05-26,68
2020-05-27,70.4
2020-05-28,71.05
2020-05-29,72.15
2020-06-01,72.15
2020-06-02,73.5
2020-06-03,75.5
2020-06-04,75.55
2020-06-05,78.2
2020-06-08,82.1
2020-06-09,79.15
2020-06-10,76.7
2020-06-11,73.85
2020-06-12,73.2
2020-06-15,72.3
2020-06-16,73.65
2020-06-17,72.15
2020-06-18,72
2020-06-19,70.75
2020-06-22,69.65
2020-06-23,69.95
2020-06-24,70.85
2020-06-25,69.35
2020-06-26,69.2
2020-06-29,70.75
2020-06-30,69.9
2020-07-01,70.65
2020-07-02,72.05
2020-07-03,70.95
2020-07-06,71.65
2020-07-07,71.6
2020-07-08,71.4
2020-07-09,70.7
2020-07-10,71.2
2020-07-13,73.9
2020-07-14,74
2020-07-15,75.5
2020-07-16,75.35
2020-07-17,75.15
2020-07-20,73.9
2020-07-21,74.05
2020-07-22,73.9
2020-07-23,73.5
2020-07-24,72.7
2020-07-27,72.2
2020-07-28,72.3
2020-07-29,72.65
2020-07-30,70.7
2020-07-31,71.85
2020-08-03,73.1
2020-08-04,73.45
2020-08-05,73.6
2020-08-06,76.3
2020-08-07,78.7
2020-08-10,78.5
2020-08-11,79.6
2020-08-12,79.35
2020-08-13,79.6
2020-08-14,79.65
2020-08-17,79
2020-08-18,79
2020-08-19,77.8
2020-08-20,76.85
2020-08-21,77.35
2020-08-24,78.7
2020-08-25,79
2020-08-26,78.35
2020-08-27,78.8
2020-08-28,79.55
2020-08-31,78.6
2020-09-01,78.55
2020-09-02,77.65
2020-09-03,79.1
2020-09-04,80.1
2020-09-07,80.15
2020-09-08,78.95
2020-09-09,80.1
2020-09-10,80.1
2020-09-11,79.85
2020-09-14,79.85
2020-09-15,78.95
2020-09-16,79.25
2020-09-17,80
2020-09-18,79.7
2020-09-21,78.25
2020-09-22,77.7
2020-09-23,76.65
2020-09-24,77.8
2020-09-25,76.4
2020-09-28,77.85
2020-09-29,77.4
2020-09-30,77.4
2020-10-01,76.2
2020-10-02,76.45
2020-10-05,79.15
2020-10-06,82.2
2020-10-07,82.75
2020-10-08,83.1
2020-10-09,82.95
2020-10-12,82.9
2020-10-13,81.2
2020-10-14,81.85
2020-10-15,79.75
2020-10-16,80.25
2020-10-19,81
2020-10-20,82.2
2020-10-21,81.2
2020-10-22,79.85
2020-10-23,81.15
2020-10-26,78.15
2020-10-27,76.55
2020-10-28,74.3
2020-10-29,75.45
2020-10-30,75.8
2020-11-02,77.8
2020-11-03,79.9
2020-11-04,81
2020-11-05,79.9
2020-11-06,79.35
2020-11-09,85.1
2020-11-10,86.5
2020-11-11,86.4
2020-11-12,85.75
2020-11-13,86.2
2020-11-16,87
2020-11-17,87.7
2020-11-18,89.65
2020-11-19,87
2020-11-20,87
2020-11-23,87.35
2020-11-24,91.65
2020-11-25,93.2
2020-11-26,90.75
2020-11-27,89.85
2020-11-30,88.9
2020-12-01,88.45
2020-12-02,87.25
2020-12-03,88.9
2020-12-04,88.7
2020-12-07,87.3
2020-12-08,87.85
2020-12-09,86.45
2020-12-10,87.2
2020-12-11,86.85
2020-12-14,88
2020-12-15,87.95
2020-12-16,88.9
2020-12-17,88.25
2020-12-18,88.3
2020-12-21,85.1
2020-12-22,87.1
2020-12-23,90.2
2020-12-24,90.2
2020-12-28,90.85
2020-12-29,91.35
2020-12-30,91
2020-12-31,91
2021-01-04,88.65
2021-01-05,88.8
2021-01-06,91.3
2021-01-07,94
2021-01-08,94.55
2021-01-11,94.9
2021-01-12,94.85
2021-01-13,93.4
2021-01-14,95.6
2021-01-15,94.55
2021-01-18,97.5
2021-01-19,99.1
2021-01-20,99.25
2021-01-21,99.85
2021-01-22,100.1
2021-01-25,97.35
2021-01-26,94.5
2021-01-27,92.6
2021-01-28,93.55
2021-01-29,94.5
2021-02-01,94.3
2021-02-02,96
2021-02-03,96.7
2021-02-04,98.35
2021-02-05,96.75
2021-02-08,97.25
2021-02-09,96.4
2021-02-10,95.55
2021-02-11,96.75
2021-02-12,96
2021-02-15,94.7
2021-02-16,96.9
2021-02-17,96.2
2021-02-18,95.4
2021-02-19,96.85
2021-02-22,97
2021-02-23,99
2021-02-24,99.6
2021-02-25,102
2021-02-26,99.9
2021-03-01,101.3
2021-03-02,102.5
2021-03-03,104.8
2021-03-04,105.8
2021-03-05,108.7
2021-03-08,112
2021-03-09,109.5
2021-03-10,109
2021-03-11,109
2021-03-12,105.3
2021-03-15,104.9
2021-03-16,103.9
2021-03-17,103
2021-03-18,103.6
2021-03-19,105
2021-03-22,106.2
2021-03-23,103
2021-03-24,104.6
2021-03-25,103.3
2021-03-26,104.7
2021-03-29,104.3
2021-03-30,105
2021-03-31,105
2021-04-01,105
2021-04-06,106.4
2021-04-07,106.4
2021-04-08,105.3
2021-04-09,107
2021-04-12,109.5
2021-04-13,111.3
2021-04-14,107.3
2021-04-15,108.6
2021-04-16,108.9
2021-04-19,108.4
2021-04-20,106.4
2021-04-21,104.6
2021-04-22,105.8
2021-04-23,107.1
2021-04-26,108.5
2021-04-27,108.4
2021-04-28,108.6
2021-04-29,110.3
2021-04-30,107.8
2021-05-03,108
2021-05-04,108.4
2021-05-05,110
2021-05-06,111.6
2021-05-07,113.2
2021-05-10,114.2
2021-05-11,112.3
2021-05-12,113.1
2021-05-13,113.1
2021-05-14,112.8
2021-05-17,112.8
2021-05-18,112.7
2021-05-19,111.5
2021-05-20,114.4
2021-05-21,116.8
2021-05-24,116.8
2021-05-25,115.2
2021-05-26,113.9
2021-05-27,115
2021-05-28,115.4
2021-05-31,114
2021-06-01,116.3
2021-06-02,114.6
2021-06-03,114.5
2021-06-04,114.4
2021-06-07,114
2021-06-08,112.7
2021-06-09,112.2
2021-06-10,113.6
2021-06-11,112.8
2021-06-14,115
2021-06-15,114.1
2021-06-16,114.2
2021-06-17,116.4
2021-06-18,114.3
2021-06-21,117
2021-06-22,119.1
2021-06-23,119.5
2021-06-24,118.5
2021-06-25,118.9
2021-06-28,117
2021-06-29,115.6
2021-06-30,113.7
2021-07-01,114.6
2021-07-02,116.3
2021-07-05,116.1
2021-07-06,113.8
2021-07-07,114.3
2021-07-08,113.1
2021-07-09,114.9
2021-07-12,117.4
2021-07-13,118.3
2021-07-14,119.8
2021-07-15,119.9
2021-07-16,116.8
2021-07-19,112.8
2021-07-20,114.9
2021-07-21,117.4
2021-07-22,116
2021-07-23,115.5
2021-07-26,117.4
2021-07-27,115.9
2021-07-28,116.8
2021-07-29,116.1
2021-07-30,115.7
2021-08-02,116.7
2021-08-03,116.7
2021-08-04,117.7
2021-08-05,117.5
2021-08-06,119.8
2021-08-09,118.6
2021-08-10,121
2021-08-11,120.2
2021-08-12,121
2021-08-13,122
2021-08-16,122.4
2021-08-17,122.1
2021-08-18,121.5
