Dates,Settle
2020-02-05,96.46
2020-02-06,98.9
2020-02-07,99.06
2020-02-10,99.32
2020-02-11,100.35
2020-02-12,99.64
2020-02-13,99.96
2020-02-14,100.3
2020-02-17,101.35
2020-02-18,101.2
2020-02-19,104.3
2020-02-20,104.05
2020-02-21,102.25
2020-02-24,99.62
2020-02-25,97.96
2020-02-26,98.04
2020-02-27,94.5
2020-02-28,91.44
2020-03-02,92.46
2020-03-03,92.38
2020-03-04,92.44
2020-03-05,91.36
2020-03-06,88.58
2020-03-09,81.04
2020-03-10,79.78
2020-03-11,79.04
2020-03-12,68.06
2020-03-13,68.24
2020-03-16,63.12
2020-03-17,67.28
2020-03-18,64.5
2020-03-19,65.94
2020-03-20,64.82
2020-03-23,62.08
2020-03-24,64.7
2020-03-25,69.6
2020-03-26,69.16
2020-03-27,66.04
2020-03-30,66.08
2020-03-31,67.18
2020-04-01,64.54
2020-04-02,64.64
2020-04-03,63.76
2020-04-06,67.44
2020-04-07,70.0
2020-04-08,69.42
2020-04-09,69.38
2020-04-14,69.24
2020-04-15,65.8
2020-04-16,64.78
2020-04-17,67.52
2020-04-20,67.22
2020-04-21,64.42
2020-04-22,68.52
2020-04-23,69.26
2020-04-24,68.34
2020-04-27,70.18
2020-04-28,72.62
2020-04-29,79.36
2020-04-30,80.34
2020-05-04,73.72
2020-05-05,75.16
2020-05-06,73.36
2020-05-07,74.64
2020-05-08,75.38
2020-05-11,74.34
2020-05-12,75.38
2020-05-13,71.74
2020-05-14,70.56
2020-05-15,71.22
2020-05-18,75.14
2020-05-19,75.42
2020-05-20,74.42
2020-05-21,74.42
2020-05-22,74.56
2020-05-25,75.74
2020-05-26,78.8
2020-05-27,81.16
2020-05-28,83.32
2020-05-29,81.72
2020-06-01,83.8
2020-06-02,86.04
2020-06-03,86.86
2020-06-04,86.0
2020-06-05,87.3
2020-06-08,87.06
2020-06-09,85.9
2020-06-10,84.18
2020-06-11,78.82
2020-06-12,78.28
2020-06-15,78.28
2020-06-16,80.1
2020-06-17,80.1
2020-06-18,79.06
2020-06-19,79.06
2020-06-22,79.3
2020-06-23,80.96
2020-06-24,79.02
2020-06-25,82.66
2020-06-26,79.66
2020-06-29,81.4
2020-06-30,80.7
2020-07-01,81.28
2020-07-02,83.84
2020-07-03,82.58
2020-07-06,85.7
2020-07-07,85.0
2020-07-08,85.72
2020-07-09,84.28
2020-07-10,86.04
2020-07-13,88.54
2020-07-14,90.34
2020-07-15,88.86
2020-07-16,91.66
2020-07-17,91.58
2020-07-20,90.26
2020-07-21,89.9
2020-07-22,89.64
2020-07-23,89.56
2020-07-24,88.26
2020-07-27,87.48
2020-07-28,88.44
2020-07-29,88.38
2020-07-30,85.18
2020-07-31,84.64
2020-08-03,86.0
2020-08-04,85.36
2020-08-05,85.28
2020-08-06,86.06
2020-08-07,85.38
2020-08-10,86.82
2020-08-11,87.88
2020-08-12,86.7
2020-08-13,86.74
2020-08-14,85.72
2020-08-17,85.42
2020-08-18,84.32
2020-08-19,85.1
2020-08-20,84.2
2020-08-21,84.5
2020-08-24,86.56
2020-08-25,86.6
2020-08-26,87.12
2020-08-27,86.54
2020-08-28,87.26
2020-08-31,85.74
2020-09-01,85.66
2020-09-02,85.36
2020-09-03,84.58
2020-09-04,83.74
2020-09-07,85.46
2020-09-08,84.22
2020-09-09,85.16
2020-09-10,84.88
2020-09-11,83.82
2020-09-14,83.76
2020-09-15,83.28
2020-09-16,85.34
2020-09-17,84.3
2020-09-18,81.38
2020-09-21,78.18
2020-09-22,77.8
2020-09-23,78.06
2020-09-24,77.12
2020-09-25,76.56
2020-09-28,79.36
2020-09-29,79.1
2020-09-30,79.64
2020-10-01,79.74
2020-10-02,80.16
2020-10-05,81.42
2020-10-06,82.64
2020-10-07,81.8
2020-10-08,81.94
2020-10-09,81.32
2020-10-12,83.12
2020-10-13,81.74
2020-10-14,83.2
2020-10-15,83.22
2020-10-16,84.38
2020-10-19,85.12
2020-10-20,85.44
2020-10-21,83.9
2020-10-22,83.0
2020-10-23,83.64
2020-10-26,81.26
2020-10-27,79.68
2020-10-28,77.2
2020-10-29,76.6
2020-10-30,76.3
