Dates,Settle
2020-02-05,307.4
2020-02-06,310.6
2020-02-07,315.0
2020-02-10,313.2
2020-02-11,310.0
2020-02-12,307.0
2020-02-13,306.2
2020-02-14,305.4
2020-02-17,306.4
2020-02-18,300.8
2020-02-19,301.8
2020-02-20,300.4
2020-02-21,297.0
2020-02-24,286.0
2020-02-25,275.0
2020-02-26,275.0
2020-02-27,265.0
2020-02-28,250.8
2020-03-02,260.0
2020-03-03,272.2
2020-03-04,274.0
2020-03-05,266.8
2020-03-06,252.2
2020-03-09,228.0
2020-03-10,221.4
2020-03-11,208.6
2020-03-12,172.1
2020-03-13,186.5
2020-03-16,168.2
2020-03-17,195.6
2020-03-18,190.6
2020-03-19,210.0
2020-03-20,204.0
2020-03-23,179.4
2020-03-24,175.2
2020-03-25,175.9
2020-03-26,177.7
2020-03-27,173.9
2020-03-30,174.1
2020-03-31,173.5
2020-04-01,165.5
2020-04-02,157.9
2020-04-03,152.5
2020-04-06,172.9
2020-04-07,176.6
2020-04-08,165.5
2020-04-09,167.8
2020-04-14,172.5
2020-04-15,160.7
2020-04-16,159.0
2020-04-17,157.0
2020-04-20,158.7
2020-04-21,152.0
2020-04-22,153.0
2020-04-23,150.0
2020-04-24,145.3
2020-04-27,145.2
2020-04-28,150.4
2020-04-29,166.0
2020-04-30,163.0
2020-05-04,151.3
2020-05-05,149.5
2020-05-06,148.0
2020-05-07,148.0
2020-05-08,151.0
2020-05-11,145.7
2020-05-12,150.8
2020-05-13,155.5
2020-05-14,151.4
2020-05-15,148.2
2020-05-18,154.0
2020-05-19,152.2
2020-05-20,154.7
2020-05-21,152.9
2020-05-22,149.1
2020-05-25,152.1
2020-05-26,166.0
2020-05-27,170.8
2020-05-28,169.1
2020-05-29,162.8
2020-06-01,165.0
2020-06-02,163.6
2020-06-03,169.5
2020-06-04,177.6
2020-06-05,184.8
2020-06-08,191.9
2020-06-09,187.0
2020-06-10,182.0
2020-06-11,182.0
2020-06-12,173.7
2020-06-15,173.5
2020-06-16,179.8
2020-06-17,182.6
2020-06-18,177.1
2020-06-19,181.3
2020-06-22,182.9
2020-06-23,186.8
2020-06-24,180.4
2020-06-25,184.0
2020-06-26,178.0
2020-06-29,180.1
2020-06-30,175.4
2020-07-01,174.5
2020-07-02,175.0
2020-07-03,173.5
2020-07-06,173.9
2020-07-07,170.7
2020-07-08,169.8
2020-07-09,168.8
2020-07-10,168.0
2020-07-13,171.5
2020-07-14,166.1
2020-07-15,164.7
2020-07-16,164.6
2020-07-17,166.4
2020-07-20,162.1
2020-07-21,169.9
2020-07-22,165.6
2020-07-23,162.7
2020-07-24,161.4
2020-07-27,160.8
2020-07-28,159.6
2020-07-29,157.6
2020-07-30,151.5
2020-07-31,150.4
2020-08-03,152.5
2020-08-04,154.3
2020-08-05,155.1
2020-08-06,153.8
2020-08-07,151.8
2020-08-10,154.0
2020-08-11,161.5
2020-08-12,160.3
2020-08-13,162.0
2020-08-14,159.8
2020-08-17,157.6
2020-08-18,158.0
2020-08-19,156.6
2020-08-20,152.6
2020-08-21,155.8
2020-08-24,157.3
2020-08-25,155.5
2020-08-26,156.8
2020-08-27,155.5
2020-08-28,153.8
2020-08-31,151.5
2020-09-01,146.3
2020-09-02,148.0
2020-09-03,148.7
2020-09-04,144.5
2020-09-07,145.2
2020-09-08,140.1
2020-09-09,146.0
2020-09-10,146.6
2020-09-11,150.6
2020-09-14,149.9
2020-09-15,152.1
2020-09-16,150.0
2020-09-17,152.1
2020-09-18,149.6
2020-09-21,144.7
2020-09-22,143.0
2020-09-23,141.5
2020-09-24,140.0
2020-09-25,140.0
2020-09-28,146.4
2020-09-29,141.4
2020-09-30,142.6
2020-10-01,142.5
2020-10-02,144.5
2020-10-05,148.5
2020-10-06,155.0
2020-10-07,155.0
2020-10-08,153.8
2020-10-09,148.0
2020-10-12,147.5
2020-10-13,139.9
2020-10-14,138.0
2020-10-15,132.0
2020-10-16,136.7
2020-10-19,130.2
2020-10-20,129.4
2020-10-21,128.7
2020-10-22,133.0
2020-10-23,135.0
2020-10-26,133.7
2020-10-27,129.9
2020-10-28,126.4
2020-10-29,125.0
2020-10-30,123.0
2020-11-02,131.2
2020-11-03,142.0
2020-11-04,142.6
2020-11-05,148.3
2020-11-06,144.6
2020-11-09,160.3
2020-11-10,171.2
2020-11-11,171.2
2020-11-12,172.9
2020-11-13,171.3
2020-11-16,178.5
2020-11-17,179.1
2020-11-18,175.2
2020-11-19,171.2
2020-11-20,178.2
2020-11-23,179.6
2020-11-24,179.9
2020-11-25,182.0
2020-11-26,183.6
2020-11-27,182.9
2020-11-30,174.0
2020-12-01,176.0
2020-12-02,179.5
2020-12-03,175.9
2020-12-04,183.4
2020-12-07,182.0
2020-12-08,184.7
2020-12-09,188.5
2020-12-10,189.2
2020-12-11,188.1
2020-12-14,185.3
2020-12-15,186.0
2020-12-16,186.9
2020-12-17,180.8
2020-12-18,180.6
2020-12-21,176.3
2020-12-22,184.1
2020-12-23,183.6
2020-12-24,183.6
2020-12-28,190.6
2020-12-29,192.4
2020-12-30,185.7
2020-12-31,185.7
2021-01-04,186.5
2021-01-05,185.8
2021-01-06,185.8
2021-01-07,200.0
2021-01-08,210.6
2021-01-11,212.6
2021-01-12,202.8
2021-01-13,199.0
2021-01-14,205.0
2021-01-15,197.1
2021-01-18,201.6
2021-01-19,195.6
2021-01-20,194.2
2021-01-21,186.8
2021-01-22,193.9
2021-01-25,191.7
2021-01-26,190.4
2021-01-27,181.7
2021-01-28,182.0
2021-01-29,181.4
2021-02-01,191.9
2021-02-02,189.5
2021-02-03,193.3
2021-02-04,186.5
2021-02-05,192.3
2021-02-08,190.1
2021-02-09,190.1
2021-02-10,188.7
2021-02-11,195.7
2021-02-12,196.1
2021-02-15,208.4
2021-02-16,224.6
2021-02-17,219.0
2021-02-18,221.2
2021-02-19,216.8
2021-02-22,210.2
2021-02-23,204.8
2021-02-24,212.0
2021-02-25,213.0
2021-02-26,210.4
2021-03-01,216.0
2021-03-02,217.0
2021-03-03,218.6
2021-03-04,219.8
2021-03-05,215.2
2021-03-08,218.6
2021-03-09,220.0
2021-03-10,219.8
2021-03-11,217.8
2021-03-12,218.6
2021-03-15,217.0
2021-03-16,215.0
2021-03-17,207.0
2021-03-18,216.6
2021-03-19,209.8
2021-03-22,208.8
2021-03-23,213.4
2021-03-24,208.4
2021-03-25,212.2
2021-03-26,217.0
2021-03-29,217.8
2021-03-30,219.0
2021-03-31,218.6
2021-04-01,214.0
2021-04-06,219.5
2021-04-07,216.0
2021-04-08,211.1
2021-04-09,210.9
2021-04-12,208.3
2021-04-13,210.6
2021-04-14,212.0
2021-04-15,210.7
2021-04-16,211.8
2021-04-19,210.0
2021-04-20,212.3
2021-04-21,210.0
2021-04-22,210.7
2021-04-23,210.9
2021-04-26,212.1
2021-04-27,209.5
2021-04-28,215.0
2021-04-29,226.2
2021-04-30,224.4
2021-05-03,224.4
2021-05-04,219.1
2021-05-05,222.1
2021-05-06,222.0
2021-05-07,226.9
2021-05-10,235.1
2021-05-11,232.4
2021-05-12,228.5
2021-05-13,225.6
2021-05-14,229.1
2021-05-17,232.6
2021-05-18,237.6
2021-05-19,236.8
2021-05-20,249.8
2021-05-21,256.3
2021-05-24,250.0
2021-05-25,253.0
2021-05-26,258.3
2021-05-27,265.7
2021-05-28,271.3
2021-05-31,267.0
2021-06-01,269.0
2021-06-02,271.3
2021-06-03,271.3
2021-06-04,273.7
2021-06-07,264.4
2021-06-08,259.1
2021-06-09,263.4
2021-06-10,261.0
2021-06-11,254.1
2021-06-14,260.0
2021-06-15,253.5
2021-06-16,259.3
2021-06-17,258.0
2021-06-18,255.1
2021-06-21,261.5
2021-06-22,262.2
2021-06-23,268.9
2021-06-24,271.9
2021-06-25,267.7
2021-06-28,272.0
2021-06-29,268.8
2021-06-30,254.4
2021-07-01,256.4
2021-07-02,257.9
2021-07-05,256.3
2021-07-06,250.9
2021-07-07,255.0
2021-07-08,245.5
2021-07-09,253.2
2021-07-12,242.9
2021-07-13,241.9
2021-07-14,245.0
2021-07-15,242.7
2021-07-16,240.0
2021-07-19,233.6
2021-07-20,236.5
2021-07-21,247.6
2021-07-22,241.0
2021-07-23,243.8
2021-07-26,242.8
2021-07-27,240.9
2021-07-28,254.3
2021-07-29,259.0
2021-07-30,256.3
2021-08-02,257.9
2021-08-03,253.3
2021-08-04,259.3
2021-08-05,259.8
2021-08-06,265.7
2021-08-09,269.0
2021-08-10,272.1
2021-08-11,276.7
2021-08-12,274.1
2021-08-13,274.6
2021-08-16,273.5
2021-08-17,273.4
2021-08-18,275.5
2021-08-19,269.4
2021-08-20,270.8
2021-08-23,274.6
2021-08-24,270.9
2021-08-25,280.0
2021-08-26,278.0
2021-08-27,282.7
2021-08-30,287.8
2021-08-31,302.0
2021-09-01,299.6
2021-09-02,302.2
2021-09-03,305.0
2021-09-06,306.4
2021-09-07,305.3
2021-09-08,302.1
2021-09-09,300.3
2021-09-10,297.8
2021-09-13,298.0
2021-09-14,303.8
2021-09-15,298.0
2021-09-16,293.9
2021-09-17,294.2
2021-09-20,289.6
2021-09-21,287.8
2021-09-22,295.6
2021-09-23,293.5
2021-09-24,295.6
2021-09-27,293.8
2021-09-28,298.9
2021-09-29,301.8
2021-09-30,300.2
2021-10-01,310.8
2021-10-04,313.5
2021-10-05,321.8
2021-10-06,340.0
2021-10-07,337.9
2021-10-08,341.4
2021-10-11,351.0
2021-10-12,358.2
2021-10-13,347.9
2021-10-14,354.0
2021-10-15,355.9
2021-10-18,362.0
2021-10-19,356.7
2021-10-20,359.9
2021-10-21,357.0
2021-10-22,362.9
2021-10-25,362.0
2021-10-26,362.1
2021-10-27,366.9
2021-10-28,372.9
2021-10-29,370.5
2021-11-01,370.5
2021-11-02,373.6
2021-11-03,366.2
2021-11-04,380.9
2021-11-05,382.3
2021-11-08,372.9
2021-11-09,372.8
2021-11-10,368.5
2021-11-11,368.5
2021-11-12,366.9
2021-11-15,362.0
2021-11-16,363.5
2021-11-17,362.5
2021-11-18,348.8
2021-11-19,343.8
2021-11-22,348.0
2021-11-23,348.9
2021-11-24,356.7
2021-11-25,355.7
2021-11-26,338.6
2021-11-29,338.1
2021-11-30,364.7
2021-12-01,353.9
2021-12-02,353.9
2021-12-03,351.8
2021-12-06,350.1
2021-12-07,354.9
2021-12-08,355.9
2021-12-09,341.6
2021-12-10,336.8
2021-12-13,330.0
2021-12-14,323.5
2021-12-15,320.6
2021-12-16,329.7
2021-12-17,317.7
2021-12-20,326.5
2021-12-21,326.5
2021-12-22,324.0
2021-12-23,329.3
2021-12-24,329.3
2021-12-27,338.0
2021-12-28,343.5
2021-12-29,343.9
2021-12-30,348.5
2021-12-31,348.5
2022-01-03,350.8
2022-01-04,358.9
2022-01-05,357.6
2022-01-06,357.6
2022-01-07,365.6
2022-01-10,368.4
2022-01-11,380.0
2022-01-12,385.0
2022-01-13,383.0
2022-01-14,377.4
2022-01-17,375.6
2022-01-18,367.7
2022-01-19,367.3
2022-01-20,367.0
2022-01-21,358.1
2022-01-24,347.8
2022-01-25,352.1
2022-01-26,363.4
2022-01-27,363.3
2022-01-28,352.0
2022-01-31,350.1
2022-02-01,352.3
2022-02-02,362.3
2022-02-03,358.7
2022-02-04,351.2
2022-02-07,350.8
2022-02-08,358.4
2022-02-09,358.9
2022-02-10,354.4
2022-02-11,351.2
2022-02-14,350.8
2022-02-15,358.6
2022-02-16,359.8
2022-02-17,355.0
2022-02-18,346.9
2022-02-21,335.5
2022-02-22,336.0
2022-02-23,323.6
2022-02-24,279.0
2022-02-25,310.9
2022-02-28,314.7
2022-03-01,298.6
2022-03-02,306.1
2022-03-03,301.1
2022-03-04,275.0
2022-03-07,271.0
2022-03-08,277.0
2022-03-09,282.0
2022-03-10,279.9
2022-03-11,280.0
2022-03-14,273.8
2022-03-15,281.0
