Dates,Settle
2020-02-05,640.8
2020-02-06,638.8
2020-02-07,636.8
2020-02-10,630.6
2020-02-11,642.8
2020-02-12,641.4
2020-02-13,634.2
2020-02-14,635.2
2020-02-17,635.2
2020-02-18,630.6
2020-02-19,626.2
2020-02-20,621.2
2020-02-21,627.0
2020-02-24,606.6
2020-02-25,584.4
2020-02-26,591.6
2020-02-27,570.6
2020-02-28,562.6
2020-03-02,550.4
2020-03-03,538.2
2020-03-04,558.4
2020-03-05,532.2
2020-03-06,519.6
2020-03-09,456.3
2020-03-10,473.2
2020-03-11,471.9
2020-03-12,418.2
2020-03-13,436.9
2020-03-16,442.0
2020-03-17,456.5
2020-03-18,453.0
2020-03-19,451.2
2020-03-20,446.5
2020-03-23,421.1
2020-03-24,450.6
2020-03-25,473.4
2020-03-26,481.0
2020-03-27,466.7
2020-03-30,455.5
2020-03-31,445.8
2020-04-01,413.4
2020-04-02,398.4
2020-04-03,406.4
2020-04-06,421.1
2020-04-07,434.1
2020-04-08,437.1
2020-04-09,450.9
2020-04-14,424.2
2020-04-15,394.0
2020-04-16,397.0
2020-04-17,406.5
2020-04-20,399.8
2020-04-21,381.5
2020-04-22,382.8
2020-04-23,391.9
2020-04-24,376.3
2020-04-27,383.1
2020-04-28,389.9
2020-04-29,435.0
2020-04-30,407.5
2020-05-04,390.3
2020-05-05,400.8
2020-05-06,393.7
2020-05-07,413.4
2020-05-08,413.4
2020-05-11,404.8
2020-05-12,401.6
2020-05-13,389.9
2020-05-14,388.1
2020-05-15,387.0
2020-05-18,402.3
2020-05-19,410.8
2020-05-20,413.5
2020-05-21,391.5
2020-05-22,382.0
2020-05-25,382.0
2020-05-26,401.0
2020-05-27,411.4
2020-05-28,392.1
2020-05-29,368.4
2020-06-01,400.3
2020-06-02,400.5
2020-06-03,427.3
2020-06-04,431.0
2020-06-05,464.5
2020-06-08,460.2
2020-06-09,442.8
2020-06-10,450.0
2020-06-11,414.0
2020-06-12,426.9
2020-06-15,417.5
2020-06-16,428.6
2020-06-17,425.0
2020-06-18,423.8
2020-06-19,427.0
2020-06-22,428.2
2020-06-23,430.6
2020-06-24,420.7
2020-06-25,424.8
2020-06-26,422.6
