Dates,Settle
2020-02-05,150.2
2020-02-06,152.95
2020-02-07,153.95
2020-02-10,156.45
2020-02-11,157.5
2020-02-12,157
2020-02-13,156.85
2020-02-14,156.95
2020-02-17,156.5
2020-02-18,157.05
2020-02-19,160.9
2020-02-20,161.9
2020-02-21,161.4
2020-02-24,156.8
2020-02-25,153.3
2020-02-26,153.55
2020-02-27,148.75
2020-02-28,144.75
2020-03-02,147.15
2020-03-03,147.85
2020-03-04,151.3
2020-03-05,150.7
2020-03-06,145
2020-03-09,132.6
2020-03-10,131.95
2020-03-11,133.7
2020-03-12,115
2020-03-13,119.35
2020-03-16,112.95
2020-03-17,124.5
2020-03-18,122.8
2020-03-19,126.2
2020-03-20,120.65
2020-03-23,112.1
2020-03-24,113.4
2020-03-25,113.95
2020-03-26,114.7
2020-03-27,110.55
2020-03-30,107.9
2020-03-31,110.85
2020-04-01,108.84
2020-04-02,109.68
2020-04-03,107.88
2020-04-06,110.34
2020-04-07,113.56
2020-04-08,106.58
2020-04-09,107.34
2020-04-14,110.62
2020-04-15,103.46
2020-04-16,101.88
2020-04-17,107.58
2020-04-20,107.02
2020-04-21,103.68
2020-04-22,108
2020-04-23,109.24
2020-04-24,111.38
2020-04-27,112.28
2020-04-28,113.62
2020-04-29,117.34
2020-04-30,115.36
2020-05-04,108
2020-05-05,109.24
2020-05-06,107.1
2020-05-07,107.24
2020-05-08,108.3
2020-05-11,106.28
2020-05-12,106.22
2020-05-13,101.8
2020-05-14,101.18
2020-05-15,102.02
2020-05-18,107.78
2020-05-19,107.16
2020-05-20,106
2020-05-21,106
2020-05-22,106.8
2020-05-25,108.02
2020-05-26,113.02
2020-05-27,118.4
2020-05-28,121.62
2020-05-29,118
2020-06-01,120.56
2020-06-02,125.52
2020-06-03,128
2020-06-04,128.18
2020-06-05,130.76
2020-06-08,134.14
2020-06-09,131.18
2020-06-10,131.3
2020-06-11,123.56
2020-06-12,123.22
2020-06-15,121.78
2020-06-16,123.78
2020-06-17,121.58
2020-06-18,120.34
2020-06-19,120.34
2020-06-22,120.18
2020-06-23,122.38
2020-06-24,118.88
2020-06-25,120.88
2020-06-26,116.74
2020-06-29,121
2020-06-30,119.4
2020-07-01,121.84
2020-07-02,125.36
2020-07-03,124.92
2020-07-06,128.72
2020-07-07,129.5
2020-07-08,131.16
2020-07-09,130.7
2020-07-10,133.38
2020-07-13,136.84
2020-07-14,138.04
2020-07-15,137.92
2020-07-16,138.48
2020-07-17,145.9
2020-07-20,149.16
2020-07-21,149.46
2020-07-22,149
2020-07-23,147.5
2020-07-24,145.96
2020-07-27,144.74
2020-07-28,144.92
2020-07-29,146.52
2020-07-30,143.16
2020-07-31,141.98
2020-08-03,144.46
2020-08-04,144.06
2020-08-05,144.04
2020-08-06,144.9
2020-08-07,143.52
2020-08-10,145.38
2020-08-11,148.22
2020-08-12,147.52
2020-08-13,147
2020-08-14,146.2
2020-08-17,145.58
2020-08-18,143.96
2020-08-19,144.94
2020-08-20,142.8
2020-08-21,142.94
2020-08-24,145.7
2020-08-25,145.12
2020-08-26,145.12
2020-08-27,147.84
2020-08-28,148.94
2020-08-31,146.62
2020-09-01,146.98
2020-09-02,148.5
2020-09-03,145.56
2020-09-04,145.36
2020-09-07,148.26
2020-09-08,146.54
2020-09-09,151.68
2020-09-10,151.56
2020-09-11,149
2020-09-14,148.9
2020-09-15,147.54
2020-09-16,150.92
2020-09-17,149.32
2020-09-18,141.4
2020-09-21,137.18
2020-09-22,138.46
2020-09-23,140.46
2020-09-24,139.24
2020-09-25,137.92
2020-09-28,141.74
2020-09-29,140.64
2020-09-30,140.74
2020-10-01,142.86
2020-10-02,142.9
2020-10-05,144.46
2020-10-06,145.64
2020-10-07,143.82
2020-10-08,144.66
2020-10-09,143.62
2020-10-12,144.18
2020-10-13,140.92
2020-10-14,144.4
2020-10-15,143.62
2020-10-16,147.18
2020-10-19,148.48
2020-10-20,148
2020-10-21,148.22
2020-10-22,149.34
2020-10-23,149.5
2020-10-26,146.8
2020-10-27,145.32
2020-10-28,140.36
2020-10-29,139.36
2020-10-30,139.5
2020-11-02,143.6
2020-11-03,148.6
2020-11-04,148.56
2020-11-05,148.5
2020-11-06,146.46
2020-11-09,153.16
2020-11-10,156.94
2020-11-11,156.46
2020-11-12,155.68
2020-11-13,155.28
2020-11-16,155.94
2020-11-17,157.2
2020-11-18,157.04
2020-11-19,155.6
2020-11-20,156.18
2020-11-23,156.74
2020-11-24,156.86
2020-11-25,158.6
2020-11-26,156.5
2020-11-27,156.32
2020-11-30,155.22
2020-12-01,157
2020-12-02,158.06
2020-12-03,157.7
2020-12-04,157.86
2020-12-07,156.88
2020-12-08,157.32
2020-12-09,158.46
2020-12-10,157.28
2020-12-11,154.98
2020-12-14,155.96
2020-12-15,148.36
2020-12-16,145.8
2020-12-17,143.08
2020-12-18,145.16
2020-12-21,141.84
2020-12-22,142.3
2020-12-23,144
2020-12-24,144
2020-12-28,145.62
2020-12-29,145.08
2020-12-30,144.12
2020-12-31,144.12
2021-01-04,143.76
2021-01-05,143.54
2021-01-06,143.54
2021-01-07,149.74
2021-01-08,147.24
2021-01-11,146.28
2021-01-12,150.06
2021-01-13,149.9
2021-01-14,153.28
2021-01-15,152.54
2021-01-18,153.14
2021-01-19,155.86
2021-01-20,158.88
2021-01-21,163.94
2021-01-22,164.2
2021-01-25,161.44
2021-01-26,163.68
2021-01-27,161
2021-01-28,158.38
2021-01-29,157.78
2021-02-01,150.96
2021-02-02,147.86
2021-02-03,149.3
2021-02-04,150.68
2021-02-05,149.02
2021-02-08,149.12
2021-02-09,148.98
2021-02-10,150.02
2021-02-11,149.34
2021-02-12,149.58
2021-02-15,152.82
2021-02-16,150.22
2021-02-17,146.84
2021-02-18,146.22
2021-02-19,146
2021-02-22,146.36
2021-02-23,147.26
2021-02-24,149.08
2021-02-25,150.84
2021-02-26,148.02
2021-03-01,150.68
2021-03-02,151.66
2021-03-03,153.44
2021-03-04,155.82
2021-03-05,156.8
2021-03-08,160.72
2021-03-09,160.7
2021-03-10,161.38
2021-03-11,161.58
2021-03-12,161.84
2021-03-15,160.74
2021-03-16,160.54
2021-03-17,159.46
2021-03-18,160.28
2021-03-19,159.68
2021-03-22,159.62
2021-03-23,159.18
2021-03-24,161.6
2021-03-25,157.44
2021-03-26,154.24
2021-03-29,152.5
2021-03-30,155.4
2021-03-31,153.9
2021-04-01,153.1
2021-04-06,156.66
2021-04-07,158.64
2021-04-08,157.78
2021-04-09,157.36
2021-04-12,158.18
2021-04-13,157.34
2021-04-14,156.66
2021-04-15,155.54
2021-04-16,158.7
2021-04-19,156.68
2021-04-20,152.3
2021-04-21,152.06
2021-04-22,151.48
2021-04-23,152.2
2021-04-26,153.26
2021-04-27,148.68
2021-04-28,147.12
2021-04-29,148.58
2021-04-30,148.74
2021-05-03,148.2
2021-05-04,146.72
2021-05-05,148.38
2021-05-06,150
2021-05-07,150.2
2021-05-10,150.72
2021-05-11,147.18
2021-05-12,148.3
2021-05-13,148.3
2021-05-14,154.42
2021-05-17,152.82
2021-05-18,153.24
2021-05-19,151.66
2021-05-20,154.22
2021-05-21,154.76
2021-05-24,154.1
2021-05-25,153.2
2021-05-26,148.82
2021-05-27,148.84
2021-05-28,152.52
2021-05-31,149.08
2021-06-01,151.02
2021-06-02,153
2021-06-03,153.72
2021-06-04,154.28
2021-06-07,152.94
2021-06-08,151.96
2021-06-09,151.52
2021-06-10,153
2021-06-11,154
2021-06-14,154.56
2021-06-15,154.9
2021-06-16,154.1
2021-06-17,154.14
2021-06-18,152.2
2021-06-21,154.58
2021-06-22,155.76
2021-06-23,158.52
2021-06-24,161.3
2021-06-25,161.3
2021-06-28,160.56
2021-06-29,160.44
2021-06-30,159.24
2021-07-01,160.96
2021-07-02,159.9
2021-07-05,160.9
2021-07-06,158.58
2021-07-07,161.84
2021-07-08,161.46
2021-07-09,163.8
2021-07-12,164.66
2021-07-13,164.34
2021-07-14,164
2021-07-15,164.36
2021-07-16,169.12
2021-07-19,161.96
2021-07-20,162.48
2021-07-21,163.66
2021-07-22,163.78
2021-07-23,164.2
2021-07-26,165.96
2021-07-27,166.82
2021-07-28,167.2
2021-07-29,168.8
2021-07-30,167.76
2021-08-02,167.84
2021-08-03,168.42
2021-08-04,169.14
2021-08-05,170
2021-08-06,170.02
2021-08-09,169.76
2021-08-10,170.62
2021-08-11,171.32
2021-08-12,170.88
2021-08-13,170.78
2021-08-16,169.06
2021-08-17,169
2021-08-18,168.34
2021-08-19,166.78
2021-08-20,169.34
2021-08-23,169.58
2021-08-24,168.44
2021-08-25,169.34
2021-08-26,168.34
2021-08-27,168.18
2021-08-30,167.62
2021-08-31,166.62
2021-09-01,167.88
2021-09-02,169.46
2021-09-03,168.44
2021-09-06,171.4
2021-09-07,169.84
2021-09-08,168.06
2021-09-09,170.42
2021-09-10,168
2021-09-13,168.3
2021-09-14,167.58
2021-09-15,167.56
2021-09-16,169.4
2021-09-17,170.58
2021-09-20,166.8
