Dates,Settle
2020-02-05,150.3
2020-02-06,153.6
2020-02-07,152.6
2020-02-10,153.4
2020-02-11,156.2
2020-02-12,157.1
2020-02-13,157.0
2020-02-14,157.8
2020-02-17,159.0
2020-02-18,159.8
2020-02-19,160.7
2020-02-20,162.0
2020-02-21,160.3
2020-02-24,157.0
2020-02-25,153.2
2020-02-26,145.0
2020-02-27,127.8
2020-02-28,125.0
2020-03-02,126.2
2020-03-03,128.5
2020-03-04,124.6
2020-03-05,122.6
2020-03-06,120.2
2020-03-09,112.0
2020-03-10,109.8
2020-03-11,108.2
2020-03-12,96.25
2020-03-13,97.9
2020-03-16,92.3
2020-03-17,93.85
2020-03-18,90.55
2020-03-19,91.4
2020-03-20,90.2
2020-03-23,83.55
2020-03-24,87.05
2020-03-25,92.2
2020-03-26,91.7
2020-03-27,91.6
2020-03-30,92.6
2020-03-31,96.1
2020-04-01,94.65
2020-04-02,94.4
2020-04-03,93.15
2020-04-06,92.8
2020-04-07,93.2
2020-04-08,91.15
2020-04-09,91.15
2020-04-14,92.4
2020-04-15,92.15
2020-04-16,90.4
2020-04-17,93.85
2020-04-20,95.55
2020-04-21,92.45
2020-04-22,92.7
2020-04-23,95.8
2020-04-24,94.2
2020-04-27,96.7
2020-04-28,98.65
2020-04-29,114.0
2020-04-30,113.3
2020-05-04,107.7
2020-05-05,103.9
2020-05-06,99.85
2020-05-07,102.7
2020-05-08,102.7
2020-05-11,105.1
2020-05-12,106.2
2020-05-13,105.6
2020-05-14,105.8
2020-05-15,105.0
2020-05-18,106.3
2020-05-19,105.7
2020-05-20,107.6
2020-05-21,107.6
2020-05-22,107.6
2020-05-25,105.3
2020-05-26,111.0
2020-05-27,115.6
2020-05-28,117.4
2020-05-29,117.1
2020-06-01,117.1
2020-06-02,122.5
2020-06-03,125.0
2020-06-04,130.1
2020-06-05,130.1
2020-06-08,140.0
2020-06-09,131.9
2020-06-10,129.4
2020-06-11,124.3
2020-06-12,123.6
2020-06-15,124.0
2020-06-16,126.8
2020-06-17,127.4
2020-06-18,125.0
2020-06-19,124.0
2020-06-22,121.3
2020-06-23,123.5
2020-06-24,123.6
2020-06-25,122.7
2020-06-26,120.2
2020-06-29,123.5
2020-06-30,123.0
2020-07-01,122.4
2020-07-02,124.2
2020-07-03,125.0
2020-07-06,127.5
2020-07-07,126.2
2020-07-08,126.3
2020-07-09,125.2
2020-07-10,125.5
2020-07-13,128.0
2020-07-14,128.6
2020-07-15,130.7
2020-07-16,131.8
2020-07-17,132.0
2020-07-20,131.3
2020-07-21,133.5
2020-07-22,132.5
2020-07-23,131.6
2020-07-24,131.2
2020-07-27,128.8
2020-07-28,126.2
2020-07-29,124.3
2020-07-30,121.3
2020-07-31,119.8
2020-08-03,121.7
2020-08-04,122.6
2020-08-05,121.8
2020-08-06,121.2
2020-08-07,120.3
2020-08-10,118.5
2020-08-11,120.7
2020-08-12,121.1
2020-08-13,121.9
2020-08-14,119.3
2020-08-17,118.3
2020-08-18,116.9
2020-08-19,117.6
2020-08-20,116.0
2020-08-21,115.3
2020-08-24,115.6
2020-08-25,114.4
2020-08-26,112.6
2020-08-27,112.2
2020-08-28,109.0
2020-08-31,104.9
2020-09-01,100.5
2020-09-02,100.7
2020-09-03,102.0
2020-09-04,103.3
2020-09-07,103.5
2020-09-08,101.3
2020-09-09,103.1
2020-09-10,104.7
2020-09-11,104.6
2020-09-14,104.4
2020-09-15,104.1
2020-09-16,102.8
2020-09-17,102.2
2020-09-18,101.2
2020-09-21,99.1
2020-09-22,99.0
2020-09-23,98.25
2020-09-24,97.4
2020-09-25,96.95
2020-09-28,98.9
2020-09-29,97.85
2020-09-30,99.6
2020-10-01,102.0
2020-10-02,108.3
2020-10-05,108.3
2020-10-06,108.8
2020-10-07,109.4
2020-10-08,109.2
2020-10-09,108.1
2020-10-12,108.1
2020-10-13,106.9
2020-10-14,108.1
2020-10-15,108.0
2020-10-16,106.8
2020-10-19,109.2
2020-10-20,110.4
2020-10-21,108.8
2020-10-22,109.3
2020-10-23,111.0
2020-10-26,106.4
2020-10-27,103.3
2020-10-28,103.9
2020-10-29,107.5
2020-10-30,109.0
2020-11-02,112.7
2020-11-03,115.7
2020-11-04,117.4
2020-11-05,116.1
2020-11-06,115.0
2020-11-09,118.6
2020-11-10,125.5
2020-11-11,126.2
