Dates,Settle
2020-02-05,12.832
2020-02-06,13.878
2020-02-07,13.906
2020-02-10,13.964
2020-02-11,14.174
2020-02-12,14.122
2020-02-13,14.028
2020-02-14,13.886
2020-02-17,14.15
2020-02-18,14.06
2020-02-19,14.132
2020-02-20,13.718
2020-02-21,13.184
2020-02-24,12.64
2020-02-25,12.412
2020-02-26,12.552
2020-02-27,12.002
2020-02-28,11.538
2020-03-02,11.03
2020-03-03,10.562
2020-03-04,10.294
2020-03-05,10.134
2020-03-06,9.952
2020-03-09,8.614
2020-03-10,8.314
2020-03-11,8.54
2020-03-12,7.066
2020-03-13,7.713
2020-03-16,6.743
2020-03-17,7.01
2020-03-18,7.0
2020-03-19,7.37
2020-03-20,7.934
2020-03-23,7.605
2020-03-24,8.365
2020-03-25,8.433
2020-03-26,8.303
2020-03-27,7.86
2020-03-30,7.274
2020-03-31,7.147
2020-04-01,6.86
2020-04-02,6.779
2020-04-03,6.54
2020-04-06,7.107
2020-04-07,7.35
2020-04-08,7.314
2020-04-09,7.437
2020-04-14,7.1
2020-04-15,6.622
2020-04-16,6.666
2020-04-17,6.863
2020-04-20,6.897
2020-04-21,6.59
2020-04-22,6.718
2020-04-23,6.9
2020-04-24,6.688
2020-04-27,6.969
2020-04-28,7.228
2020-04-29,7.376
2020-04-30,7.029
2020-05-04,6.634
2020-05-05,6.655
2020-05-06,6.6
2020-05-07,6.496
2020-05-08,6.58
2020-05-11,6.615
2020-05-12,6.656
2020-05-13,6.4
2020-05-14,6.284
2020-05-15,6.213
2020-05-18,6.58
2020-05-19,6.491
2020-05-20,6.53
2020-05-21,6.45
2020-05-22,6.73
2020-05-25,6.772
2020-05-26,7.073
2020-05-27,7.404
2020-05-28,7.665
2020-05-29,7.666
2020-06-01,7.906
2020-06-02,8.035
2020-06-03,8.45
2020-06-04,8.515
2020-06-05,8.919
2020-06-08,9.269
2020-06-09,8.925
2020-06-10,8.63
2020-06-11,7.951
2020-06-12,7.942
2020-06-15,7.895
2020-06-16,8.418
2020-06-17,8.398
2020-06-18,8.24
2020-06-19,8.255
2020-06-22,8.241
2020-06-23,8.427
2020-06-24,8.069
2020-06-25,8.053
2020-06-26,7.909
2020-06-29,8.259
2020-06-30,8.188
2020-07-01,8.112
2020-07-02,8.568
2020-07-03,8.422
2020-07-06,8.738
2020-07-07,8.673
2020-07-08,8.594
2020-07-09,8.298
2020-07-10,8.52
2020-07-13,8.702
2020-07-14,8.665
2020-07-15,8.77
